微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
J6IIZ0Rnn,"转发理由:【罕见！同时#支付宝微信辟谣# ：没提供数据】  
原始用户: 中国长安网
转发内容: #安哥辟谣#【罕见！同时#支付宝微信辟谣# ：没提供数据】针对日前网上曾有消息称“支付宝和微信提供数据，锁定35万人帮助进行病毒筛查”，支付宝及微信官方微博声明：未提供过图中提及的数据，请大家认准卫生防疫部门官方信息发布渠道，勿信谣传谣。安哥：在辟谣这件事上，我们都是认真的！  [组图共2张] 原图 ",,无,"http://ww1.sinaimg.cn/large/00688ubUly1gfsqe84rzpj30ig08xta1.jpg,http://ww4.sinaimg.cn/large/00688ubUly1gfsqe84sahj30kp09kjt1.jpg",FALSE,无,无,2020/6/15 9:57,360安全浏览器,2,1,0,1
IzrYioGZQ,"转发理由:#微博辟谣#【#疫起捉谣# 转发】  
原始用户: 保定网警巡查执法
转发内容: #微博辟谣#【#疫起捉谣# 转发】将有11万人从欧洲入境北京？北京开学时间又确定了？在英国的中国留学生患新冠死亡？点击，看真相！#万众一心 百毒不侵#  [组图共5张] 原图 ",,无,"http://ww2.sinaimg.cn/large/006aVFMzly1gd05jw6tdqj30j60j6anr.jpg,http://ww3.sinaimg.cn/large/006aVFMzly1gd05jyfo2vj30j60xknel.jpg,http://ww2.sinaimg.cn/large/006aVFMzly1gd05k0o90dj30j60xk1f6.jpg,http://ww2.sinaimg.cn/large/006aVFMzly1gd05k2o7gkj30j60xkqlb.jpg,http://ww2.sinaimg.cn/large/006aVFMzly1gd05k4sgpij30j60xkh0y.jpg",FALSE,无,无,2020/3/20 9:53,360安全浏览器,0,0,0,1
IvF8Ns6Sd,"转发理由:#网警辟谣#  
原始用户: 警民直通车-黄浦
转发内容: #辟谣#2月23日，网传一段淮海路雁荡路发现新冠肺炎确诊病例的视频。经核查，网传内容与事实不符，系一独居老人（腿部残疾、长期患病未出门）在家中死亡。经警方勘验调查，已排除他杀。死者生前患有脑梗等多种疾病，系病发猝死。目前，防疫人员已对死者家中及周边开展消毒和排查，未见异常。 http://t.cn/RJ2IpDz 原图 ",,无,http://wx4.sinaimg.cn/large/9eb29f2cgy1gc7at9ztdxj20u01ga7fb.jpg,FALSE,无,无,2020/2/24 12:03,360安全浏览器,1,0,0,1
IuO4NvEBV,"转发理由:#网警辟谣# 【网传“上海有医院把全白肺病人放回家”内容不实】  
原始用户: 警民直通车-浦东
转发内容: #辟谣#【网传“上海有医院把全白肺病人放回家”内容不实】2月17日，一则“上海据说有医院把全白肺的病人放回家了，连疑似都没有报”的微博帖文引发网友关注。经向市卫健委了解，上述信息不实。警方高度重视，第一时间找到发布人陈某（女，37岁）。据调查：陈某承认自己将道听途说的不实信息添油加醋后，在微博上发布。目前，此事正在进一步调查中。 原图 ",,无,http://wx4.sinaimg.cn/large/985a0d11gy1gbzupcidpfj20hc0n5gvn.jpg,FALSE,无,无,2020/2/18 20:58,360安全浏览器,1,1,0,1
ItSDSlARr,#网警辟谣# 【阻击疫情，抵制谣言（二）】  原图 ,,http://wx2.sinaimg.cn/large/95f2cc33gy1gbtt4g6q5gj20u05xknpd.jpg,无,TRUE,无,无,2020/2/12 18:45,HUAWEI Mate 10,3,1,2,1
ItSpnd5EP,"转发理由:#网警辟谣#  
原始用户: 警民直通车-浦东
转发内容: #辟谣# 网传照片反映“丁香路1599弄，后备箱带人”不实。经查，照片真实情况为防疫部门工作人员打开车辆后备箱拿取工具，对小区开展消毒工作。  原图 ",,无,http://wx4.sinaimg.cn/large/985a0d11gy1gbtpwmkjhnj20hx09wae5.jpg,FALSE,无,无,2020/2/12 18:09,HUAWEI Mate 10,0,0,0,1
ItrFo1alT,#网警辟谣# 【阻击疫情，抵制谣言】  原图 ,,http://wx3.sinaimg.cn/large/95f2cc33gy1gbqi14ahuuj20f08oknpd.jpg,无,TRUE,无,无,2020/2/9 22:05,HUAWEI Mate 10,53,14,18,1
IsFLNoUeu,#网警辟谣# 【博眼球？求关注？信口开河可不行！】  原图 ,,http://wx3.sinaimg.cn/large/95f2cc33gy1gbkmkx11krj20fj7psh78.jpg,无,TRUE,无,无,2020/2/4 20:09,HUAWEI Mate 10,39,33,26,1
IsmNC4RXA,#网警辟谣# 【网警告诉你：有些信息不能信】  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/95f2cc33gy1gbiatc1ip1j20pq0nggpx.jpg,http://ww3.sinaimg.cn/large/95f2cc33gy1gbiatcz6q3j20mi8ybkjl.jpg",无,TRUE,无,无,2020/2/2 19:51,HUAWEI Mate 10,10,17,3,1
IroLyjvgK,"转发理由:【转发辟谣！#这些新型肺炎传言是假的#】  
原始用户: 人民日报
转发内容: 【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！  [组图共9张] 原图 ",,无,"http://ww2.sinaimg.cn/large/a716fd45ly1gb9prsttisj20dw0m8wfa.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gb9prsu7tij20dw0m80tj.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gb9prsuezgj20dw0m8js5.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gb9prsu7bej20dw0m8gmf.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gb9prstwavj20dw0m8mxw.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gb9prstpouj20dw0m83z9.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gb9prsx0awj20dw0m8q3q.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gb9prsxbr4j20dw0m8t9h.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gb9prsy09hj20dw0m83z8.jpg",FALSE,无,无,2020/1/27 11:01,微博 weibo.com,0,1,0,1
