评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//noac,酱鸭鸭不见了,女,上海,1279,181,84,公布下上海各区的情况吧,647,2020-01-26 21:28
https://weibo.cn//u/3201764304,kakakoo-kyu,女,上海,5340,694,266,请保持这个状态！该辟谣就辟谣！谢谢！,396,2020-01-26 21:28
https://weibo.cn//u/2548761384,Candy_糖t,女,上海,224,271,459,麻烦把各区的确诊病例公布！细化到哪个区！包括小区名字！,403,2020-01-26 21:31
https://weibo.cn//u/2817806001,狗粮在门外,女,上海,2766,574,167,这个要表扬，说清楚就对了，不要给造谣者机会,0,2020-01-26 22:23
https://weibo.cn//claire98,Ww弘依,女,上海,993,209,595,请公布各区情况？像北京一样,12,2020-01-26 22:20
https://weibo.cn//u/5591716374,我逃回宇宙了,女,上海,78,389,236,请政府公布详细的疫情数据 以及严格排查入沪车辆和人员,11,2020-01-26 22:16
https://weibo.cn//u/1931339860,我言维笑,男,上海,2226,285,336,应该追查造谣源头，并且严惩！,0,2020-01-26 22:16
https://weibo.cn//u/1310186952,Always_August,女,上海,3436,594,102,是的，小布要辟谣，不能再这样散播下去了,0,2020-01-26 22:09
https://weibo.cn//wenwen525,wenwenmiao,女,海外,1510,79,16,感谢官方发布及时辟谣！现阶段官方的及时发布和信息透明非常重要！,4,2020-01-26 22:05
https://weibo.cn//u/2656199722,秋风中的燕子,女,其他,610,209,2231,造谣可耻！不信谣不传谣！,0,2020-01-26 22:03
https://weibo.cn//u/2473269860,生存比较级,男,上海,537,367,49,公布下上海各区的情况吧,15,2020-01-26 22:03
https://weibo.cn//u/1885450643,redlake,男,上海,2843,185,259,制止谣言 造谣可耻,0,2020-01-26 22:00
https://weibo.cn//EvaAndMusic,薛聽寒,女,上海,1811,648,401,公开透明及时全面，谣言不攻自破,3,2020-01-26 21:58
https://weibo.cn//u/1948509261,笨笨爱溜溜,女,上海,6011,529,898,延迟上班！！！！！,1,2020-01-26 21:57
https://weibo.cn//u/1887988900,Luckyadaxin,女,上海,372,242,395,请出台延迟上班文件！,6,2020-01-26 21:55
https://weibo.cn//viczuo,VicZuo,女,上海,822,655,496,造谣的人太可恶！！,0,2020-01-26 21:52
https://weibo.cn//u/2129599842,biu_拿铁续命,女,上海,98,227,152,加油！保持住这个状态！信息公开化，该辟谣就辟谣！这样才能稳定人心！！！,1,2020-01-26 21:48
https://weibo.cn//jinnianlin,小蜜瓜林,女,上海,444,137,27,希望延迟上班的细则早点出台！,10,2020-01-26 21:42
