评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//525645606,加油巴塞罗那,男,上海,129,177,813,一些人为了黑而黑。,8,2020-02-11 09:25
https://weibo.cn//u/2537270235,Z品味美好生活X,男,上海,104,280,29,我们只想保护好自己和身边的人,12,2020-02-11 09:23
https://weibo.cn//silviahuki,MoMo是默默啊,男,上海,36242,311,687,行,0,2020-02-11 09:20
https://weibo.cn//wangtingting0714,汤唔子,女,上海,4573,774,563,透明度越高 市民越不恐慌 谣言不攻自破,55,2020-02-11 09:17
https://weibo.cn//u/7233907102,守护最好的爱美丽,男,上海,126,343,51,本市常驻人口分为户籍和非户籍。,19,2020-02-11 09:17
https://weibo.cn//u/7381939133,熠熠熠生辉105,男,上海,9,101,1,外来人口也没办法才来上海的，为了养家！,3,2020-02-11 09:16
https://weibo.cn//chenvk,浓汤宝妈咪酱,女,上海,320,412,113,上海加油,5,2020-02-11 09:15
https://weibo.cn//u/1455403761,艾尔菲王,女,上海,2208,712,726,谢谢小布辟谣！,0,2020-02-11 09:13
https://weibo.cn//u/2196151510,大大dada发,女,黑龙江,4481,452,466,转发转发！！！！政府加大力度排查！！！上海不可乱！,5,2020-02-11 09:12
https://weibo.cn//u/1790600227,王王王小韦,男,上海,27,58,153,能不能出台一个监管投诉的平台，如果小区没有落实政策，没有对外来人员进行有效的管理是否可以进行投诉，上海的网格化管理一直说是精细化，那么对于落实情况民众的反馈应该是最精准的，同时根据民众反馈的状况街道再派专人监督整改，效率算高吧，有这个平台的话基层也会更自律，现在全靠自觉不妥吧。,101,2020-02-11 09:12
https://weibo.cn//u/6450277746,gigizharen,女,上海,21,726,20,希望公开透明,5,2020-02-11 09:12
https://weibo.cn//u/1827330323,春暖无寒,女,上海,2781,727,11570,什么时候能有口罩 5个口罩还是按户分配 家里5口人 现在还要出门上班,182,2020-02-11 09:12
https://weibo.cn//u/1862579114,夜夜磨刀的喵,女,其他,171,387,93,明明小区内设有自提柜的 也一刀切不让进,26,2020-02-11 09:12
https://weibo.cn//u/2367182290,Stevendingding,男,上海,384,269,150,信息透明了，谣言自然不攻自破！,6,2020-02-11 09:11
https://weibo.cn//u/1068383041,pooh的蜂蜜酱,男,其他,145,72,46,能不能呼吁一下别在公共场合口罩拉下来抽烟了？从口腔鼻腔里飘出来的烟范围那么大事前事后戴个口罩装装样子有什么用？,49,2020-02-11 09:10
https://weibo.cn//u/5600589286,红尘一肖z,女,上海,4223,554,498,总有那么些居心叵测的人散布谣言,14,2020-02-11 09:03
https://weibo.cn//u/1742941590,舌尖上的吃货hhhh,女,上海,4842,714,557,终于辟谣了，这个前两天看的人心惶惶的,9,2020-02-11 09:03
https://weibo.cn//chemyhuang,数据化管理,男,北京,34772,1352,1647504,还好，不然以前的那些分地区数据就没用了，但昨天公布的数据确实有几个地区在调数据（累计确诊人数减少，比如杭州），最好能让大家了解一下原因，不然很多人就各种猜测了,38,2020-02-11 08:59
https://weibo.cn//u/1732422945,Cici-Chening,女,上海,703,571,299,应该感谢上海的一级响应已经上海人规规矩矩在家里窝了十四天 上海加油,45,2020-02-11 08:58
https://weibo.cn//dreammerrong,梦斓dreamy_4ever58,女,上海,13555,512,1280,楼上几位，单论这条谣言本身，和统计信息是否透明压根有啥直接关系吗？私以为，这条谣言大概是别有用心的人利用了近日由于防控到位而产生的偶发现象，以及已被成功煽动了的民意,83,2020-02-11 08:57
https://weibo.cn//u/1958375627,Always纠结的Kelly,女,上海,2234,277,448,麻烦再公布的详细一点 自然有人知道有没有漏,628,2020-02-11 08:56
https://weibo.cn//wxy68929579,冰金神之翼,男,上海,1150,781,549,加油,0,2020-02-11 08:55
https://weibo.cn//u/2804484770,胖胖骏骏,女,上海,473,246,263,公开，透明，希望加强管控。让大家心安,5,2020-02-11 08:55
https://weibo.cn//u/2924046487,瑾艺妈,女,上海,762,413,113,信息透明谣言就不攻自破了,38,2020-02-11 08:54
https://weibo.cn//u/1737398421,爱豆那么瘦我却很胖,女,上海,8403,738,277,希望数据更加公开透明,43,2020-02-11 08:54
https://weibo.cn//onlyred0925,onlyred0925,女,上海,23528,396,1611,只要数据公开透明，谣言不攻自破,197,2020-02-11 08:51
