评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1849348292,信仰不变-申-花-余孽,男,上海,82,57,49,我去，谣言还没收到你们就辟谣了！,2,2020-02-13 19:59
https://weibo.cn//u/2143581801,好心情的加菲,男,上海,2316,67,283,能相信3000的人脑子说没问题我是不信的。,7,2020-02-13 19:58
https://weibo.cn//congcongbaby68,Cici__赵,女,上海,935,584,958,     举报             赞[0]         回复             2020-02-13 19:56:18 来自网页,0,2020-02-13 19:56
https://weibo.cn//wenjia0504,WEN-KAR-WAI,男,上海,3023,191,494,乱造谣的人，查出来抓进去！,1,2020-02-13 19:51
https://weibo.cn//u/2140415463,辟邪稻谷狐狸喵,男,上海,1558,282,293,造谣真的很可恶,0,2020-02-13 19:49
https://weibo.cn//u/1697478594,超级比特币--SBTC,男,浙江,426,189,283,每天增加的疑似病例也要公布,14,2020-02-13 19:44
https://weibo.cn//baobao0812,喵喵酱求好运滚滚来,女,上海,5638,209,886,请保卫上海,0,2020-02-13 19:37
https://weibo.cn//u/5784342835,leoordeer,男,上海,124,82,190,不信谣不造谣不传谣,0,2020-02-13 19:24
https://weibo.cn//u/5814223553,小晖晖胖阿姨,女,其他,187,208,2428,特别喜欢看这里的评论，说明聪明的大家都相信这是谣言！,0,2020-02-13 19:21
https://weibo.cn//u/6066240409,生姜一大片,男,上海,3539,325,422,感谢辟谣🙏,0,2020-02-13 19:21
https://weibo.cn//huangdongni,冬小妮充满正能量,女,上海,4331,769,1183,关键很多人相信！,0,2020-02-13 19:20
https://weibo.cn//u/5412436966,旖旎妖姬844,女,其他,6,25,1,刚看完10分钟,0,2020-02-13 19:20
https://weibo.cn//u/1741111893,阿拉GOGOGO,男,上海,48,659,213,编的好夸张，抓住重判。,0,2020-02-13 19:18
https://weibo.cn//u/3134306995,多杰朗嘉,男,上海,25,165,31,什么时期，发表不实讯息严重造成恐慌，用用脑子好伐！是不是不怕吃官司，非要弄的自己牢底坐穿才罢休……,1,2020-02-13 19:17
https://weibo.cn//u/5969593646,hhyycyr,女,其他,891,291,95,造谣者可恶!,1,2020-02-13 19:17
https://weibo.cn//u/5024449774,小心我发火了,女,上海,8260,555,1125,他们怎么不说3万，30万，整个上海，造谣者无耻,1,2020-02-13 19:16
https://weibo.cn//u/6817249891,代代安宁,女,上海,69,144,22,增加300人我可能还会半信半疑，3000，在怀疑大家的智商吗？,45,2020-02-13 19:15
https://weibo.cn//u/3085332367,蜡笔小小云,男,其他,4,161,114,感觉最近有人在带上海节奏,13,2020-02-13 19:14
https://weibo.cn//u/1876790735,JenJen家的JenJen,女,上海,1199,240,314,一天爆发3000 ，这个也太假了吧,0,2020-02-13 19:14
https://weibo.cn//u/5942034757,十一禾甜_,女,上海,3636,539,1652,我刚看到视频就辟谣了，我内心一波一折,0,2020-02-13 19:13
https://weibo.cn//u/1108152900,驴驴1031,女,上海,168,41,127,这个谣造的没啥水平,4,2020-02-13 19:13
https://weibo.cn//u/2943376065,正版菲儿66,女,上海,899,395,2496,把造谣的人抓起来！,1,2020-02-13 19:11
https://weibo.cn//u/2054483413,陈熙1103,女,上海,378,350,95,是不是应该抓起来 没有严惩 造谣的人更肆无忌惮 唯恐天下不乱的家伙,1,2020-02-13 19:10
https://weibo.cn//rockshelnanco,Rockshelnanco_J,男,上海,1781,427,252,@朱大虐要开心,0,2020-02-13 19:09
https://weibo.cn//u/6006269237,Judy_chen1995,男,北京,4,38,19,哪天才能一个也没有啊,1,2020-02-13 19:09
https://weibo.cn//u/1740540491,玉树临风糖伯兔,女,其他,7248,819,356,也看到过 但觉得不可信 我家人看了也不信  果然 是谣言,3,2020-02-13 19:07
https://weibo.cn//u/5864290098,世子2018,男,上海,895,307,28,关键还有一些弱智去相信,3,2020-02-13 19:07
https://weibo.cn//u/2138376470,片片片云,女,上海,3628,196,845,造谣的该请他吃牢饭,2,2020-02-13 19:05
https://weibo.cn//u/7363372124,Yahaha鱼巫巫,男,其他,257,190,19,这种人不用负刑事责任吗？引起了多大的恐慌啊,0,2020-02-13 19:04
https://weibo.cn//u/3557527120,是TTTT呀,女,上海,26,586,116,造谣的那个男的麻烦抓起来！,5,2020-02-13 19:04
https://weibo.cn//u/6381930251,W我的W故事,男,其他,1,10,1,我也收到了这个视频，不过我叫朋友别乱发瑶言,9,2020-02-13 19:03
https://weibo.cn//u/7349404988,米阿唔,女,海外,0,23,2,这当口就算宠物店开门会有生意哇啦？犯得着哇？,1,2020-02-13 19:03
https://weibo.cn//u/1952384717,玉秋songyuqiu,女,辽宁,9160,322,1281,不用批都不会信！上海是最规范的，是全国的榜样。领导重视群众配合,3,2020-02-13 19:02
https://weibo.cn//u/1872859315,丸子懒洋洋,女,上海,6557,422,199,下午看到家里群转的，一听3000就觉得太假了。。。,2,2020-02-13 19:01
https://weibo.cn//u/5465951220,时光之晨030,男,上海,9421,134,112,麻烦造谣的速度抓起来,2,2020-02-13 19:01
https://weibo.cn//wenbindestiny,GN七剑装量子型彬仔,男,上海,12424,133,3239,有点脑子都不会信,4,2020-02-13 19:01
https://weibo.cn//u/7061944686,喵喵_2015,女,其他,1726,81,36,3000例？开什么玩笑！有点脑子的人都不会信的。当然，信息越透明，传谣信谣的就越少。,6,2020-02-13 19:01
https://weibo.cn//u/2806549800,静_rachel,女,上海,1038,385,252,谣言,0,2020-02-13 19:01
https://weibo.cn//shuzhanghan,爱赢的小璋,男,上海,1038,329,303,应该把造谣者公示出来,10,2020-02-13 18:59
https://weibo.cn//u/1986348251,lizlisa-doll,女,上海,10932,248,356,如果造谣，请惩罚付法律责任,1,2020-02-13 18:59
https://weibo.cn//suesuechen,陈闷闷爱吃西瓜,女,上海,3858,535,15583,给你这次的回应速度点个赞,3,2020-02-13 18:59
https://weibo.cn//jinj1202,儿香奈鹅,女,上海,52,228,132,会相信的人也是蛮有劲的,2,2020-02-13 18:59
https://weibo.cn//u/1771988905,墨离向往的天空,女,上海,287,128,174,一看就知道是谣言，怎么可能,1,2020-02-13 18:59
https://weibo.cn//u/1845004122,benni妹妹妈,女,上海,448,377,167,造谣者快点抓起来,1,2020-02-13 18:58
https://weibo.cn//u/5887660298,爱喵的米,女,上海,40936,690,316,关键3000太假了,12,2020-02-13 18:58
https://weibo.cn//u/1885450643,redlake,男,上海,2843,185,259,这种时候还造谣。,1,2020-02-13 18:58
https://weibo.cn//u/1767210577,猫二迷迷,女,上海,2455,247,302,回复@VIPTony:同意,7,2020-02-13 18:58
https://weibo.cn//u/6499700436,Mischievous_Species,男,海外,3012,443,401,造谣的抓的到伐？整天切了特饱给我们自己人添堵对伐？唯恐天下不乱是伐？,0,2020-02-13 18:57
https://weibo.cn//u/2055056320,爆姐有个鲜肉包,女,海外,2016,604,454,这种时候还造谣的人一定要抓起来！唯恐天下不乱,0,2020-02-13 18:57
https://weibo.cn//14133606,丶所以那又怎么样呢,女,上海,1250,552,583,中午听了语音的我瑟瑟发抖,1,2020-02-13 18:57
https://weibo.cn//geniechaeng,MrAlexanderCheng,男,上海,11238,220,2892,谣言止于智者,1,2020-02-13 18:57
https://weibo.cn//527345275,-鱼纸酱酱酱-,女,上海,19742,310,768,关键还有人信这种聊天记录 啥证据没有就靠张嘴叭叭叭的说  然后到处传,21,2020-02-13 18:57
https://weibo.cn//u/5869849526,雪碧朗姆酒,男,上海,61,127,17,那就把这个人抓起来呀 不难吧,1,2020-02-13 18:56
https://weibo.cn//wizcici,嘻嘻有颗少女森,女,上海,9943,689,179,造谣者怎么处罚？,0,2020-02-13 18:55
https://weibo.cn//u/2271687682,超a哟,女,上海,2158,43,104,赶快把这人抓起来让他上电视让他红,1,2020-02-13 18:55
https://weibo.cn//u/1004618355,vvovertherainbow,女,上海,7344,191,18,造谣就真的不必了。 传播谣言之前也拜托动动脑子好伐。 毕竟长了个脑袋也不只是为了看着高一些而已。,2,2020-02-13 18:55
https://weibo.cn//kisarakaiba,Masaki_在米德加送快递的小太阳,女,上海,16840,215,720,关键这个数字不太合乎逻辑…,1,2020-02-13 18:55
https://weibo.cn//u/1783495163,手机用户M_M_M可,女,山西,18653,281,65,希望上海好好的，再过十天就回去了！,0,2020-02-13 18:54
https://weibo.cn//u/5533136309,小羊驼爱吃瓜,女,上海,15,91,55,谢谢小布及时的辟谣,3,2020-02-13 18:53
https://weibo.cn//u/2882729430,一只暖暖口渴了,男,上海,10610,97,73,至少要刑拘一下。,5,2020-02-13 18:53
https://weibo.cn//u/1777098521,yvonne_麻麻,女,上海,926,452,347,我们群里也有人转了，想想怎么可能，上海政府我还是相信的…,1,2020-02-13 18:51
https://weibo.cn//312522216,vanvan是个小熊爪,女,上海,14869,650,1858,造谣不用智商的，牛皮张口就来，如果3000人确诊，那你我身边有多少隐匿的传播者？你还能安心在家吹牛逼？？脑残,81,2020-02-13 18:51
https://weibo.cn//u/6990781879,哔哩哔哩大叔,男,上海,439,85,6585,我才看完谣言没多久,46,2020-02-13 18:50
https://weibo.cn//u/2261335261,唐家闷二,女,上海,261,361,325,一定要把造谣的人抓起来！！！,13,2020-02-13 18:50
https://weibo.cn//u/6223088177,糖糖ForeverYoung,女,上海,25208,695,429,造谣传谣的脑子八污塞牢了啊,23,2020-02-13 18:50
https://weibo.cn//527046788,chris_7_21黄浦二期,男,上海,101976,2137,58396,宠物店老板,0,2020-02-13 18:49
https://weibo.cn//dreamingsleeper,Dreamingsleeper,女,上海,52107,406,19411,造谣的人实在是……别添乱好吗，我们一起守住上海，太平点不好吗？,111,2020-02-13 18:49
https://weibo.cn//234809240,Mitry_ins,男,海外,8069,74,12011,造谣的人全家得病,144,2020-02-13 18:49
https://weibo.cn//208185218,铃铛叮当喵,男,上海,1400,169,540,确诊3000例什么概念，救护车满大街跑了……,193,2020-02-13 18:48
https://weibo.cn//nonohaze,不可向迩,女,上海,700,76,31973,传的太快 太雷     举报             赞[5]         回复             2020-02-13 18:48:28 来自网页,5,2020-02-13 18:48
