微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Jvq7TERdz,#战疫辟谣# 【有人借分发口罩上门抢劫？假的！】据浦东网警微信公众号消息，近日，有网民在网上传播一则所谓的“警察公告”内容。该“公告”称，“有人挨家挨户分发口罩，说这是当地政府的新举措，要你戴上看看是否合适”，又称“口罩已经被加上了化学物质，会把你迷晕，一旦你被迷晕，他们就会开始抢劫你”。该“公告”对此提出警告，并呼吁网民转发分享。警方辟谣：经浦东警方核查，公安机关未发布此类公告，未接到此类警情，认定其为谣言信息。Via新民晚报http://t.cn/A6GnMzbu ,,无,无,TRUE,无,无,2020/11/24 20:34,iPhone客户端,0,2,0,1
Jvm45oW6M,【#上海南站辟谣停运消杀#：一切正常】11月21日，网传上海南站多车停运，南站工作人员让乘客赶快回家，多车停运，车站正准备进行消杀，志愿者活动暂停，当日执勤志愿者全部回家。22日晚间，@铁路上海站 辟谣并配图称，上海南站没事，一切正常。（沸点）沸点视频的微博视频  ,,无,无,TRUE,无,无,2020/11/24 10:14,iPhone客户端,1,1,0,1
JvcRC8KAA,【辟谣! 网传的“本市省际客运停运”信息，为今年1月份的旧闻】#最新#有多位网友反映，有人通过社交媒体在转发“本市省际客运停运”的消息截图。在今天举行的市疫情防控领导小组新闻发布会上，市政府新闻发言人尹欣回应：经核实，这是“上海发布”今年1月26日发布的信息。目前，本市省际客运运行正常，没有变化，请大家不要担心和误解。 http://t.cn/A6GR4rX5 ,,无,无,TRUE,无,无,2020/11/23 10:48,HUAWEI P30 Pro,1,1,0,1
Jtirrdj0C,#战疫辟谣# 【上海今日新增第2例本土病例？官方辟谣来了！】网传上海今日新增第2例本地新冠肺炎确诊病例，据@健康上海12320 ，经核查，该情况不属实。  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/a21f71c6ly1gkke5jyasjj20gd0l0gly.jpg,http://ww4.sinaimg.cn/large/a21f71c6ly1gkke5k6ny5j209i07pq32.jpg,http://ww1.sinaimg.cn/large/a21f71c6ly1gkke5jq27hj208f0cr3yq.jpg,http://ww3.sinaimg.cn/large/a21f71c6ly1gkke5kp1m9j20h104pt8r.jpg",无,TRUE,无,无,2020/11/10 21:20,iPhone客户端,7,3,3,1
JsXKawEu9,"转发理由:【上海新增3例人感染H7N9禽流感病例？假的！】#辟谣#   
原始用户: 健康上海12320
转发内容: 【上海新增3例人感染H7N9禽流感病例？假的！】#辟谣#  原图 ",,无,http://wx4.sinaimg.cn/large/8d6bc1fely1gkhpwcm83bj20tk0xdjvb.jpg,FALSE,无,无,2020/11/8 16:38,iPhone客户端,2,3,0,1
Jj2m596Oj,发布了头条文章：《上半年疫情期间涉沪十大网络谣言辟谣榜”发布！您可这样举报网络谣言》  上半年疫情期间涉沪十大网络谣言辟谣榜”发布！您可这样举报网络谣言  ,,无,无,TRUE,无,无,2020/9/4 10:00,微博 weibo.com,0,1,0,1
JiSAUtwGp,【“上半年疫情期间涉沪十大网络谣言辟谣榜”发布！您可这样举报网络谣言→】2020年上海市网络举报宣传月今天（2日）启动。活动启动仪式上，主办方正式发布“2020年上半年疫情期间涉沪十大网络谣言辟谣榜”。如何提高辨识自己的网络谣言的能力？看到网上违法或不良信息该如何举报？快随小布一起来学几招↓ http://t.cn/A645UVfi ,,无,无,TRUE,无,无,2020/9/3 9:09,iPhone客户端,1,1,0,1
IF62NtuTW,【上海一新冠肺炎治愈者复阳？还传给了家人？真实情况公布】#战疫辟谣#金某某，奉贤区确诊病例，经集中隔离治疗治愈出院。在后续随访管理中，曾出现一次实验室检测新冠肺炎核酸阳性结果。后经市疾控中心2次核酸检测，结果均为阴性。另外，其同住的家人，核酸检测结果也均为阴性。相关部门将继续加强随访观察。（上观新闻）http://t.cn/A6wsCECD ,,无,无,TRUE,无,无,2020/4/26 13:06,上海超话,0,3,3,2
IEvFrhX2w,【#世卫组织辟谣新冠病毒起源自实验室#：已有证据表明病毒源自动物】世卫组织发言人法德拉·沙伊卜21日表示，世界卫生组织目前正与两种“大流行”斗争，分别是新冠疫情大流行和“虚假信息大流行”，#世卫称抗疫同时也在抗击虚假消息大流行#。针对近期在媒体和社交平台上流传的一些有关新冠病毒起源的谬论，她表示，所有已知证据都表明新冠病毒源自动物，而不是经实验室人工干预或制造而来的。http://t.cn/A6wEyEpL ,,无,无,TRUE,无,无,2020/4/22 16:29,深度报道 · 视频社区,0,3,2,2
ICpMl0VzT,#战疫辟谣# 【上海成全国最危险地方？武汉今日解封，这个谣言已经传到第三版了】#上海战疫##上海行动# 4月8日零时起，武汉解除离汉离鄂通道管制措施，有序恢复对外交通。解封意味着最艰难的时刻已经过去，就在舆论一片为武汉“重启”高兴之际，一则关于武汉解封后会给上海带来什么影响的传言在网上广泛流传，且短短一天之内，这则传言竟然翻了3个版本。http://t.cn/A6wvp5PW 原图 ,,http://wx4.sinaimg.cn/large/a21f71c6ly1gdmp5ceih7j209r07d0ty.jpg,无,TRUE,无,无,2020/4/8 21:49,无,28,10,18,2
IBN9XDllL,#战疫辟谣##上海战疫# 【辟谣！网传#上海崇明入境隔离人员逃离隔离点不实# 】据上海崇明 ：近日，上海崇明区集中隔离点龙群度假村对3名已满医学隔离观察期的境外来崇人员解除了集中隔离。其中2名英国籍本区外教搭乘CA808航班于3月19日抵沪并来崇接受集中医学隔离观察；1名中国籍入境返崇人员搭乘SQ321/SQ830航班于3月18日抵沪并在外区接受医学管理，3月21日转入本区集中隔离点完成后续医学观察。3名对象均在4月2日满14天隔离期，隔离期间身体健康，状态良好，符合相关规定，实施解除隔离，并由所属单位和乡镇接回住所。网传入境隔离人员逃离隔离点一事纯属谣传。 http://t.cn/A6ZRK5Y2 ,,无,无,TRUE,无,无,2020/4/4 19:30,无,5,3,3,3
IBBD00eMC,【四六级你过了没？】3日， #教育部辟谣取消6月份四六级考试#，考试中心证实，推迟部分考试的网上报名工作，并未发布取消考试的通知。四六级你过了没？   四六级你过了没？  ,,无,无,TRUE,无,无,2020/4/3 14:09,HUAWEI P30 Pro,287,3,4,1
IBAyKkzaS,#教育部辟谣取消6月份四六级考试# 英语考试出现最多的200个英语词组！ 适用于托福雅思考研英语四六级等，考前看看！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/a21f71c6gy1gdgf0vx1b0j20j60y3q4z.jpg,http://ww3.sinaimg.cn/large/a21f71c6gy1gdgf0wn34gj20j60y3jtu.jpg,http://ww1.sinaimg.cn/large/a21f71c6gy1gdgf0xebxuj20j60y3jtd.jpg,http://ww2.sinaimg.cn/large/a21f71c6gy1gdgf0xwyxmj20j60y5jtf.jpg,http://ww3.sinaimg.cn/large/a21f71c6gy1gdgf0ybsk1j20j60y3gnt.jpg,http://ww3.sinaimg.cn/large/a21f71c6gy1gdgf0ypl7ij20j60y3dhs.jpg,http://ww4.sinaimg.cn/large/a21f71c6gy1gdgf0z3cucj20j60y30uz.jpg,http://ww1.sinaimg.cn/large/a21f71c6gy1gdgf0zfhhkj20j60xbjtl.jpg,http://ww1.sinaimg.cn/large/a21f71c6gy1gdgf0zun17j20j60y1tao.jpg",无,TRUE,无,无,2020/4/3 11:25,HUAWEI P30 Pro,77,66,4,1
