评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2139524395,Linda王110523,女,上海,2129,162,187,亲 我信,0,2020-04-09 19:15
https://weibo.cn//u/1065233023,木村小欢欢,男,上海,3325,366,280,上海已成为全球最适合投资和居住的城市，理解他们，如果有能力和条件谁不想托家带口去更好的城市生活？做为人口流入大城市，开放程度也大，但就是管控的好…北京很早就全不给进了…每天海外来的有一半落地上海…,0,2020-04-09 18:18
https://weibo.cn//u/3032409741,公子九幽在此,男,江西,1933,1162,575,不抓吗？这种妖言惑众的老鼠最恶心,0,2020-04-09 16:55
https://weibo.cn//u/2139524395,Linda王110523,女,上海,2129,162,187,亲 我信,0,2020-04-09 19:15
https://weibo.cn//u/1065233023,木村小欢欢,男,上海,3325,366,280,上海已成为全球最适合投资和居住的城市，理解他们，如果有能力和条件谁不想托家带口去更好的城市生活？做为人口流入大城市，开放程度也大，但就是管控的好…北京很早就全不给进了…每天海外来的有一半落地上海…,0,2020-04-09 18:18
https://weibo.cn//u/3032409741,公子九幽在此,男,江西,1933,1162,575,不抓吗？这种妖言惑众的老鼠最恶心,0,2020-04-09 16:55
https://weibo.cn//u/6630300481,锦锦带你飞,男,上海,340,968,142,我觉得形势依然严峻没错啊，因为有好多无症状。所以提醒人们多加防护哪里有错了,0,2020-04-09 16:07
https://weibo.cn//u/1851058140,易小朵花1128,女,上海,564,46,178,受害者之一不想说什么了，保护好自己吧。,1,2020-04-09 09:08
https://weibo.cn//u/2950783574,牵着二哈滑滑板,男,上海,205,311,2060,回复@牵着二哈滑滑板:谣言已经成真了,0,2020-04-09 07:22
https://weibo.cn//u/6325422277,顾村村草,女,上海,357,740,32,哪里有问题？你自己去携程看看武汉到上海的火车票！,0,2020-04-09 06:37
https://weibo.cn//phoebe000,垚ling7ling6,女,上海,13339,729,443,     举报             赞[0]         回复             2020-04-09 00:12:11 来自网页,0,2020-04-09 00:12
https://weibo.cn//u/7157943693,覆水之上,男,其他,4874,35,619,谁还记得两月份开始的时候传谣几十万人呢,2,2020-04-08 22:37
https://weibo.cn//u/3212182307,王木木要瘦-要瘦-要瘦-,女,上海,17970,935,297,     举报             赞[0]         回复             2020-04-08 22:27:06 来自网页,0,2020-04-08 22:27
https://weibo.cn//u/1247615103,努力的鱼丸爹地,男,上海,18852,361,1032,     举报             赞[0]         回复             2020-04-08 22:26:36 来自网页,0,2020-04-08 22:26
https://weibo.cn//u/1735828642,江笑七,男,上海,1199,138,170,一点没说错，看看北京什么政策，上海不脸红？,2,2020-04-08 22:22
https://weibo.cn//u/1681314825,宿命的囡囡,女,上海,3972,386,325,看了几条这个辟谣了，完全没实质性内容，还没图片里东西可信,0,2020-04-08 22:18
https://weibo.cn//u/2950783574,牵着二哈滑滑板,男,上海,205,311,2060,无风不起浪，很多谣言都后来实现了,4,2020-04-08 22:17
https://weibo.cn//u/1739591360,微笑的小波,男,海外,16691,72,1027,说的也没错啊,14,2020-04-08 21:55
