评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1965468145,潇湘人_凉拌菜,女,上海,4875,368,373,那解释一下吴淞码头600号人吧,18,2020-01-26 19:26
https://weibo.cn//u/3212182307,王木木要瘦-要瘦-要瘦-,女,上海,17970,935,297,不信谣，不传谣,1,2020-01-26 21:52
https://weibo.cn//571100299,伊度少君,男,上海,3549,557,680,造谣好玩吗？还不嫌事大吗？脑子进水了吗？,1,2020-01-26 21:33
https://weibo.cn//icefroth,手心上的冰,女,上海,6713,549,733,同问之前传言的600人从吴淞码头进来的事情？,0,2020-01-27 11:45
https://weibo.cn//u/5974565453,周馨晴,男,北京,44725,5820,254884,这是高手,0,2020-01-27 02:44
https://weibo.cn//phoebe000,垚ling7ling6,女,上海,13339,729,443,     举报             赞[0]         回复             2020-01-26 23:42:00 来自网页,0,2020-01-26 23:42
https://weibo.cn//u/1247615103,努力的鱼丸爹地,男,上海,18852,361,1032,     举报             赞[0]         回复             2020-01-26 23:15:51 来自网页,0,2020-01-26 23:15
https://weibo.cn//u/3212182307,王木木要瘦-要瘦-要瘦-,女,上海,17970,935,297,不信谣，不传谣,1,2020-01-26 21:52
https://weibo.cn//571100299,伊度少君,男,上海,3549,557,680,造谣好玩吗？还不嫌事大吗？脑子进水了吗？,1,2020-01-26 21:33
https://weibo.cn//u/1858697654,EGCHINA-昌幸,男,上海,4541,776,148,解释下23号高铁那批吧,0,2020-01-26 21:25
https://weibo.cn//u/1882450924,酷酷的弥赛亚,女,上海,16031,110,69,     举报             赞[0]         回复             2020-01-26 20:11:54 来自网页,0,2020-01-26 20:11
https://weibo.cn//qianzi007,神二儿,男,山西,1748,17923,2001360,     举报             赞[0]         回复             2020-01-26 19:31:37 来自网页,0,2020-01-26 19:31
https://weibo.cn//u/7157943693,覆水之上,男,其他,4874,35,619,带好口罩就完事咯,0,2020-01-26 19:28
https://weibo.cn//u/7353362016,好想吃火锅啊1,女,海外,733,35,11,网上谣言太多喽 大家自己防护好咯,0,2020-01-26 19:28
https://weibo.cn//u/1965468145,潇湘人_凉拌菜,女,上海,4875,368,373,那解释一下吴淞码头600号人吧,18,2020-01-26 19:26
