微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JbUE45wDZ,【#美主持人辟谣口罩藏5G天线且致癌#】“赶紧丢掉你的口罩！里面有根5G天线能控制你并且患上脑癌！”近日，美国社交媒体上广泛流传着这样的内容。美国一节目对此言论进行辟谣，“这样的说法没有任何科学依据！”主持人提醒，口罩“不仅不包含5G天线，而且你不能用它来下载任何东西或打电话”，口罩的唯一好处“就是保护你和其他人免受病毒的传播。”http://t.cn/A6yQDIgF #美国民众怀疑口罩鼻梁条是5G天线# ,,无,无,TRUE,无,无,2020/7/19 13:30,无邪君的Android,273,91,63,2
J6MbCrW0J,【转发辟谣！#北京疫情这些谣言别信#】北京欢乐谷游客核酸检测呈阳性？河北燕郊一家三口发烧？北京育民小学已有学生确诊新冠肺炎？北京灯市口稻香村出现确诊病例？这些全是谣言。@首都网警 呼吁：防控不能松懈，重视但不恐慌。转发提醒！  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/5ed0f760ly1gft606396nj20c80le0u8.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gft606e90aj20c80mqgn8.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gft606oui9j20c80uk41r.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gft606zwafj20c80letan.jpg",无,TRUE,无,无,2020/6/15 18:46,无邪君的Android,87,191,22,1
IEvUnohZi,【#世卫组织辟谣新冠病毒起源自实验室#：已有证据表明病毒源自动物】世卫组织发言人法德拉·沙伊卜21日表示，世界卫生组织目前正与两种“大流行”斗争，分别是新冠疫情大流行和“虚假信息大流行”，#世卫称抗疫同时也在抗击虚假消息大流行#。针对近期在媒体和社交平台上流传的一些有关新冠病毒起源的谬论，她表示，所有已知证据都表明新冠病毒源自动物，而不是经实验室人工干预或制造而来的。http://t.cn/A6wEyEpL （央视） ,,无,无,TRUE,无,无,2020/4/22 17:06,深度报道 · 视频社区,118,101,21,2
Iz0uCEhc0,【辟谣！#北京海关辟谣11万人从欧洲到北京#】3月16日，有网络传言：“北京海关向国内航空公司汇总欧洲至北京航班机票预订情况，中午统计结果出来了，未来一周有11万人从欧洲各地到北京。”经核实，我关未开展过此项调查，该消息为虚假信息。@北京海关12360  原图 ,,http://wx3.sinaimg.cn/large/5ed0f760ly1gcwsd4n57sj20wq0he40p.jpg,无,TRUE,无,无,2020/3/17 11:56,无邪君的Android,312,105,50,1
ItLRGlnCI,【抢完口罩又疯抢卫生纸】新型冠状病毒肺炎疫情持续，台湾口罩供不应求。最近岛内有传言，制造卫生纸的原料要用来制作口罩，未来卫生纸也会缺货，引发台民众卫生纸抢购潮，尽管台当局出面辟谣，但超市货架还是很快被“扫空”。小央视频的秒拍视频 （小央视频）  ,,无,无,TRUE,无,无,2020/2/12 1:30,铀媒,93,40,41,1
IsFFdCizG,【#钟南山迎接美国药企老总不实#】网传美国药企吉利德研发的瑞德西韦，对新冠病毒有“抑制”作用，“钟南山院士在机场迎接吉利德公司老总”。对此，钟南山院士团队通过总台独家辟谣：与钟南山在机场洽谈的是美国哥大传染病学教授W. Ian Lipkin，并非吉利德公司老总。此外，瑞德西韦的疗效仍待观察。（央视新闻） [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/5ed0f760ly1gbkm3y3c5fj20j60lw41b.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gbkm3y3dfej20dg0j20ve.jpg",无,TRUE,无,无,2020/2/4 19:52,微博 weibo.com,147,56,28,2
IrAqUCOB5,【转发辟谣！#这些疫情谣言不要信#】钟南山建议全国人民在家隔离两周？吃大蒜胜过杀病毒的口腔药物？吃香蕉会得新型冠状病毒肺炎？香油滴鼻孔可阻断传染？人中涂风油精可预防呼吸道疾病？熏白醋能消毒空气？……这些传言通通都是假的！#最新疫情谣言汇总#，转给身边人！（人民日报）  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/5ed0f760ly1gbcdb12rrnj20go0jndhp.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gbcdb1xg0aj20go0jn405.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gbcdb2g0vgj20go0jntad.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gbcdb33izwj20go0jnjt1.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gbcdb3oaf5j20go0jndhn.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gbcdb48udrj20go0jnabr.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gbcdb4th3qj20go0jn761.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gbcdb5g3nqj20go0jn0ui.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gbcdb62ly8j20go0jnq4p.jpg",无,TRUE,无,无,2020/1/28 16:43,无邪君的Android,29,35,5,1
IroKfDjoz,【辟谣！#武汉市红十字会不存在收取服务费问题#】近日，有网络传言“武汉市红十字会向上海医疗队收取6%—8%捐赠服务费“。记者从中国红十字会了解到，武汉市红十字会只负责接收捐赠物资，具体发放分配，由市卫健委统一根据各医院实际需求调拨安排，运送车辆由各医院自行安排，市红十字会的转运车辆也是通过与武汉市交通委员会协调后，免费运送。武汉市红十字会至今为止的所有工作流程中，均不存在任何收费现象。（新华社） 原图 ,,http://wx3.sinaimg.cn/large/5ed0f760ly1gbaxpjfkmzj20j60dyjt9.jpg,无,TRUE,无,无,2020/1/27 10:58,无邪君的Android,83,30,21,2
Irfr73T3V,【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！（人民日报）  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/5ed0f760ly1gb9sm0wv2bj20dw0m80to.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb9sm18yyfj20dw0m80to.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gb9sm1jscfj20dw0m8756.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb9sm1tmklj20dw0m8jsc.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gb9sm239n4j20dw0m80tl.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb9sm2e0qij20dw0m8my1.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb9sm2mw30j20dw0m8q3v.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb9sm2xjmsj20dw0m8my2.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gb9sm3fnyfj20dw0m8dgo.jpg",无,TRUE,无,无,2020/1/26 11:16,无邪君的Android,39,42,11,1
Ir6n3myPZ,【辟谣！共青团中央：武汉某医院相关视频不属实 为配音再制作】@共青团中央 : 近日，某网友发博称武汉市某医院存在尸体无人处理的情况，经核实，相关视频为配音再制作，情况不属实。我们在此呼吁网友不造谣、不传谣、不信谣，如有相关谣言线索请发至#疫情辟谣#话题下，净化网络环境，我们共同努力！  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/5ed0f760ly1gb8ol6an29j20u01hcte8.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb8ol6nvkdj20u01p8wj2.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb8ol6v1f0j20jh09ewfs.jpg",无,TRUE,无,无,2020/1/25 12:11,无邪君的Android,243,56,65,3
IqV2MkdBG,【转发辟谣！#这些新冠肺炎传言是假的#】熏醋可以预防新型冠状病毒？钟南山院士建议盐水漱口防病毒？抽烟能预防病毒感染？喝酒能杀菌，不易感染？多带层口罩才能防住病毒？…这些说法你听过吗？#吸烟喝酒可抵抗疫情系谣言#，这些统统都是假的！戳图了解↓↓不信谣，不传谣！扩散周知！#我愿意为你守护#  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/5ed0f760ly1gb7aknqw4kj20go0jntay.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb7akqkihsj20go0jntav.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb7akrtte5j20go0jnmzm.jpg,http://ww1.sinaimg.cn/large/5ed0f760ly1gb7akt01kbj20go0jn40p.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb7akundyqj20go0jnq58.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gb7akwkezaj20go0jnq55.jpg,http://ww3.sinaimg.cn/large/5ed0f760ly1gb7al1610kj20go0jnwgs.jpg,http://ww4.sinaimg.cn/large/5ed0f760ly1gb7al2ssbzj20go0jnq5h.jpg,http://ww2.sinaimg.cn/large/5ed0f760ly1gb7al3ftq8j20go0jngnn.jpg",无,TRUE,无,无,2020/1/24 7:21,无邪君的Android,966,318,103,1
