评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5543557733,泡发的张起灵看起来很好次w,女,其他,610,394,153,？？？美国最近的新闻怎么都可以进入人类迷惑行为大赏,64,2020-07-19 13:33
https://weibo.cn//u/2479661355,君思长安酒,女,湖北,3656,188,177,这玩意看多了我觉得我智商贼高,53,2020-07-19 13:31
https://weibo.cn//tianzki007,首领威震天,男,北京,261,179,63,为什么会有人相信？？,12,2020-07-19 13:38
https://weibo.cn//u/1540191313,山西闻喜反邪教,女,山西,13845,986,474,【,0,2020-07-20 10:21
https://weibo.cn//u/5893968025,呼伦贝尔反邪教,男,内蒙古,14799,768,536,【,0,2020-07-20 09:33
https://weibo.cn//u/5579893841,泼皮小二,男,其他,0,27,7,小心素质教育吧、这就是公知宣传并大力推动的素质教育、快乐教育的结果、其目的就是反智教育把老百姓的孩子教成傻子好让他们的孩子世世代代骑在人民的头上作威作福,0,2020-07-19 18:27
https://weibo.cn//u/6516572347,凤凤咩,男,其他,1415,89,10,啊这？？？？,0,2020-07-19 18:03
https://weibo.cn//fengdengyaoshui,风灯摇水,女,北京,475,193,80,脑洞大开！提醒我了。,0,2020-07-19 17:59
https://weibo.cn//u/6745920406,乌龟星球唯一恶霸,女,广东,168,382,7, 为什么会有人信,0,2020-07-19 17:38
https://weibo.cn//u/1752533024,小时爱吃辣椒,男,其他,6346,5045,1456,何时候在体制内如高校等地方能真正开始反邪教？民不举官不究、玩忽职守不作为并纵容希邪教发展绝不是党的作风，我相信国家是主张打击邪教的，所以请你们也积极的在高校内反邪教。请开始你们在体制内如高校里打击邪教的表演 ,0,2020-07-19 17:22
https://weibo.cn//u/2682443927,睡梦中的传说,男,辽宁,240,25,402,美国都承包我一年的笑点了。,0,2020-07-19 17:11
https://weibo.cn//u/7384117533,aka穆平,男,其他,1663,208,6,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈怎么会有人信啊,0,2020-07-19 16:49
https://weibo.cn//u/2183173733,米三停止买书,男,其他,13905,461,97,妈呀，这口罩科技含量挺高，卖得还不贵，5g手机价格降到百元以内指日可待啊,0,2020-07-19 16:11
https://weibo.cn//u/5843519590,Plateau-barley,女,西藏,35,99,92,嗯？ 造谣不打草稿系列？,0,2020-07-19 16:07
https://weibo.cn//u/5720245623,我是一只伪僵尸,女,其他,217,115,20,可能病毒攻击的是美国人的大脑吧？,0,2020-07-19 15:41
https://weibo.cn//u/6560654410,我就吃亿口a_,女,浙江,304,97,9,就…挺反智的,1,2020-07-19 15:31
https://weibo.cn//u/6036004001,桃子味的屁西歪,女,上海,826,90,44,这……,0,2020-07-19 15:10
https://weibo.cn//u/2102623161,西阳屯著名学术垃圾,女,河南,1197,182,160,技术这么成熟了,0,2020-07-19 15:04
https://weibo.cn//u/1170453462,那个沈,男,江苏,1700,687,146,快乐教育这是让老百姓反智到何等地步了,0,2020-07-19 14:54
https://weibo.cn//u/6748536838,无趣又无聊两无,女,其他,1356,82,22,智商是硬伤,1,2020-07-19 14:50
https://weibo.cn//u/5088968474,淮序长风,女,甘肃,106,276,214,……就一到两块钱一只你还想买个啥回去,0,2020-07-19 14:39
https://weibo.cn//u/2744563615,ebear88,男,北京,18811,327,3260,恍然大明白啊，原来新冠病毒是通过口罩无线发送到美国的,0,2020-07-19 14:35
https://weibo.cn//u/1627018921,月光下的胡萝卜,男,浙江,19923,420,961,为了迫害中国企业而把本国老百姓洗脑成二百五……鹰酱操作正常人真的学不来,1,2020-07-19 14:34
https://weibo.cn//u/2936218113,残心残梦,男,河北,4223,326,154,走近科学绝对拍不出这个来,1,2020-07-19 14:32
