微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Jy73rDuDy,"转发理由:#在线辟谣# #南京机场劝返成都旅客是P的#近日，一张南京禄口国际机场劝返成都旅客的图在网络上流传。经核实，该图是经过修改的图片。原图显示要求“成都郫都区的旅客进行申报登记”。#成都郫都区全员核酸检测#   
原始用户: 四川日报
转发内容: #南京机场劝返成都旅客是P的#【南京禄口机场劝返成都旅客？假的！】#郫都全员核酸检测# 12月12日，一张写有疑似南京禄口国际机场在接机口标注“请来自四川省成都市的游客原路返回”的照片在网上流传，引起了众多网友的热议。就此，川观新闻记者求证了刚刚在南京禄口国际机场下飞机的网友“手术灯”。据他拍摄的现场视频显示，标识牌上显示的内容为“请来自四川省成都市郫都区的旅客主动到此申报登记”，并非是网上流传的“请来自四川省成都市的游客原路返回”。当日12点56分，网友“手术灯”乘坐的航班到达南京禄口国际机场。“登机前就看到网上在流传这个图片，所以我下飞机的时候专门看了一下。” 网友“手术灯”告诉记者，这个标识牌设立在一个电梯下方，显示的内容为“请来自四川省成都市郫都区的旅客主动到此申报登记”。在网友“手术灯”拍摄的18秒视频中，他还专门给了标识牌一个特写，“大家看看，真实的是这样的。”（记者 张庭铭 王眉灵）http://t.cn/A6qbaPIH ",,无,无,FALSE,无,无,2020/12/12 13:32,小中哥的Android,3,0,1,1
Jxv3w0PhE,#师生健康中国健康# 【网传@成都理工大学 因本土疫情原因封校？@成都发布 辟谣】12月8日，#成都理工#登上热搜，网传成都理工大学因成都本土疫情原因封校。8日上午，有媒体记者在成都理工大学采访时获悉，学校并未封校，学生凭证件可正常进出。同时，学校近期正在组织考试，校外人士无正当理由拒绝入内。#成都疫情谣言# 原图 ,,http://wx2.sinaimg.cn/large/65d070aely1glgcpgn8qsj20hs0u077l.jpg,无,TRUE,无,无,2020/12/8 12:48,小中哥的Android,7,0,2,3
JlnmkloVS,#平安校园# 2019-2020年最受青少年关注的网络十大辟谣案例发布，戳↓↓一起了解真相！#明是非辨曲直# 共青团中央的秒拍视频  ,,无,无,TRUE,无,无,2020/9/19 19:09,微博 weibo.com,45,16,2,2
IBAArdXmI,#在线辟谣# 【教育部辟谣：#6月份英语四六级考试取消不实#】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，记者3日从教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。（新华社） 原图 ,,http://wx2.sinaimg.cn/large/65d070aely1gdgf4f0kdgj20u00u076b.jpg,无,TRUE,无,无,2020/4/3 11:30,周五小中妹Android,13,7,1,1
IBkG6gu9H,#在线辟谣#【谣言！网传河北各级各类学校4月10日开学】4月1日，网上出现一则“河北省各级各类学校开学时间定于4月10日”的消息，并附有河北省教育厅发文截图。尽管该截图及相关内容像模像样，但经河北省教育厅确认，该厅官方网站并未上传这则消息，该消息为假消息，属不实传言。据了解，目前河北省尚未明确具体开学时间，一旦确定将通过官方渠道公布，请家长和广大群众不信谣不传谣。 [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/65d070aely1gdegwwx5kpj20t013magl.jpg,http://ww1.sinaimg.cn/large/65d070aely1gdeh1keohej20u00u0q5l.jpg",无,TRUE,无,无,2020/4/1 19:00,周三小中妹Android,22,9,9,1
IBiEsc8W7,"转发理由:#在线辟谣# 【网传有关山东开学时间的信息，经核实为不实信息】 //@青春山东: 造谣一张嘴，辟谣跑断腿。  
原始用户: 山东教育新闻
转发内容: 【网传有关山东开学时间的截图，经核实为不实信息】  [组图共4张] 原图 ",,无,"http://ww2.sinaimg.cn/large/0060NMMKly1gde63szynkj31hc0u0wjr.jpg,http://ww3.sinaimg.cn/large/0060NMMKly1gde63scn7qj30jw0jw0vg.jpg,http://ww3.sinaimg.cn/large/0060NMMKly1gde63tqex3j30g60lkmzp.jpg,http://ww3.sinaimg.cn/large/0060NMMKly1gde8e4jac2j30ci0m8tag.jpg",FALSE,无,无,2020/4/1 13:50,微博 weibo.com,14,4,6,1
Izw8szXrb,"转发理由:#在线辟谣#@四川文理学院 关于“学校两名外教被确诊新冠病毒并返回达州”事件的辟谣。#师生健康中国健康#   
原始用户: 四川文理学院
转发内容: #文理公告栏# 【关于“我校两名外教被确诊新冠病毒并返回达州”事件的辟谣】        新冠肺炎疫情发生以来，我校高度重视疫情防控工作，严格执行全校师生“一日一报”制度，确保教职工网格化、精准化健康和行踪管理。现网络群组中出现我校两名外教被确诊并返回达州的传言，经仔细排查，实属谣言，请大家切勿传谣信谣，以免对我校造成不必要的负面影响，给达州市民带来恐慌！感谢大家对我校的关心和支持。@平安达州 @达州卫生健康 @新浪达州 @达州发布 @四川发布 @四川高校头条 @中国大学生在线  @四川教育 [组图共2张] 原图 ",,无,"http://ww4.sinaimg.cn/large/005BZEoLgy1gd0o08vbo2j30u01t0dl5.jpg,http://ww4.sinaimg.cn/large/005BZEoLgy1gd0o0jm98lj30u01t0grk.jpg",FALSE,无,无,2020/3/20 20:29,无,8,0,0,1
Izs0WDZzv,#在线辟谣# 【假的！这些涉外疫情谣言可别信！】湖州2名境外输入病例回家后串门访客？华人感染新冠回国后因为自费治疗要投诉？4名意大利返乡人员发烧？近日，各类与境外疫情输入相关的谣言散布，一时难辨真假。#严防境外输入病例#相关谣言盘点↓↓为你逐一击破！谣言终将止于智者！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/65d070aely1gczq1artc1j20j60j740x.jpg,http://ww2.sinaimg.cn/large/65d070aely1gczq1arspfj20j60j70v6.jpg,http://ww2.sinaimg.cn/large/65d070aely1gczq1aryujj20j60j7dic.jpg,http://ww3.sinaimg.cn/large/65d070aely1gczq1asef4j20j60j740w.jpg,http://ww3.sinaimg.cn/large/65d070aely1gczq1as2jmj20j60j7dhy.jpg,http://ww3.sinaimg.cn/large/65d070aely1gczq1as908j20j60j7q5b.jpg,http://ww2.sinaimg.cn/large/65d070aely1gczq1auodfj20go0go0vn.jpg,http://ww1.sinaimg.cn/large/65d070aely1gczq1auy1kj20j60j70vf.jpg,http://ww3.sinaimg.cn/large/65d070aely1gczq1axu5fj20go0go0vn.jpg",无,TRUE,无,无,2020/3/20 10:00,微博 weibo.com,9,0,4,1
IzmPHm9oS,#在线辟谣#【中国驻英大使馆：网传留学人员患病死亡不实】近日，社交平台流传多则信息，声称英国高校内有我留学人员疑似感染新冠肺炎，拨打NHS111热线得不到回应，或要求就医被拒，导致在家自我隔离期间死亡。驻英国使馆对此高度重视，立即通过有关渠道调查核实，现确认，使馆未收到英国官方关于此类案件的通报，相关各校校方和中国学联也均予否认。事实证明，有关消息皆为谣言。#疫情辟谣##共抗疫情爱国力行# [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/65d070aely1gcziyz01qwj20u01mgn75.jpg,http://ww4.sinaimg.cn/large/65d070aely1gczizrsk1ej20u00u0q5l.jpg",无,TRUE,无,无,2020/3/19 20:48,大学生超话,6,0,2,1
IyHjua4UD,#在线辟谣#在全社会抗击疫情的特殊时期，我们又迎来了一年一度的3.15，今天，小中为各位老师、家长，总结了近期利用网课进行诈骗的案例以及与疫情相关的谣言，快来你有没有“踩雷”#共抗疫情爱国力行#@中国教育报 今日3.15！这些利用网课的诈骗要警惕，这些疫情相关谣言千万别信！  ,,无,无,TRUE,无,无,2020/3/15 11:06,周日小中哥Android,17,7,5,1
