评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//2013HUFE,黑龙江财经学院,男,黑龙江,10906,265,9334, 举报 赞[0] 回复 2020-01-26 19:48:23 来自网页,0,2020-01-26 19:48
https://weibo.cn//u/6286713948,Aomr红浥,女,其他,5693,1130,106,这都是谁在瞎编乱造，昨天还说下午四点到四点半我们青海省内进行飞机撒药消毒的。可恶我还信了当时。,3,2020-01-26 20:53
https://weibo.cn//u/6339538535,简木木咩,女,山东,23349,755,385,辟谣，我们班群也发了,1,2020-01-26 20:31
https://weibo.cn//u/5394480123,Amonologue啊瑶,女,其他,1406,31,531,我们也让看了,0,2020-01-26 21:31
https://weibo.cn//u/1522280162,长着雀斑的小林,女,福建,163,551,407,回复@菲怠慢:我更尴尬，都发在家长群里了,0,2020-01-26 21:31
https://weibo.cn//u/5721004348,北极王老二,女,陕西,4,15,33,我们学校也发了,0,2020-01-26 21:20
https://weibo.cn//u/6286713948,Aomr红浥,女,其他,5693,1130,106,回复@佛系CP粉儿:就是，到处人心惶惶的，还有心思瞎编谣言，真真的可恨！！！！,0,2020-01-26 21:05
https://weibo.cn//u/6321267886,茵仪爱吃软糖,女,广东,56,185,193,回复@长着雀斑的小林:有点尴尬，我转发了朋友圈,0,2020-01-26 21:02
https://weibo.cn//u/5689415214,W被注册过了,女,其他,19,173,241,回复@Aomr红浥:坐标河南我们这也说，还有云南的朋友他们都有收到这种消息，这种时候还要造谣真的是其心可诛,0,2020-01-26 20:58
https://weibo.cn//u/6286713948,Aomr红浥,女,其他,5693,1130,106,这都是谁在瞎编乱造，昨天还说下午四点到四点半我们青海省内进行飞机撒药消毒的。可恶我还信了当时。,3,2020-01-26 20:53
https://weibo.cn//u/5538208440,冇乜事啊,男,山西,54,108,201,班群里发过,0,2020-01-26 20:34
https://weibo.cn//u/6704447289,平成奥特曼,男,澳门,545,246,237,TMD，造谣的从重处理，能不能送去活体实验,0,2020-01-26 20:33
https://weibo.cn//u/6339538535,简木木咩,女,山东,23349,755,385,辟谣，我们班群也发了,1,2020-01-26 20:31
https://weibo.cn//shwwe,S星星文儿w,女,北京,745,283,566,我们班级群也发了,0,2020-01-26 20:30
https://weibo.cn//u/5725845261,寂寞中靠近擁抱中痊癒,女,江苏,566,240,31,图三是央视的节目单啊，还不够权威？,0,2020-01-26 20:26
https://weibo.cn//u/2763442005,玛斯玛斯,女,黑龙江,916,595,162,我就知道人家没时间给你们做节目,0,2020-01-26 20:26
https://weibo.cn//zhubinnpu,逆風細雨zZ,男,北京,588,305,205,回复@芊山万羽a:请问什么是权威 是你九点半搬板凳看不到节目吗,0,2020-01-26 20:22
https://weibo.cn//u/2369439610,2021baiye,男,其他,1871,1513,132,我周四就看到有人发,0,2020-01-26 20:20
https://weibo.cn//u/2001102727,荆红丶文,男,江苏,58,40,103,回复@中国大学生在线:,0,2020-01-26 20:20
https://weibo.cn//577446016,Melissa_Cl,女,辽宁,1164,376,588,回复@爱喝可乐的lemon:+1,0,2020-01-26 20:17
https://weibo.cn//univs,中国大学生在线,女,北京,64044,4132,2355123,回复@芊山万羽a:我敢为自己的话负法律责任，你敢吗？,8,2020-01-26 20:08
https://weibo.cn//u/5131828576,没错就是爱吃甜食的美少女,女,河南,367,143,96,我们学校已经群发了,0,2020-01-26 20:04
https://weibo.cn//u/6474550746,小小小小小小新仔,男,其他,647,506,11,我们班主任都发了？？？？,0,2020-01-26 20:03
https://weibo.cn//u/1893994413,吃饺子要记得蘸醋,男,黑龙江,186,1046,208,我们辅导员还要求转发班群,2,2020-01-26 20:02
https://weibo.cn//u/1949620107,杨白雪,女,广东,241,271,359,为什么连这都有谣言？,0,2020-01-26 20:00
https://weibo.cn//u/3898546514,良莠的夏,女,河南,892,345,459,我学校还发了,0,2020-01-26 19:59
https://weibo.cn//u/3290995731,李乔木_,女,其他,4799,310,318,辟谣辟谣[加油],0,2020-01-26 19:59
https://weibo.cn//u/5079227520,AhhhhhSeven,男,广东,3,40,39,所以是什么东西,0,2020-01-26 19:59
https://weibo.cn//u/5856307985,亦韵爱吃削劲面,女,陕西,28,50,8,这个到底是真的还是假的，我们都发学生了，涉及很多学生，让人很尴尬,0,2020-01-26 19:59
https://weibo.cn//u/5602251381,七只小猫-,女,广东,691,167,180,我学校发的通知,0,2020-01-26 19:58
https://weibo.cn//u/5491733744,名字名字哇,女,广东,287,451,170,回复@名字名字哇:我们大学咧，如果真的没有也就算了，如果有没看到就。。。,0,2020-01-26 19:57
https://weibo.cn//u/2276737834,努力就不会迷茫,女,福建,1531,235,239,我们学校也让看！真奇怪,0,2020-01-26 19:57
https://weibo.cn//u/5491733744,名字名字哇,女,广东,287,451,170,我们学校也刚发了通知？？,0,2020-01-26 19:54
https://weibo.cn//u/3243994287,M只愿你好Q,女,天津,830,159,125,回复@海盐香橘:刚才我看了看，是面对面节目，但具体是啥内容就不知道了。,0,2020-01-26 19:53
https://weibo.cn//u/3895851574,海盐香橘,女,江苏,25,75,299,这个到底真的假的,0,2020-01-26 19:52
