评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2466583742,木头瓜子啊帆一帆,女,四川,414,337,248,这也有人信？！,2,2020-02-05 23:06
https://weibo.cn//u/3893662703,合肥靡初数码,男,安徽,905,102,307,今年是1020年吗？,0,2020-02-06 08:30
https://weibo.cn//236012003,淘客外贸,女,辽宁,143,2059,3470,回复@昆仑山仙童:有病吧 吃饱了撑的 骗大家出去,0,2020-02-06 15:06
https://weibo.cn//u/3893662703,合肥靡初数码,男,安徽,905,102,307,今年是1020年吗？,0,2020-02-06 08:30
https://weibo.cn//u/3975865489,归心似箭的了,女,北京,219,358,214,回复@堂主小心肝:你只是嘴巴寂寞了,0,2020-02-06 02:06
https://weibo.cn//u/5659501096,堂主小心肝,女,江苏,159,161,51,回复@木头瓜子啊帆一帆:向我传递假消息的人说得特别真，我本着宁可信其有，不可信其无的心态就去煮了,0,2020-02-05 23:43
https://weibo.cn//u/5659501096,堂主小心肝,女,江苏,159,161,51,回复@木头瓜子啊帆一帆:哈哈哈，我当时吓了一跳就想赶快煮，我实在是太没脑子了,0,2020-02-05 23:42
https://weibo.cn//u/2466583742,木头瓜子啊帆一帆,女,四川,414,337,248,回复@堂主小心肝:你只是为你的饥饿找了个借口,0,2020-02-05 23:34
https://weibo.cn//u/5659501096,堂主小心肝,女,江苏,159,161,51,回复@木头瓜子啊帆一帆:我23岁，我真信了，还煮完吃完了,0,2020-02-05 23:29
https://weibo.cn//u/3535234450,圆耳怪,男,海外,734,296,181,回复@PSQ-落桔:刚刚我也遇到了同样的事情,1,2020-02-05 23:10
https://weibo.cn//u/2466583742,木头瓜子啊帆一帆,女,四川,414,337,248,这也有人信？！,2,2020-02-05 23:06
https://weibo.cn//u/6077030354,PSQ-落桔,女,海外,62,30,85,难怪我们村的人一夜之间大家都在煮鸡蛋吃……（其实动脑筋想想就不可能，如果有用疫情还会继续吗？）……不跟风不造谣,0,2020-02-05 23:05
https://weibo.cn//u/5544932634,昆仑山仙童,男,湖南,398,1303,146,10天太少了,0,2020-02-05 23:03
https://weibo.cn//u/7267452676,果味的7乐,男,上海,662,90,55,这个女的是不是吃饱了撑的。,0,2020-02-05 22:57
