评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5983076988,my独家记忆8,男,山东,4412,612,715, 举报 赞[0] 回复 2020-01-23 20:36:15 来自网页,0,2020-01-23 20:36
https://weibo.cn//u/1772861621,开心惜福惜缘,女,天津,2645,641,652,收到,0,2020-01-23 16:09
https://weibo.cn//u/7030736965,传说中的086,女,河北,1836,238,165,转发微博,0,2020-01-23 14:25
https://weibo.cn//u/5983076988,my独家记忆8,男,山东,4412,612,715,     举报             赞[0]         回复             2020-01-23 20:36:15 来自网页,0,2020-01-23 20:36
https://weibo.cn//u/1772861621,开心惜福惜缘,女,天津,2645,641,652,收到,0,2020-01-23 16:09
https://weibo.cn//u/7030736965,传说中的086,女,河北,1836,238,165,转发微博,0,2020-01-23 14:25
https://weibo.cn//278339929,橘子味_颗粒,女,福建,11001,254,665,所以我都说了这种玩笑不好笑了，还有人去开喝酒的玩笑，真的会有人当真的,0,2020-01-23 14:07
https://weibo.cn//u/7012571425,哈尔滨森林消防,男,黑龙江,1162,61,1889,注意自我保护！,3,2020-01-23 13:51
https://weibo.cn//u/5402627477,直率-,女,黑龙江,629,117,241,就跟不长脑子一样 要不你喝酒精吧     举报             赞[0]         回复             2020-01-23 13:45:24 来自网页,0,2020-01-23 13:45
https://weibo.cn//u/5318065275,风华枫雪,女,湖南,716,98,33,75%的酒精，被传成多喝酒，来一口酒精中毒吧,0,2020-01-23 13:11
https://weibo.cn//u/7063228795,喝下午茶的miao,女,北京,7207,1629,3078,有些人的理解能力啊，真的是服了！人家说的是酒精，75%的乙醇，觉得喝酒可以杀死病毒的人，可以选择75°的高度白酒喝喝还不能吃东西否则效果会变差,2,2020-01-23 13:10
https://weibo.cn//u/5272457948,DuanYongQin1203,女,湖北,29,46,164,谢谢,1,2020-01-23 13:07
https://weibo.cn//wzhongguomeng,学习者说,男,海外,55164,2949,29693,🙏     举报             赞[0]         回复             2020-01-23 13:04:12 来自网页,0,2020-01-23 13:04
https://weibo.cn//u/7162079972,蓝色的梦cc,女,广东,1987,201,1129,好的，在家呆哪都不去,4,2020-01-23 12:55
https://weibo.cn//u/2521894041,hello梓涵,女,北京,31836,159,543,转发微博,0,2020-01-23 12:50
https://weibo.cn//u/1765350971,哈迪爱韩庚,女,湖北,103310,396,990,多喝酒也不能抵御新型冠状肺炎啊浓度75%以上的那能是酒吗？     举报             赞[0]         回复             2020-01-23 12:42:26 来自网页,0,2020-01-23 12:42
https://weibo.cn//u/6025752419,随意网名,女,四川,908,278,2078,     举报             赞[0]         回复             2020-01-23 12:42:10 来自网页,0,2020-01-23 12:42
https://weibo.cn//u/6891316379,种花家的樱桃,男,江西,7678,196,3280,我就乖乖宅在家,1,2020-01-23 12:31
https://weibo.cn//u/6603964203,北城诺,女,重庆,277,315,216,说多喝酒的，真会为自己找理由,1,2020-01-23 12:31
https://weibo.cn//u/5538734202,李葱葱葱葱葱,女,其他,2795,116,66,自身衡量，不是喝酒🙏,0,2020-01-23 12:21
https://weibo.cn//u/7116139167,龏奭嚻艸,女,河北,8354,161,1036,回复@致平凡的自己:,0,2020-01-23 12:21
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1669,回复@彬彬L6818:中午好呀,0,2020-01-23 12:21
https://weibo.cn//u/6174042150,致平凡的自己,女,四川,872,169,190,回复@龏奭嚻艸:说的太对了！安全第一！对自己家人及别人负责！,1,2020-01-23 12:20
https://weibo.cn//u/5648601943,天蓝玉Y,女,重庆,764,273,382,收到,0,2020-01-23 12:18
https://weibo.cn//u/6676486818,彬彬L6818,男,贵州,3781,363,703,回复@原来是涓涓呀 的表态:中午好,1,2020-01-23 12:17
https://weibo.cn//u/7116139167,龏奭嚻艸,女,河北,8354,161,1036,回复@原来是涓涓呀:,0,2020-01-23 12:17
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1669,回复@龏奭嚻艸:会说话就多说几句,1,2020-01-23 12:16
https://weibo.cn//u/6676486818,彬彬L6818,男,贵州,3781,363,703,回复@龏奭嚻艸 的表态:中午好,1,2020-01-23 12:15
https://weibo.cn//u/7116139167,龏奭嚻艸,女,河北,8354,161,1036,多休息，少聚会，在家看电视，刷微博，还有森森陪，不好吗？,12,2020-01-23 12:14
https://weibo.cn//u/5967813073,一只花尾巴,女,四川,2661,875,11911,好的好的。森森也是哈。乖哈，别出去了。,1,2020-01-23 12:13
https://weibo.cn//u/6193344863,冘又又,女,上海,1140,116,104,有些杠精的理解能力实在有限🙏🙏🙏,1,2020-01-23 12:13
https://weibo.cn//u/6288208153,万事·顺·遂,女,辽宁,859,189,201,人们病急乱投医了,0,2020-01-23 12:13
https://weibo.cn//u/6790317680,小兔子-葆宜,女,香港,26807,1916,2139,大家好好保护自己[加油][加油][加油],0,2020-01-23 12:13
https://weibo.cn//u/3949113363,包子倒拔垂杨柳,女,江苏,3426,211,617,知道了,0,2020-01-23 12:12
https://weibo.cn//u/3089495243,文a瑾,女,青海,1351,373,151,不信谣传、,0,2020-01-23 12:11
https://weibo.cn//u/6676486818,彬彬L6818,男,贵州,3781,363,703,收到,4,2020-01-23 12:11
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1669,有些人理解能力真是,4,2020-01-23 12:11
https://weibo.cn//u/6065665458,生活中一定要有梦想,女,湖北,371,215,47,收到,1,2020-01-23 12:11
https://weibo.cn//u/5915660955,棉花糖0955,女,云南,39,84,46,收到，不信！,0,2020-01-23 12:10
https://weibo.cn//u/6200625488,半糖奶盖二锅头,女,河南,6838,205,230,收到！,0,2020-01-23 12:10
https://weibo.cn//lansed,君呢,男,新疆,22389,1651,2213,噗…院士被气坏了,1,2020-01-23 12:09
https://weibo.cn//u/2130825181,wang小帅吖,女,山西,14158,1056,444,收到,0,2020-01-23 12:09
