评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7124839322,曼妥思柴可夫斯基,女,浙江,583,435,25,可以给我,16,2020-01-29 15:23
https://weibo.cn//huaxueqian,我不叫超人_HXQ,男,河北,900,106,251,大家要是怕感染，可以把疑似纸币快递给我进行统一销毁。,10,2020-01-29 15:23
https://weibo.cn//u/5129964498,一只想橫着長的蟹几呀,女,其他,3986,819,121,有部分上年纪的喜欢用沾口水数钱,6,2020-01-29 15:25
https://weibo.cn//headroom,headroom黑豆,男,上海,2399,312,758,勤洗手,0,2020-02-09 21:43
https://weibo.cn//u/1103848663,嬉皮施,男,江苏,3796,380,1105,这些专家拉倒吧,0,2020-01-30 07:59
https://weibo.cn//u/5124743682,一只璇yu,女,其他,1149,414,199,害怕 妈妈是收银员，很多年纪大点的还是用纸币,0,2020-01-29 21:35
https://weibo.cn//u/3314479887,熊猫明信片,男,陕西,55,120,244,回复@中国气象局:,0,2020-01-29 19:54
https://weibo.cn//u/2117508734,中国气象局,男,北京,64896,1263,4600635,回复@国际大表演艺术家:,0,2020-01-29 18:53
https://weibo.cn//u/2117508734,中国气象局,男,北京,64896,1263,4600635,回复@我不叫超人_HXQ:,0,2020-01-29 18:53
https://weibo.cn//u/2117508734,中国气象局,男,北京,64896,1263,4600635,回复@司汤达的盐树枝o:,0,2020-01-29 18:53
https://weibo.cn//u/2117508734,中国气象局,男,北京,64896,1263,4600635,回复@熊猫明信片:,0,2020-01-29 18:53
https://weibo.cn//u/2117508734,中国气象局,男,北京,64780,1263,4595708,回复@貪吃的小蟹几:那倒是,0,2020-01-29 18:52
https://weibo.cn//u/5319756788,天街小雨润如酥5721,女,其他,2481,925,107,微信支付支付宝它不香吗?,0,2020-01-29 17:02
https://weibo.cn//u/3793466407,waichow99,男,香港,131,132,208,回复@司汤达的盐树枝o:我可以为大家做贡献,0,2020-01-29 15:34
https://weibo.cn//u/5129964498,一只想橫着長的蟹几呀,女,其他,3986,819,121,有部分上年纪的喜欢用沾口水数钱,6,2020-01-29 15:25
https://weibo.cn//xionganv,陕西财经大学,男,江苏,130659,1766,34,回复@我不叫超人_HXQ:把红包也可以都发我来销毁,0,2020-01-29 15:24
https://weibo.cn//u/3314479887,熊猫明信片,男,陕西,55,120,244,雷锋在这里，如果有人担心纸币传染病毒，尽管快递给我，我可以帮你销（hua）毁（diao）。,1,2020-01-29 15:24
https://weibo.cn//xionganv,陕西财经大学,男,江苏,130659,1766,34,回复@司汤达的盐树枝o:+1,0,2020-01-29 15:24
https://weibo.cn//u/7124839322,曼妥思柴可夫斯基,女,浙江,583,435,25,可以给我,16,2020-01-29 15:23
https://weibo.cn//u/6270348762,旅游CoCo菌,女,广东,9365,1266,729167,身边总是有那么一些人·用你的时候一脸殷勤·不用你的时候爱答不理的。,0,2020-01-29 15:23
https://weibo.cn//huaxueqian,我不叫超人_HXQ,男,河北,900,106,251,大家要是怕感染，可以把疑似纸币快递给我进行统一销毁。,10,2020-01-29 15:23
https://weibo.cn//xionganv,陕西财经大学,男,江苏,130659,1766,34,     举报             赞[0]         回复             2020-01-29 15:21:54 来自网页,0,2020-01-29 15:21
