评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1986679210,江西消防,男,江西,35687,1047,804893,请广大网友自觉抵制谣言，不造谣、不信谣、不传谣！,7,2020-02-03 18:28
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,自觉抵制谣言,6,2020-02-03 18:16
https://weibo.cn//u/1973910862,乐山消防,男,四川,25168,992,411914,周知,3,2020-02-03 18:34
https://weibo.cn//u/2431324083,蓦鸢的猫,女,北京,1219,91,44339,不信谣不传谣,0,2020-02-04 21:05
https://weibo.cn//u/2261390944,云浮消防,男,广东,14869,1198,332146,不信谣，不传谣,0,2020-02-04 15:25
https://weibo.cn//u/7002732080,阿消凉山粉丝后援会,男,四川,1285,547,588,不造谣，不信谣，不传谣！,0,2020-02-04 09:04
https://weibo.cn//u/5451727774,墨江消防,男,云南,12689,95,205,//,0,2020-02-03 23:57
https://weibo.cn//20100611yoyo,YO-小小YO,女,河南,5338,469,1449,但是想知道家里喷酒精到底有没有隐患？现在各个小区都在团购酒精，成桶成桶的往家买，感觉好恐怖。求科普,0,2020-02-03 23:14
https://weibo.cn//u/6438907846,阿消南宁粉丝后援会,女,广西,3174,204,560,     举报             赞[0]         回复             2020-02-03 23:13:04 来自网页,0,2020-02-03 23:13
https://weibo.cn//u/6628673618,天庸398,女,江西,2714,189,96,不传谣不信谣,0,2020-02-03 22:38
https://weibo.cn//u/5022923905,文字间旅行,女,其他,245,462,121,那使用酒精需要注意些什么？,0,2020-02-03 22:37
https://weibo.cn//u/6200625488,半糖奶盖二锅头,女,河南,6838,205,230,知道辽,0,2020-02-03 22:26
https://weibo.cn//u/5416803504,九卿阿久,女,山东,127,85,212,收到,0,2020-02-03 22:25
https://weibo.cn//u/6652129318,阿消云南粉丝后援会,男,云南,5370,134,1103,//@中国消防:     举报             赞[0]         回复             2020-02-03 22:18:38 来自网页,0,2020-02-03 22:18
https://weibo.cn//u/7235869437,0o颜儿o0,女,河北,225,77,119,     举报             赞[0]         回复             2020-02-03 22:18:23 来自网页,0,2020-02-03 22:18
https://weibo.cn//u/7075821441,阿消杭州粉丝后援会,女,浙江,6661,733,340,//,0,2020-02-03 21:53
https://weibo.cn//u/6069327035,笨小乖乖嘻嘻哈,女,广东,2389,825,374,     举报             赞[0]         回复             2020-02-03 21:19:08 来自网页,0,2020-02-03 21:19
https://weibo.cn//u/6093360128,十安初原,女,其他,790,200,2457,不信谣不传谣！！！！！抵制谣言,1,2020-02-03 21:06
https://weibo.cn//u/6050542327,阿消金山粉丝后援会,女,上海,22518,957,4055,这个谣言和上海的那个一样 难道谣言都开始复制了吗,0,2020-02-03 21:04
