评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//jinshanfirebrigade,金山消防,男,上海,39967,819,430049,不信谣，不传谣,6,2020-02-07 16:00
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,不信谣，不传谣,4,2020-02-07 16:56
https://weibo.cn//TJXIAOFANG,天津消防,男,天津,26731,664,1356482,不传谣，不信谣,5,2020-02-07 16:08
https://weibo.cn//u/1958711261,消妹深圳粉丝后援会,女,广东,8502,514,257,     举报             赞[1]         回复             2020-02-08 21:07:56 来自网页,1,2020-02-08 21:07
https://weibo.cn//u/7281437646,阿消的小粉粉婷,女,江苏,154,79,71,不信谣，不传谣，不造谣,0,2020-02-08 20:41
https://weibo.cn//u/5510261255,星·月HXY,女,浙江,997,718,772,刚刚看到朋友圈也有人在传，立马辟谣!,0,2020-02-08 06:38
https://weibo.cn//u/2519964024,三门峡消防,男,河南,11475,360,37323,不听谣，不信谣，不传谣//,0,2020-02-07 22:16
https://weibo.cn//u/6652129318,阿消云南粉丝后援会,男,云南,5370,134,1103,//@中国消防:     举报             赞[0]         回复             2020-02-07 22:04:32 来自网页,0,2020-02-07 22:04
https://weibo.cn//u/7235869437,0o颜儿o0,女,河北,225,77,119,     举报             赞[0]         回复             2020-02-07 20:45:33 来自网页,0,2020-02-07 20:45
https://weibo.cn//u/6217455077,艾谦吖717,女,江苏,6037,699,375,回复@上海青浦消防:好,0,2020-02-07 20:25
https://weibo.cn//tcxf119,腾冲消防,女,云南,20463,764,4195,//,0,2020-02-07 20:18
https://weibo.cn//u/2519979374,河南安阳消防,男,河南,9952,117,7964,不信谣，不传谣,0,2020-02-07 18:57
https://weibo.cn//u/6067732725,卿本佳人tracy,女,海外,174,177,332,     举报             赞[0]         回复             2020-02-07 18:22:16 来自网页,0,2020-02-07 18:22
https://weibo.cn//u/7309893094,Welllllike,男,山西,28,105,7,造谣的呢 为什么没抓起来,0,2020-02-07 17:55
https://weibo.cn//u/6342475982,用户飞鸿亮剑,男,其他,474,323,27,有人还在朋友圈发，我已经告诉是谣言，切勿乱信,0,2020-02-07 17:26
https://weibo.cn//u/2113463832,广东消防,男,广东,27678,536,1462592,不信谣，不传谣,0,2020-02-07 17:23
https://weibo.cn//u/5620447576,人间有味是清欢cycy,女,其他,1032,59,504,疫情当前，人心惶惶，谣言四起。要做到不听谣，不信谣，不传谣，相信科学，明辨是非～,1,2020-02-07 17:17
https://weibo.cn//u/3226769811,芷若不坏,女,山东,237,495,227,我去，微信群都传了，这个也造谣！,0,2020-02-07 17:04
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,不信谣，不传谣,4,2020-02-07 16:56
https://weibo.cn//u/1986679210,江西消防,男,江西,35687,1047,804893,辟谣！//,0,2020-02-07 16:54
https://weibo.cn//qpxf,上海青浦消防,男,上海,18394,1221,19979,不传谣，不信谣,2,2020-02-07 16:49
https://weibo.cn//u/7339375956,阿消上海青浦粉丝后援会,女,上海,2182,188,285,     举报             赞[0]         回复             2020-02-07 16:48:08 来自网页,0,2020-02-07 16:48
https://weibo.cn//u/6327004937,·小恋梦游记·,女,山东,38685,506,14087,     举报             赞[0]         回复             2020-02-07 16:46:13 来自网页,0,2020-02-07 16:46
https://weibo.cn//u/5485038859,neko的小雨伞,女,其他,1138,515,415,乱说个毛线,1,2020-02-07 16:43
https://weibo.cn//u/6550801916,d有你刚好,女,北京,9028,325,711,不传不信,0,2020-02-07 16:36
https://weibo.cn//u/6200625488,半糖奶盖二锅头,女,河南,6838,205,230,望周知//,0,2020-02-07 16:32
https://weibo.cn//u/2231627830,遂宁消防,男,四川,50376,692,341479,不信谣，不传谣,2,2020-02-07 16:31
https://weibo.cn//u/1973910862,乐山消防,男,四川,25168,992,411913,不信谣，不传谣。,2,2020-02-07 16:22
https://weibo.cn//623801275,厦门旅游小编,男,福建,2438,1064,13040,昨天厦门那个好像也说是消毒液,0,2020-02-07 16:22
https://weibo.cn//u/1400490185,未曾读书,男,北京,13364,537,6740,总是有邪恶势力和敌对分子希望用谣言扰乱人心、制造恐慌,1,2020-02-07 16:10
https://weibo.cn//u/6315131491,阿妙本妙,女,北京,586,287,106,句容看起来是镇江的 实际上是南京的,2,2020-02-07 16:10
https://weibo.cn//TJXIAOFANG,天津消防,男,天津,26731,664,1356482,不传谣，不信谣,5,2020-02-07 16:08
https://weibo.cn//u/5174440651,被肖某粉丝网暴的活人,男,其他,5063,354,304,收到！你们注意安全,1,2020-02-07 16:07
https://weibo.cn//u/1774258381,馨公益,女,上海,40713,186,224524,//@中国消防:     举报             赞[0]         回复             2020-02-07 16:06:09 来自网页,0,2020-02-07 16:06
https://weibo.cn//u/6041560163,阿消陕西粉丝后援会,女,陕西,295,189,1458,//@中国消防:     举报             赞[0]         回复             2020-02-07 16:04:22 来自网页,0,2020-02-07 16:04
https://weibo.cn//zyj751641959,十万八千里的喵喵,女,陕西,7,141,631,     举报             赞[0]         回复             2020-02-07 16:03:22 来自网页,0,2020-02-07 16:03
https://weibo.cn//u/5510427347,叮当16,男,江苏,1631,352,117,     举报             赞[0]         回复             2020-02-07 16:03:06 来自网页,0,2020-02-07 16:03
https://weibo.cn//u/6099957267,5X霹雳火,男,山东,1587,264,365,消毒液不会引发火灾但酒精会。,0,2020-02-07 16:02
https://weibo.cn//u/3591190301,倒楣蛋啊,女,广东,150,108,569,     举报             赞[0]         回复             2020-02-07 16:00:39 来自网页,0,2020-02-07 16:00
https://weibo.cn//jinshanfirebrigade,金山消防,男,上海,39967,819,430049,不信谣，不传谣,6,2020-02-07 16:00
