评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1973910862,乐山消防,男,四川,25168,992,411916,理性防疫，科学防疫！,11,2020-02-19 08:44
https://weibo.cn//u/6857522311,阿消四川粉丝后援会,女,陕西,1560,251,818,认真看看，别信谣言！,2,2020-02-19 08:46
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,理性防疫，科学防疫,3,2020-02-19 09:03
https://weibo.cn//u/3221487693,H_查理,男,北京,531,124,3908,理性防疫，科学防疫！,0,2020-03-05 11:15
https://weibo.cn//u/6049587087,昨天高烧60度,男,河北,5277,247,494,回复@乐山消防:,0,2020-03-04 18:10
https://weibo.cn//u/1958711261,消妹深圳粉丝后援会,女,广东,8502,514,257,【又一波谣言来添堵，这些偏方你别信】新冠肺炎来势汹汹，今天我们就来看看新一波疫情谣言之“偏方篇”。同时提醒大家：这些邪，不能信！让我们一起慧眼识谣，理性防疫！,1,2020-02-20 08:52
https://weibo.cn//u/2822821480,张家界消防,男,湖南,35925,669,34702,转发微博,0,2020-02-19 22:29
https://weibo.cn//u/6652129318,阿消云南粉丝后援会,男,云南,5370,134,1103,又一波谣言来添堵，这些偏方你别信,0,2020-02-19 22:16
https://weibo.cn//u/7005664593,阿消池州粉丝后援会,男,福建,29986,685,7988,提醒大家：这些邪，不能信！让我们一起慧眼识谣，理性防疫,0,2020-02-19 22:15
https://weibo.cn//u/5080729047,伊芙_L,女,其他,1966,1689,161,科学防疫,0,2020-02-19 18:30
https://weibo.cn//u/1836318825,阿消卧龙粉丝后援会,女,河南,14422,348,882,理性防疫！,0,2020-02-19 14:58
https://weibo.cn//u/2518126125,阿消重庆粉丝后援会,女,重庆,1278,326,623,好的,0,2020-02-19 14:51
https://weibo.cn//u/5075049852,六合应急管理,女,江苏,15619,95,370,【又一波谣言来添堵，这些偏方你别信】,0,2020-02-19 14:45
https://weibo.cn//u/1932376127,是落落清欢鸭,女,其他,522,534,680,理性防疫，科学防疫,1,2020-02-19 14:41
https://weibo.cn//u/6487480043,梦媛是锦鲤,女,北京,737,762,133,安啦安啦，我啥也不信，而且不出去不担心这些的,0,2020-02-19 13:31
https://weibo.cn//u/7281437646,阿消的小粉粉婷,女,江苏,154,79,71,不造谣，不传谣，不信谣,0,2020-02-19 13:05
https://weibo.cn//firehy,河源消防,男,广东,11272,121,2960,防疫，科学防疫！,0,2020-02-19 12:59
https://weibo.cn//u/7099712511,花可H,女,安徽,96,95,168,烟花爆竹那个能杀死病原体谁会信啊除非没脑子的人,0,2020-02-19 11:55
https://weibo.cn//u/2261390944,云浮消防,男,广东,14869,1198,332146,理性防疫，科学防疫！,0,2020-02-19 11:17
https://weibo.cn//u/2365162635,非著名拜拜雪公主jojo,男,重庆,6036,1049,5141,不信谣，不传谣，理性防疫，科学防疫！,1,2020-02-19 11:02
