评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1973910862,乐山消防,男,四川,25168,992,411907,周知！但储存、使用高浓度酒精还是要注意安全。,4,2020-02-20 20:44
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,不造谣不信谣不传谣，但储存、使用高浓度酒精还是要注意安全。,4,2020-02-20 20:51
https://weibo.cn//u/1986679210,江西消防,男,江西,35686,1047,804893,//@中国消防:#微博辟谣# 周知！但储存、使用高浓度酒精还是要注意安全。 举报 赞[0] 回复 2020-02-20 21:24:30 来自网页,0,2020-02-20 21:24
https://weibo.cn//u/3221487693,H_查理,男,北京,531,124,3908,     举报             赞[0]         回复             2020-03-05 00:09:33 来自网页,0,2020-03-05 00:09
https://weibo.cn//u/6049587087,昨天高烧60度,男,河北,5277,247,494,回复@乐山消防:,0,2020-03-03 20:14
https://weibo.cn//u/5925547379,南极的拥军妹子,女,河南,124,48,65,收到,0,2020-02-22 14:29
https://weibo.cn//u/5925547379,南极的拥军妹子,女,河南,124,48,65,不信谣，不传谣,0,2020-02-22 08:39
https://weibo.cn//u/5925547379,南极的拥军妹子,女,河南,124,48,65,不信谣，不传谣,0,2020-02-21 23:54
https://weibo.cn//u/1450263865,糯米仁,男,浙江,9865,573,377,抽烟的人都是移动的隐患。早早晚晚的事,0,2020-02-21 10:38
https://weibo.cn//catgirlljy,柳灵猫赫赫妈,女,黑龙江,12838,630,1040,造谣的该抓了,0,2020-02-21 08:41
https://weibo.cn//u/6166163204,全地球最帅的帅哥121,男,福建,64,238,238,收到,0,2020-02-21 06:06
https://weibo.cn//u/6438907846,阿消南宁粉丝后援会,女,广西,3174,204,560,收到,0,2020-02-20 23:02
https://weibo.cn//u/6370980193,阿消会昌粉丝后援会,女,广东,15425,836,822, 周知！但储存、使用高浓度酒精还是要注意安全。,0,2020-02-20 22:38
https://weibo.cn//u/7321609637,LL落叶秋枫,女,四川,301,72,25,周知！但储存、使用高浓度酒精还是要注意安全,0,2020-02-20 22:13
https://weibo.cn//u/6652129318,阿消云南粉丝后援会,男,云南,5370,134,1103,//@中国消防:#微博辟谣# 周知！但储存、使用高浓度酒精还是要注意安全。     举报             赞[0]         回复             2020-02-20 22:12:19 来自网页,0,2020-02-20 22:12
https://weibo.cn//u/7339169285,阿消济源粉丝后援会,女,河南,1039,82,100,使用酒精要注意,0,2020-02-20 21:54
https://weibo.cn//u/1750532390,奇飘族-茶语mio,女,广东,13509,629,826,原来是谣言！//,0,2020-02-20 21:52
https://weibo.cn//u/7005664593,阿消池州粉丝后援会,男,福建,29986,685,7988,不造谣不信谣不传谣，但储存、使用高浓度酒精还是要注意安全。,0,2020-02-20 21:46
https://weibo.cn//u/6327004937,·小恋梦游记·,女,山东,38685,506,14087,收到,0,2020-02-20 21:41
https://weibo.cn//u/6856376542,我家的崽na,女,重庆,2227,307,194,扩，不造谣不传谣,0,2020-02-20 21:36
https://weibo.cn//u/1986679210,江西消防,男,江西,35686,1047,804893,//@中国消防:#微博辟谣# 周知！但储存、使用高浓度酒精还是要注意安全。     举报             赞[0]         回复             2020-02-20 21:24:30 来自网页,0,2020-02-20 21:24
https://weibo.cn//u/3967761772,零零零蕶,男,辽宁,1216,330,594,不信谣不传谣,0,2020-02-20 21:13
https://weibo.cn//u/2519964024,三门峡消防,男,河南,11475,360,37323,//,0,2020-02-20 21:13
https://weibo.cn//pzhxfzd,攀枝花消防,男,四川,19447,423,93079,扩,0,2020-02-20 21:08
https://weibo.cn//u/2519943690,平顶山消防,男,河南,25408,186,66392, 周知！但储存、使用高浓度酒精还是要注意安全。//,0,2020-02-20 21:06
https://weibo.cn//u/7281437646,阿消的小粉粉婷,女,江苏,154,79,71,不造谣，不传谣，不信谣,0,2020-02-20 20:59
https://weibo.cn//u/7339375956,阿消上海青浦粉丝后援会,女,上海,2182,188,285,不信谣不传谣,0,2020-02-20 20:57
https://weibo.cn//hunanxiaofang,湖南消防,男,湖南,38411,501,2640056,不造谣不信谣不传谣，但储存、使用高浓度酒精还是要注意安全。,4,2020-02-20 20:51
https://weibo.cn//u/6749210256,暖暖小冰月,女,贵州,515,59,26,理智判断，不信谣不传谣,0,2020-02-20 20:47
https://weibo.cn//u/1973910862,乐山消防,男,四川,25168,992,411909,周知！但储存、使用高浓度酒精还是要注意安全。,4,2020-02-20 20:44
https://weibo.cn//u/5620447576,人间有味是清欢cycy,女,其他,1032,59,504,实验证明，静电会引起酒精的爆燃，所以酒精在使用时应远离热源，避免大量喷洒，存放时要放置在通风阴凉干燥处。目前，主要强调是用于手消毒，手卫生的专用消毒剂，每天多次使用是安全的～,3,2020-02-20 20:39
https://weibo.cn//u/6050542327,阿消金山粉丝后援会,女,上海,22518,957,4055,不信谣不传谣,0,2020-02-20 20:38
https://weibo.cn//u/3226769811,芷若不坏,女,山东,237,495,227,收到。微信上各种谣言满天飞，不胜其烦,0,2020-02-20 20:36
