评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//275511202,化小硕,女,北京,1358,346,406,麻烦收一下智商税吧,10,2020-01-26 21:28
https://weibo.cn//u/5219563899,馨与琳惜,女,贵州,523,186,142,现在造谣的人怎么这么多啊,7,2020-01-26 21:33
https://weibo.cn//u/1804898121,襄阳小邢警,男,湖北,15353,2226,57963,【,0,2020-01-27 10:54
https://weibo.cn//u/6100990787,爱上沙僧的白骨精,女,新疆,6,19,2,真佩服这些谣言制造者的想象力，一天到晚的闲得蛋疼,0,2020-01-27 15:58
https://weibo.cn//u/1804898121,襄阳小邢警,男,湖北,15353,2226,57963,【,0,2020-01-27 10:54
https://weibo.cn//u/5235648748,白水比烈酒情长,女,河南,3120,167,120,这种时候造谣是不是脑子有泡,0,2020-01-27 10:16
https://weibo.cn//u/1947879712,快乐围脖路人党,女,广东,3792,467,145,造谣的都应该受到应有的惩罚！,0,2020-01-27 08:46
https://weibo.cn//u/6439771927,商丘市-开发区派出所,男,河南,4008,82,131,各地飞机喷洒消毒药水系谣言,0,2020-01-27 08:13
https://weibo.cn//u/7312845420,荒山煮酒人小号,男,广西,147,495,18,警惕海外反动势力借助舆论谣言从中作乱,0,2020-01-27 01:25
https://weibo.cn//u/1244558157,轮回大文豪灵兔,男,吉林,25702,974,829,应该把这样辟谣的信息发到微信里，因为老年人爱看微信，有很多谣言啥的出自微信的比较多,1,2020-01-27 01:24
https://weibo.cn//u/3985327661,小海马女超人,女,天津,9384,366,255,我还看见了纽约喷洒消毒药的消息,2,2020-01-27 01:10
https://weibo.cn//171918080,-甜甜_yi-笑z,女,黑龙江,5853,755,205,脑瓜子有疱！也不动动脑子想一想！,5,2020-01-26 22:16
https://weibo.cn//u/5589584726,玄女T杨门第九代佳霖,女,北京,40637,178,251,转发微博,0,2020-01-26 21:34
https://weibo.cn//u/5219563899,馨与琳惜,女,贵州,523,186,142,现在造谣的人怎么这么多啊,7,2020-01-26 21:33
https://weibo.cn//u/5633133025,我们随梦想,女,辽宁,721,151,113,可太难了,6,2020-01-26 21:31
https://weibo.cn//275511202,化小硕,女,北京,1358,346,406,麻烦收一下智商税吧,10,2020-01-26 21:28
