评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//206868355,传说中的女网警,女,北京,64212,6235,2596905,#女网警说#,0,2020-06-22 16:05
https://weibo.cn//u/1830849682,凌源公安,女,辽宁,25651,2041,15834,【转发辟谣！,0,2020-06-22 14:47
https://weibo.cn//u/2454362772,段亚楠2021,男,安徽,15737,984,19936,#警方辟谣孝感私家车无人领车主抗疫去世#,0,2020-06-22 14:08
https://weibo.cn//u/3967045286,平陆交警,女,山西,30695,2187,6251,转发微博,0,2020-06-23 08:38
https://weibo.cn//u/7397657392,红彤彤的梓潼呀,女,河南,53,80,27,不管饭圈么？有没有饭圈网警,1,2020-06-23 01:15
https://weibo.cn//u/2131726910,晴天有梦55,女,湖南,50099,480,786,转发微博,0,2020-06-22 20:38
https://weibo.cn//u/5892211500,片片女士,女,内蒙古,410,271,152,回复@如果一朵花是美丽的:哈哈哈哈,0,2020-06-22 20:06
https://weibo.cn//u/5428907280,眉宇微蹙,女,安徽,18,90,8,感动了一个寂寞,0,2020-06-22 16:21
https://weibo.cn//u/6237852460,没有昵称你敢信,男,山东,73,424,85,回复@好孩子吉娜: 是啊，理解不了,0,2020-06-22 16:18
https://weibo.cn//206868355,传说中的女网警,女,北京,64212,6235,2596905,#女网警说#,0,2020-06-22 16:05
https://weibo.cn//u/6516336474,小樱的碎碎念,女,江苏,3460,79,11380,#微博辟谣# #警方辟谣孝感私家车无人领车主抗疫去世#     举报             赞[0]         回复             2020-06-22 15:21:09 来自网页,0,2020-06-22 15:21
https://weibo.cn//lsgafj,连山公安分局,男,辽宁,32151,559,10985,【,0,2020-06-22 15:19
https://weibo.cn//u/3242334315,晴天还下雨3242334315,男,云南,836,661,154,造谣者该被诛杀！,0,2020-06-22 15:08
https://weibo.cn//u/7352223492,如果一朵花是美丽的,女,海外,309,157,64,昨天还为此泪流满面,0,2020-06-22 14:54
https://weibo.cn//u/1830849682,凌源公安,女,辽宁,25651,2041,15834,【转发辟谣！,0,2020-06-22 14:47
https://weibo.cn//u/5682533191,吉娜不想努力了,女,广东,938,203,233,造谣这个的人图什么啊…,2,2020-06-22 14:40
https://weibo.cn//u/2454362772,段亚楠2021,男,安徽,15737,984,19936,#警方辟谣孝感私家车无人领车主抗疫去世#,0,2020-06-22 14:08
https://weibo.cn//u/1984537153,什锦罐头有黄桃,女,北京,742,165,627,眼睛湿润了个寂寞,1,2020-06-22 14:04
https://weibo.cn//u/6106308760,Haas_Ertun,男,北京,253,270,381,@黑历史打脸bot,1,2020-06-22 13:31
