评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7311922876,零零微光如萤火,男,湖南,14,86,7,华人与狗不得入内,83,2020-04-01 23:01
https://weibo.cn//u/1061377557,我只是想和自己说会话,男,山东,74,288,1874,青岛市市长孟凡利下台！！！！建议大家去中纪委网站举报孟凡利行政不作为！！！！,47,2020-04-01 23:02
https://weibo.cn//275511202,化小硕,女,北京,1358,346,406,"不能因为""老外特权化现象"" 而让。。。公信力如此下降",32,2020-04-01 23:05
https://weibo.cn//u/7359070819,大碗宽粉还是吃面呀,男,海外,68,426,112,回复@丿窃钩者诛窃国者侯:不抓插队的，抓自己国人,0,2020-04-02 06:49
https://weibo.cn//q641025144,在那个没有太阳的地方,男,其他,0,542,0,"回复@靠谱的社会主义第一接班人101:放心,以后会越来越多的.因为也不能拿它们怎么办.5等公民们就老老实实赚钱养家吧",0,2020-04-02 01:25
https://weibo.cn//u/6486637686,在下bucai,男,其他,184,64,49,抱歉毛爷爷，我又要跪下去了,0,2020-04-02 00:20
https://weibo.cn//u/1662429961,怦然心动我不动,男,河南,117,137,47, 华人与狗不得入内,0,2020-04-02 00:17
https://weibo.cn//u/5889807415,我们钟国真的太厉害了,男,安徽,95,381,174,回复@大碗宽粉还是吃面呀:治不了洋人还治不了你?,0,2020-04-02 00:05
https://weibo.cn//from0917,小丑快跑ing,男,广东,3758,760,1527,相当迷人的官微，广州那个黑尼哥殴打医护的事怎么不见处理消息，莫非是谣言？,0,2020-04-01 23:47
https://weibo.cn//u/7378781575,雨或非1,男,陕西,173,288,4,能移民的都移民吧，以后也别骂有钱人移民，移民是对的。,0,2020-04-01 23:38
https://weibo.cn//leletogether,火炎焱_淼淼,女,其他,2920,292,447,洋垃圾滚出中国！,0,2020-04-01 23:37
https://weibo.cn//u/1330489212,爱恋的菜鸟,男,北京,619,80,34,辟谣重要，中国人民的脊梁和脸面重要？,0,2020-04-01 23:34
https://weibo.cn//u/1366940354,蚊子jack,男,广东,366,320,204,请重视及时公布广州护士被打事件和青岛老外插队事件的调查跟踪处理，关注民情，否则极易造成国人对外国人的对立情绪。,0,2020-04-01 23:34
https://weibo.cn//u/7091829471,新基观点,女,北京,43,222,5713,警察叔叔，,0,2020-04-01 23:24
https://weibo.cn//u/6374455384,恶魔寒,男,河北,6,131,37,我真的不想留言，青岛，广州外国人闹事这种处理速度这么慢呢,2,2020-04-01 23:22
https://weibo.cn//u/1905888933,沈阳于洪公安,男,辽宁,38929,707,16030,对“为了不隔离从澳门游泳回珠海”的辟谣通报。,0,2020-04-01 23:19
https://weibo.cn//u/3562115224,柯心宽,男,广东,29,165,29, ,0,2020-04-01 23:19
https://weibo.cn//u/1629076660,冬木熊猫王,男,北京,676,415,102,这里是中国吧，你们这些黄皮肤的还不滚去非洲,0,2020-04-01 23:17
https://weibo.cn//u/6132698004,和棵里,男,重庆,84,29,37,#广州护士被外国人攻击#,0,2020-04-01 23:17
https://weibo.cn//u/1956322920,健忘心园,男,江苏,72385,851,352,  ,0,2020-04-01 23:16
https://weibo.cn//u/7323696394,月无憾,女,其他,25,99,5,请求上级看一下基层对外国人的作风吧，我们是一个海纳百川的大国也欢迎所有友好的国外友人，可是不该让他们在我们的地盘欺负我们的公民啊,0,2020-04-01 23:16
https://weibo.cn//shiyuxin1898,上海影视学院,男,上海,1756,1796,944,青岛洋垃圾，嚣张跋扈，中国警方管不管？,0,2020-04-01 23:12
https://weibo.cn//u/1840691733,KKAEK,男,山东,931,215,95,华人与狗不得入内,0,2020-04-01 23:11
https://weibo.cn//u/1840691733,KKAEK,男,山东,931,215,95,#广州护士被外国人攻击#,0,2020-04-01 23:11
https://weibo.cn//u/7359070819,大碗宽粉还是吃面呀,男,海外,68,426,112,回复@零零微光如萤火:有本事打起来。who怕who，你个老外敢先在国土上动手打人。我不闹到国务院信访办,0,2020-04-01 23:11
https://weibo.cn//u/6997905714,llllnnSjl,女,上海,2014,733,34,请问广州打护士的人怎么处罚了？请公布处罚结果让民众看到这些,0,2020-04-01 23:10
https://weibo.cn//u/7359070819,大碗宽粉还是吃面呀,男,海外,68,426,112,回复@零零微光如萤火:社区给，现在也可以去插队捣乱啊！既然你敢搞特权。那么大家一起不要检测了,0,2020-04-01 23:10
https://weibo.cn//u/6029119310,诺坎普会有奇迹,男,北京,76,273,437,请关注一下广州黑人殴打护士，青岛洋人插队事件,4,2020-04-01 23:10
https://weibo.cn//u/5526971035,我是你的穷爸爸,男,广西,1674,178,49,广州不问责一下吗     举报             赞[5]         回复             2020-04-01 23:09:51 来自网页,5,2020-04-01 23:09
