评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5589784645,丫爷0126,男,山东,528,170,336,烟台警察被南京警察打脸了……疼不疼,0,2020-04-10 01:41
https://weibo.cn//u/2294567201,快疯了的世界,女,北京,3478,119,193,我们这里也已经在抢购大米了，,0,2020-04-08 09:21
https://weibo.cn//u/5869901045,宅在家多刷博,女,河北,1014,76,116,这良心大大的，坏了，得修一修了!,0,2020-04-07 19:59
https://weibo.cn//u/5589784645,丫爷0126,男,山东,528,170,336,烟台警察被南京警察打脸了……疼不疼,0,2020-04-10 01:41
https://weibo.cn//u/5750839762,一路风光赏不尽,女,山东,670,135,361,回复@化小硕:城里人想买也没处放啊，巴掌大的窝，也不会存放的，招了虫就不能吃了。,0,2020-04-08 14:15
https://weibo.cn//u/2294567201,快疯了的世界,女,北京,3478,119,193,我们这里也已经在抢购大米了，,0,2020-04-08 09:21
https://weibo.cn//u/5869901045,宅在家多刷博,女,河北,1014,76,116,这良心大大的，坏了，得修一修了!,0,2020-04-07 19:59
https://weibo.cn//jingchaxiongdi110,良知是最大的法律,男,河南,25108,3731,21000,【,0,2020-04-07 15:31
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225164,【,0,2020-04-07 14:26
https://weibo.cn//u/2864600784,流·星,男,甘肃,180,252,197,回复@岳麓山童姥重生:其行为违反治安管理处罚法而不是违反刑法。所以只能行政拘留而不是刑事拘留,0,2020-04-07 13:13
https://weibo.cn//u/2298151792,芊芊郡主-冰,女,江苏,5506,66,411,回复@我找不到呆宝和丁青蛙:吃几年？,0,2020-04-07 12:14
https://weibo.cn//u/2298151792,芊芊郡主-冰,女,江苏,5506,66,411,偷鸡不成蚀把米。,0,2020-04-07 12:13
https://weibo.cn//u/2562642580,愉快的甜静,女,广东,2711,229,328,乱说害自己,0,2020-04-07 11:55
https://weibo.cn//u/1823839012,小猫胡侃,男,北京,495,31,85,无语了，屯啥粮食了。看看当年菲律宾民众吞大米的下场。,0,2020-04-07 11:47
https://weibo.cn//jade007,Jade007,女,其他,856,592,145,我同事也听信谣言，去买了几袋米面，还在我们群里说人们都去抢了，超市快抢完了，让我们也快去抢，我就默默回了一句“不用抢，多的是”……然后有俩也说还是买几袋放心……我真是服了……,0,2020-04-07 11:32
https://weibo.cn//jade007,Jade007,女,其他,856,592,145,又坏又蠢,0,2020-04-07 11:30
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-04-07 11:29
https://weibo.cn//ververver,叁BODY-自然选择前进四,女,海外,13532,220,520,你家房子真大！我们家放不开的，哈,0,2020-04-07 11:22
https://weibo.cn//u/6710925463,冬季冷饮品尝大师,男,内蒙古,1179,1962,659,回复@我找不到呆宝和丁青蛙:还行，多大的袋子,0,2020-04-07 11:15
https://weibo.cn//u/2704288327,胡椒把戏on,男,河南,380,118,62,回复@沈阳网警巡查执法:还有抢购桃罐头的嘛,0,2020-04-07 11:04
https://weibo.cn//sywjxczf,沈阳网警巡查执法,男,辽宁,27148,1311,502216,这几年卖桃罐头的好像消停点了,2,2020-04-07 11:00
https://weibo.cn//u/6588592461,墨之烟雨的小号,男,江苏,0,37,100,这就是发国难财了，而且是没有危机就要生造危机出来发国难财，其心可诛,0,2020-04-07 10:58
https://weibo.cn//u/1934766677,柚子左右,女,北京,2555,178,192,活该！,0,2020-04-07 10:45
https://weibo.cn//u/7310896340,随便abcABC,男,江苏,13,92,199,既不能道，又以不正之法罪之，是法反害于民，为暴者也！骗上欺下的徐州警察-------给公安部的举报信 2019年7月21日17时07分30秒本人向徐州市公安局110报警，停在新城区绿地某小区地下停车位汽车被人恶意严重划伤三处，请求出警。大龙湖派出所接警不出。 与7月29日将拍摄到划车人监控录像交给了大龙湖派,0,2020-04-07 10:44
https://weibo.cn//u/6346418409,嗏修,男,其他,154,121,10,回复@我找不到呆宝和丁青蛙:卖给饭店吧,1,2020-04-07 10:44
https://weibo.cn//u/7354089739,丽丽的丽丽的丽丽,女,河北,160,107,9,造谣必须严惩😡,0,2020-04-07 10:37
https://weibo.cn//u/2025385435,平安信阳,男,河南,20332,635,229952,#男子为促销大米造谣粮食抢光被拘#,0,2020-04-07 10:28
https://weibo.cn//u/1745412247,雾花水月天上星,女,山东,899,157,123,回复@化小硕:,0,2020-04-07 10:26
https://weibo.cn//u/2640696170,学徒小生forever,男,其他,596,319,169,应该不只他一个造谣的，好像比这是时间早点就有人抢了！,0,2020-04-07 10:24
https://weibo.cn//u/5565145299,指引邪门歪道的苍蓝星,男,广东,492,107,65,回复@我找不到呆宝和丁青蛙:可以多养几窝老鼠,0,2020-04-07 10:22
https://weibo.cn//u/1906035413,沈阳铁西公安,男,辽宁,32115,330,138982,男子为促销大米造谣粮食抢光被拘,1,2020-04-07 10:21
https://weibo.cn//u/6396861676,00気,男,山西,504,385,525,这时候还造谣？,1,2020-04-07 10:19
https://weibo.cn//u/5880919387,Megan_19851102,女,北京,1237,2350,203,太正义了！这条消息，害得老妈前天去超市，固执己见的非要拿小推车，买了两大袋大米,0,2020-04-07 10:16
https://weibo.cn//u/2583205644,要真相不要左右,男,广东,5976,1220,219,对这种人，拘留远不如高倍罚款有用。,0,2020-04-07 10:12
https://weibo.cn//lankucao,鹓鶵君,男,广西,1134,207,84,现在打电话问商家，要点米；要多少吨，多了还有优惠，三天内到货。,0,2020-04-07 10:11
https://weibo.cn//u/5485117961,信仰失联A,男,其他,167,82,12,顶多买2箱方便面回家，别让老太太叨叨就得了。,1,2020-04-07 10:09
https://weibo.cn//101788795,梁伽之蔚,男,浙江,39898,4132,17975,前几天有人在抢购大米，也在传言要涨价。我跟附近邻居说，大涨价是不可能的，国家粮食安全非常有保障。,0,2020-04-07 10:04
https://weibo.cn//u/6422511964,尽是缘,男,山东,624,45,105,回复@我找不到呆宝和丁青蛙:你家房子大要是小就不会买这么多了，放不下,2,2020-04-07 10:04
https://weibo.cn//u/5343308610,敬酒不吃吃鱼香肉丝,男,北京,22,522,1253,制造社会恐慌,0,2020-04-07 10:03
