评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//jypolice,江油公安,男,四川,40813,1311,762939,这些谣言不能掉以轻心！快来一起识谣辨谣,1,2020-04-20 14:09
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225163,这些谣言不能掉以轻心！快来一起识谣辨谣,1,2020-04-20 13:20
https://weibo.cn//u/5957971466,This小星星,女,湖北,1642,421,34,不信谣不传谣,1,2020-04-20 16:37
https://weibo.cn//u/5897694062,淮舜公安,女,安徽,36369,447,12206,转发微博,0,2020-04-20 19:36
https://weibo.cn//u/1684855767,Brownlu,男,上海,49,56,42,谣言不可信！！我们还是要相信科学！不能引起不必要的恐慌！！！,0,2020-04-20 18:34
https://weibo.cn//u/5957971466,This小星星,女,湖北,1642,421,34,不信谣不传谣,1,2020-04-20 16:37
https://weibo.cn//yangpupolice,警民直通车-杨浦,男,上海,5564,339,78929,健康人可以注射“特免血浆”预防新冠病毒？使用烘焙食凭易感染新冠病毒？这些谣言，不能掉以轻心！！！,0,2020-04-20 15:59
https://weibo.cn//u/5600740090,之乎者也的白,女,其他,1975,1993,182,哈哈哈,0,2020-04-20 15:38
https://weibo.cn//u/5691506747,花山分局经侦大队,男,安徽,1534,17,30,这些谣言不能掉以轻心！快来一起识谣辨谣,0,2020-04-20 15:19
https://weibo.cn//u/5627606252,宜君公安,女,陕西,2563,344,290,转发微博,0,2020-04-20 14:57
https://weibo.cn//wodunled123,沃顿logo光影灯,女,广东,325,342,188,疫情还没完全结束，不能掉以轻心！,0,2020-04-20 14:35
https://weibo.cn//u/1841586942,七年yang不yang,女,甘肃,596,89,133,不传谣,0,2020-04-20 14:30
https://weibo.cn//lsgafj,连山公安分局,男,辽宁,32151,559,10985,【这些谣言不能掉以轻心！快来一起识谣辨谣,1,2020-04-20 14:13
https://weibo.cn//jypolice,江油公安,男,四川,40813,1311,762940,这些谣言不能掉以轻心！快来一起识谣辨谣,1,2020-04-20 14:09
https://weibo.cn//u/2185264421,金角大王的小jiojio,女,上海,1450,596,3626,不信谣不传谣,0,2020-04-20 14:01
https://weibo.cn//AMYcloud,匪我思宜,女,广东,736,340,348,广东一地谣言,0,2020-04-20 13:56
https://weibo.cn//u/5657534394,美丽心情当时间遇到冬,女,河南,2883,584,240,不信谣不传谣，来当谣言终结者吧！,0,2020-04-20 13:22
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225163,这些谣言不能掉以轻心！快来一起识谣辨谣,1,2020-04-20 13:20
https://weibo.cn//u/7346738782,吾辈不忘挖井人,女,上海,1367,526,60,殡仪馆一地的手机至今没有辟谣么,1,2020-04-20 13:10
