评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1773286400,灬小柒小柒,男,北京,1525,311,193,抽烟喝酒能抵抗？咋不再多加个烫头呢？,19,2020-01-23 20:03
https://weibo.cn//u/5977217171,Mov_Shen,男,河北,23,418,60,静注酒精没准有用,11,2020-01-23 20:04
https://weibo.cn//u/6394971361,不常用24034,男,其他,28,345,57,死了就不怕肺炎,6,2020-01-23 20:31
https://weibo.cn//u/1581391625,小猕猴桃特别啰嗦AJ,女,安徽,141,76,148,回复@拔丝拔丝辣子鸡:新年快乐～祝一家人都身体健康长命百岁～,0,2020-01-24 23:33
https://weibo.cn//u/6074538688,拔丝拔丝辣子鸡,女,山东,1149,373,79,回复@小猕猴桃特别啰嗦AJ:新年快乐，祝身体康健，万事顺心,0,2020-01-24 21:58
https://weibo.cn//u/1581391625,小猕猴桃特别啰嗦AJ,女,安徽,141,76,148,回复@拔丝拔丝辣子鸡:hhhhhhhh～,0,2020-01-24 21:02
https://weibo.cn//u/6074538688,拔丝拔丝辣子鸡,女,山东,1149,373,79,回复@小猕猴桃特别啰嗦AJ:我开玩笑的,0,2020-01-24 14:23
https://weibo.cn//u/2529161752,墅爷ssy,男,山东,93,42,96,抽了几十年了别造谣了,0,2020-01-24 12:49
https://weibo.cn//u/1581391625,小猕猴桃特别啰嗦AJ,女,安徽,141,76,148,回复@拔丝拔丝辣子鸡:不是喝啦，我意思是可以拿开水烫衣物什么的………,0,2020-01-24 10:34
https://weibo.cn//u/3189344790,六颗水晶糖wy,女,辽宁,1153,180,204,回复@灬小柒小柒:谦大爷:是不是学我,0,2020-01-24 09:53
https://weibo.cn//u/1626003392,Kiki_Swift,女,江苏,184,27,223,烫得烫到什么程度,0,2020-01-24 01:47
https://weibo.cn//u/5497680590,爱迷路的宫本,女,海外,193,200,49,人罩不住，0.75的酒精？,0,2020-01-23 23:06
https://weibo.cn//u/6033089380,小兔子欣欣,女,其他,458,169,135,回复@灬小柒小柒:把头上细菌病毒烫死,0,2020-01-23 21:56
https://weibo.cn//u/6396861676,00気,男,山西,504,385,525,回复@灬小柒小柒:高温确实有用,0,2020-01-23 20:58
https://weibo.cn//crissduby,骑劫冲锋车,男,广西,5358,1188,714,劝酒词而已 就是为喝酒找借口 要么就是老婆管得严为喝酒找借口,0,2020-01-23 20:46
https://weibo.cn//u/2364263055,人人都笑范德彪人人都是范德彪,男,重庆,6,91,26,回复@今天存满了吗:也对 有点道理,0,2020-01-23 20:45
https://weibo.cn//u/6074538688,拔丝拔丝辣子鸡,女,山东,1149,373,79,回复@小猕猴桃特别啰嗦AJ:多喝烫水,0,2020-01-23 20:44
https://weibo.cn//u/6074538688,拔丝拔丝辣子鸡,女,山东,1149,373,79,请饮用55℃以上的烫水并持续30分钟,0,2020-01-23 20:44
https://weibo.cn//u/5532491104,刘家大小姐-CoCo,女,上海,454,155,292,回复@小猕猴桃特别啰嗦AJ:怕酒精 耐高温,0,2020-01-23 20:35
https://weibo.cn//u/6394971361,不常用24034,男,其他,28,345,57,死了就不怕肺炎,6,2020-01-23 20:31
https://weibo.cn//u/1336844261,星际归客,男,云南,1114,46,118,抓捕造谣者！,0,2020-01-23 20:26
https://weibo.cn//u/6472338377,俺不饿,男,江苏,466,393,98,真的是没谁了,0,2020-01-23 20:25
https://weibo.cn//u/1581391625,小猕猴桃特别啰嗦AJ,女,安徽,141,76,148,除了医用酒精，开水好像也可以烫一烫,2,2020-01-23 20:23
https://weibo.cn//u/2667052275,吃甜小生不要辣,男,上海,4103,111,204,回复@Mov_Shen:肯定有用。宿主都GG了，能不有用么,1,2020-01-23 20:21
https://weibo.cn//u/6071540176,LuiArui,男,浙江,0,156,1471,很多事用脑子想想就知道假的，乐观点,1,2020-01-23 20:14
https://weibo.cn//u/5902897876,很是精彩啊,男,山东,289,138,46,回复@灬小柒小柒:于谦：,0,2020-01-23 20:12
https://weibo.cn//u/6098725412,宁啊aa,女,其他,636,206,273,想抽烟喝酒想疯了?,1,2020-01-23 20:12
https://weibo.cn//u/1733322523,乱室佳人_Ash,女,山东,2760,222,235,你们不吆喝这一嗓子，我还真没听说过这个抽烟喝酒能抗病毒的谣言,0,2020-01-23 20:11
https://weibo.cn//u/2175153892,微微的男子汉,男,湖北,774,3488,4323,其实大部分人都是知道的，调侃一下开心一下而已,0,2020-01-23 20:09
https://weibo.cn//u/1874458292,骑着蚂蚁逛街yy,男,湖南,5667,432,1375,至少喝酒能增强机体抵抗力,1,2020-01-23 20:07
https://weibo.cn//u/5446852061,chuiy陈,男,其他,263,149,71,回复@Mov_Shen:哈哈哈哈哈哈我也这么觉得,1,2020-01-23 20:05
https://weibo.cn//u/7270821773,昕月蓝馨,女,北京,280,24,12,谣言止於智者,0,2020-01-23 20:05
https://weibo.cn//u/5977217171,Mov_Shen,男,河北,23,418,60,静注酒精没准有用,11,2020-01-23 20:04
https://weibo.cn//u/1773286400,灬小柒小柒,男,北京,1525,311,193,抽烟喝酒能抵抗？咋不再多加个烫头呢？,19,2020-01-23 20:03
https://weibo.cn//u/7270821773,昕月蓝馨,女,北京,280,24,12,谣言止於智者,0,2020-01-23 20:03
https://weibo.cn//1967y,茶馆酒仙,男,上海,206146,2917,23446,酒精漱口,3,2020-01-23 20:03
https://weibo.cn//hanppydays,Suika-June,女,重庆,1955,241,288,马上发给我爸看,1,2020-01-23 20:02
https://weibo.cn//u/2060276403,大轩小轩的爸爸,男,江苏,99,297,236,酒精擦手，擦手机，擦屁股,0,2020-01-23 20:02
