评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//njga,平安南京,男,江苏,29759,436,2682487,转发辟谣！,0,2020-01-24 12:25
https://weibo.cn//dazhougongan,平安达州,男,四川,16154,471,22745,转发辟谣！#这些新冠肺炎传言是假的# 举报 赞[0] 回复 2020-01-24 10:40:07 来自网页,0,2020-01-24 10:40
https://weibo.cn//u/5353417884,亳州谯城公安在线,女,安徽,21066,754,108651,//,0,2020-01-24 13:11
https://weibo.cn//u/1105604987,老吴呱蛋,男,上海,20538,1089,267990,没事在家看电视，既是防范，也是特殊的休养,0,2020-01-25 00:04
https://weibo.cn//szgalmpcs,苏州市娄门派出所,男,江苏,36397,140,1829, ,0,2020-01-24 19:02
https://weibo.cn//u/6750271287,善道守德,男,北京,441,144,2429,严惩造谣者和哄抬物价者！,0,2020-01-24 15:02
https://weibo.cn//u/5353417884,亳州谯城公安在线,女,安徽,21066,754,108651,//,0,2020-01-24 13:11
https://weibo.cn//njga,平安南京,男,江苏,29759,436,2682487,转发辟谣！,0,2020-01-24 12:25
https://weibo.cn//hsz2010sam,野马无畏,男,江苏,34113,1587,1402,     举报             赞[0]         回复             2020-01-24 12:17:09 来自网页,0,2020-01-24 12:17
https://weibo.cn//iween,风华绝菜,女,广东,766,181,218,哪儿都买不到口罩，不方便出门,1,2020-01-24 11:11
https://weibo.cn//dazhougongan,平安达州,男,四川,16154,471,22745,转发辟谣！#这些新冠肺炎传言是假的#     举报             赞[0]         回复             2020-01-24 10:40:07 来自网页,0,2020-01-24 10:40
https://weibo.cn//u/5259670884,雨天好洗澡和大便好玩手机,男,其他,2776,380,192,都是营销号写出来的文章  唯恐天下不乱,0,2020-01-24 10:39
https://weibo.cn//u/6637496176,蹲在旮旯卖待儿,男,其他,17368,267,3943,那真的又是什么呢？,0,2020-01-24 10:19
https://weibo.cn//u/5855677804,鱼不闲_,女,安徽,720,886,235,是因为安徽的疫情太少病历没有武汉等地区严重所以zf不重视？！！口罩呢？宣传呢？偏偏要等到多少多少人死亡了患病了能上热搜了才肯大力宣传？？？在合肥现在见到的戴口罩的很少大多都是年轻人，还有很多中年人中老年人根本就没有意识，就算知道潜在还是觉得现在这个东西并不严重，求求安徽重视一下吧！,0,2020-01-24 10:16
https://weibo.cn//u/3850596174,迷雾鹿影,女,辽宁,966,457,334,在老妈的群里看到有转发盐水漱口的消息，男朋友信誓旦旦给我灌输抽烟可以降低传染几率,0,2020-01-24 10:09
https://weibo.cn//u/3158752240,灬半江瑟瑟半江红灬,女,湖北,1114,82,6,得发到父母的微信群里去,0,2020-01-24 10:03
https://weibo.cn//u/2189808491,秘密当铺,男,其他,126,571,33,就有用的口罩，买不到啊,1,2020-01-24 09:54
https://weibo.cn//pingxiufeng,主持人平陆,男,山东,1899,235,3599,正确认知，主动防范！不传谣~,0,2020-01-24 09:48
https://weibo.cn//u/2562611993,独立经纪--杨浩_Damon,男,广东,2250,189,458,愚昧无知是人类永远走不出的深渊,1,2020-01-24 09:47
https://weibo.cn//ahpolice,安徽公安在线,男,安徽,53661,1259,6619225, 转发辟谣！,0,2020-01-24 09:45
https://weibo.cn//u/2978284673,工厂水睪糙办,男,其他,4,140,222,@没魂大师,0,2020-01-24 09:42
https://weibo.cn//u/2177880052,心无界-行无限,男,甘肃,519,567,1343,管好自己就是帮助别人,1,2020-01-24 09:36
https://weibo.cn//u/6439052733,今天红烧还是清蒸呢,男,其他,15232,531,134,转发辟谣,0,2020-01-24 09:33
https://weibo.cn//jerryvniee,薇薇的对象,男,江苏,1938,1015,1111,你敢说用连花清瘟无效不,0,2020-01-24 09:32
https://weibo.cn//u/6148960968,柠檬酸钙呀,女,甘肃,317,516,133,买不到口罩 太难了,4,2020-01-24 09:30
