评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3855309210,飛尔shmily,女,江苏,297,246,465,这个真的是谣言，关键是学校好多老师还要求学生都要看的,351,2020-01-26 20:17
https://weibo.cn//678225298,遗忘之念,女,北京,3812,1485,1545,谢谢辟谣,100,2020-01-26 20:17
https://weibo.cn//u/1400034291,蓝色的草虫,男,北京,3034,57,188,这个谣言在多个正规渠道看到了，单位工作群、孩子班主任通知。。造谣的够厉害了。,116,2020-01-26 20:20
https://weibo.cn//u/6107681920,花泽类不流泪_,女,湖南,19,49,42,我们班主任在家长群里发这个，我妈昨晚还在等,0,2020-01-27 18:37
https://weibo.cn//u/2410766927,盘丝大大仙儿,女,陕西,971,458,94,我们领导还在群里要求大家看呢。也不搞清楚信息的来源，整天乱转发一通各种信息。,0,2020-01-27 12:44
https://weibo.cn//u/1049081022,潇千青今天当锦鲤了吗,女,福建,984,285,232,揪出来是哪个首传的！,0,2020-01-27 11:53
https://weibo.cn//u/6567289189,李姓先生的蜜蜂,女,河南,8343,270,527,我们大学导员也发了     举报             赞[0]         回复             2020-01-27 11:46:31 来自网页,0,2020-01-27 11:46
https://weibo.cn//u/7337585701,谨言·卿,男,其他,3149,36,66,学校通知让我们按时观看，还两天晚上都发通知了，现在也分不清哪个是谣言哪个不是，望严惩造谣者，谢谢,0,2020-01-27 11:15
https://weibo.cn//u/6059484676,路珊瑚舸,男,其他,443,79,138,👂 👏 👏 👏 👍,0,2020-01-27 10:29
https://weibo.cn//dousunflower,王大鹅呀,女,安徽,204,396,673,造谣的图什么？？？,0,2020-01-27 09:14
https://weibo.cn//u/3169273922,立山而亮,男,其他,1031,65,85,为什么总有人喜欢造谣呢？是吃多了不消化吗？妈个鸡的。,0,2020-01-27 08:52
https://weibo.cn//u/1547404185,半部春秋日尧光,女,上海,4851,66,400,我想请白岩松对钟南山先生说声谢谢,0,2020-01-27 08:13
https://weibo.cn//u/5925603934,此朵,女,北京,1685,887,930363,早就已经对话过钟南山了，真不明白怎么现在这个通知才出来？连线的时候没人看，现在又来说是谣言？,0,2020-01-27 07:33
