评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5590441192,安康吃喝玩乐,男,北京,3930,723,81943,恳请公安严查，东莞警方还没有回应 ,32,2020-01-26 22:34
https://weibo.cn//changparker,我到底来干嘛,男,新疆,27,233,107,现在谣言真是太多了，真不知道最开始发这个消息的目的是什么。现在情况这么紧急还有心思发谣言，真是气人啊！！,11,2020-01-26 22:32
https://weibo.cn//u/2929294172,B遇見妳時風好甜X,女,海外,3316,190,123,真的是造谣一张嘴，辟谣跑断腿,6,2020-01-26 22:34
https://weibo.cn//u/6733443095,子弹比援军快,女,广东,183,80,81,我那也是，说什么早上四点无人机撒消毒水，叫我不要去菜地捡菜吃，这么几亩地的菜就这么浪费了，真是谣言造你妈！,0,2020-01-29 23:47
https://weibo.cn//u/6733443095,子弹比援军快,女,广东,183,80,81,我那也是，说什么早上四点无人机撒消毒水，叫我不要去菜地捡菜吃，这么几亩地的菜就这么浪费了，真是谣言造你妈！,1,2020-01-28 14:04
https://weibo.cn//u/2936346931,潘晨宇1996,男,黑龙江,2536,942,490,无聊、无知,0,2020-01-28 01:32
https://weibo.cn//u/5984175076,而立之人81,男,四川,21376,164,180,落地查人啊，抓几个典型打击一番，效果比转发强多了去！要记住，你们可是暴力机关，特殊时期，霹雳手段方显菩萨心肠！,0,2020-01-27 13:20
https://weibo.cn//u/2502210861,黑猫警长绯闻女友,女,北京,2342,316,110,回复@k国际闲人:是的，每次有什么事，这个飞机洒药就得出来一次。,0,2020-01-27 11:23
https://weibo.cn//u/5377566766,乌青帮,女,江苏,1896,104,91,人家喷不喷消毒水跟我们这些宅家里的有什么关系，这些造谣的到底想说给谁听？,0,2020-01-27 09:06
https://weibo.cn//u/2584149250,小老板姓儿,男,其他,278,71,448,那就多给老板姓说点实话，谣言不攻自破了不是吗？,0,2020-01-27 08:42
https://weibo.cn//u/2729287193,曙岚-俏夕阳,女,北京,6541,211,842,造谣者封号不就完了吗,0,2020-01-27 06:58
https://weibo.cn//u/5087613207,雄仔墨迹,男,广东,217,192,162,我朋友还截图给我看了，我跟他说这很多没证据的不要瞎讲，他说那个群里有体制内的人，要是谣言立马就会被人制止了，我差点就信了     举报             赞[0]         回复             2020-01-27 06:56:13 来自网页,0,2020-01-27 06:56
https://weibo.cn//u/1908354170,LING零蛋,女,海外,54128,1987,720,可微信群友对此谣言深信不疑，而且是二十三十岁的,0,2020-01-27 02:44
https://weibo.cn//u/5730584192,樱桃只想放风筝,女,江西,7120,180,330,还说早上4点到4点半,0,2020-01-27 02:22
https://weibo.cn//u/7356780235,Clearlove7sTProPlusMaxPremium,男,其他,146,16,2,飞机洒的消毒水如果到地上还有效果，这毒性基本等于化学武器袭击了，信这个的在想什么,0,2020-01-27 01:28
https://weibo.cn//u/5684622374,撄宁和光,女,新疆,1309,245,3374,哈哈哈哈，我妈抹黑让我爸打电筒去菜地里摘菜,0,2020-01-27 00:35
https://weibo.cn//u/7312649333,胡桐桐8888,女,上海,398,114,2,原来是谣言,0,2020-01-27 00:10
https://weibo.cn//u/3856590112,Katsushi,男,海外,446,303,222,造谣的飞机洒他🐴骨灰,0,2020-01-27 00:01
https://weibo.cn//u/5969027615,肥嘟嘟1020,女,广东,146,77,50,散播谣言的不怕遭天谴吗,0,2020-01-26 23:53
https://weibo.cn//u/2118545122,你哥你哥w,男,广东,5249,126,148,我一看朋友说就怀疑是谣言了，这操作太骚。。。,0,2020-01-26 23:46
https://weibo.cn//u/2516821361,朝早起身煮鱼嘅猫,女,其他,746,97,51,昨天我姨发到家族群，我说是假的，她说是工友说的，她大嫂是哪里政府的,0,2020-01-26 23:39
