评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,我发现一个现象，一般造谣的都会说“我从亲戚XX那得到的消息”，“我同事的XX就在那个医院上班”，“我朋友的XX就是当地政府的谁谁谁”。你他吗有这些亲戚同事朋友别人不会发？需要你来通知？,26,2020-02-19 01:26
https://weibo.cn//u/1044183481,丹枫紫月,男,浙江,424,289,132,有何居心？,9,2020-02-19 00:07
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225162,网传今天温州因疫情死亡两人？系谣言！,0,2020-02-19 18:51
https://weibo.cn//u/5150594114,玥落星海yys,男,北京,242,61,4377,抓,0,2020-02-19 19:20
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225162,网传今天温州因疫情死亡两人？系谣言！,0,2020-02-19 18:51
https://weibo.cn//qcjx,有棉有艺,女,湖南,797,139,66,怎么办，现在只要看到官方辟谣的就想起李文亮,1,2020-02-19 09:14
https://weibo.cn//u/1312308370,IrisDrawn,女,海外,12718,152,72,回复@月亮便利店老板娘:原博图片上的盖章单位就可以吧？@温州网警巡查执法,0,2020-02-19 08:59
https://weibo.cn//u/5911501898,暗夜墨沉,女,广东,35126,1336,485,回复@暗恋雨过天睛:,1,2020-02-19 01:55
https://weibo.cn//u/1227120017,核桃味的咖啡,男,甘肃,1,33,2,官方数据！该信的信，不该信的别信,3,2020-02-19 01:51
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,回复@wall-e119:无中生“友”,3,2020-02-19 01:28
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,我发现一个现象，一般造谣的都会说“我从亲戚XX那得到的消息”，“我同事的XX就在那个医院上班”，“我朋友的XX就是当地政府的谁谁谁”。你他吗有这些亲戚同事朋友别人不会发？需要你来通知？,26,2020-02-19 01:26
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,我发现一个现象，一般造谣的都会说“我从亲戚XX那得到的消息”，“我同事的XX就在那个医院上班”，“我朋友的XX就是当地政府的谁谁谁”。你他吗有这些亲戚同事朋友别人不会发？需要你来通知？,26,2020-02-19 01:26
https://weibo.cn//u/1044183481,丹枫紫月,男,浙江,424,289,132,有何居心？,9,2020-02-19 00:07
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225162,网传今天温州因疫情死亡两人？系谣言！,0,2020-02-19 18:51
https://weibo.cn//u/5150594114,玥落星海yys,男,北京,242,61,4377,抓,0,2020-02-19 19:20
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225162,网传今天温州因疫情死亡两人？系谣言！,0,2020-02-19 18:51
https://weibo.cn//qcjx,有棉有艺,女,湖南,797,139,66,怎么办，现在只要看到官方辟谣的就想起李文亮,1,2020-02-19 09:14
https://weibo.cn//u/1312308370,IrisDrawn,女,海外,12718,152,72,回复@月亮便利店老板娘:原博图片上的盖章单位就可以吧？@温州网警巡查执法,0,2020-02-19 08:59
https://weibo.cn//u/5911501898,暗夜墨沉,女,广东,35126,1336,485,回复@暗恋雨过天睛:,1,2020-02-19 01:55
https://weibo.cn//u/1227120017,核桃味的咖啡,男,甘肃,1,33,2,官方数据！该信的信，不该信的别信,3,2020-02-19 01:51
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,回复@wall-e119:无中生“友”,3,2020-02-19 01:28
https://weibo.cn//u/2423060812,wall-e119,男,广东,4642,119,190,我发现一个现象，一般造谣的都会说“我从亲戚XX那得到的消息”，“我同事的XX就在那个医院上班”，“我朋友的XX就是当地政府的谁谁谁”。你他吗有这些亲戚同事朋友别人不会发？需要你来通知？,26,2020-02-19 01:26
https://weibo.cn//u/7244304706,让我次一口锅包肉,女,广东,121,108,261,回复@Karen8917:那请您老来说说我应该向那个机构举报呢,0,2020-02-19 01:25
https://weibo.cn//u/2498930297,拥9抱一点都不温暖,女,广东,1011,305,20,好,0,2020-02-19 00:51
https://weibo.cn//u/1542689284,暗恋雨过天睛,男,湖南,219,170,34,现在微信通过小程序加入所有棋牌游戏后，己经成为全国最大的流动赌场和洗钱平台，国家怎么就连个治理信号都没有[流泪][流泪][流泪][流泪][流泪],0,2020-02-19 00:18
https://weibo.cn//u/1695921454,阿软啊软软啊,男,其他,926,86,39,回复@正经的青年-: 哈哈哈 小机灵鬼,0,2020-02-19 00:17
https://weibo.cn//u/1935191915,呼呼呼啊库怒啊哒咦,男,浙江,40,211,122,相信温州,1,2020-02-19 00:13
https://weibo.cn//u/5359649949,十亿伏特_代号7061,男,重庆,8554,3198,3755,回复@丹枫紫月:总有人要么是为了让别人注意自己，要么是为了制造混乱。,2,2020-02-19 00:12
https://weibo.cn//u/2650787182,雲屏余味,男,广东,225,21,44,汕头这边17号下午有个外来人员在测温点捅伤了一个工作人员，还有几个划伤，人当场就抓了，     举报             赞[8]         回复             2020-02-19 00:10:18 来自网页,8,2020-02-19 00:10
