评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6485972919,净正心,男,广东,125,125,7726,坚决反对,26,2020-02-29 09:02
https://weibo.cn//njga,平安南京,男,江苏,29759,436,2682494,【确诊病人去大悦城传播病毒？造谣！】不造谣、不信谣、不传谣,0,2020-02-29 09:36
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-02-29 10:36
https://weibo.cn//u/2097891420,幸福的戒律,女,福建,3763,65,494,回复@杜朗达爵士:是啊！将来让他们反客为主，跟日本禽类   不是一样吗？不要中了外国人的计,0,2020-02-29 11:13
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-02-29 10:36
https://weibo.cn//u/1749929530,小看微博,男,陕西,1410,94,246,我只知道：可防可控,0,2020-02-29 10:11
https://weibo.cn//zbsgaj,淄博警方,女,山东,75998,1105,872421,不信谣，不传谣,0,2020-02-29 10:05
https://weibo.cn//u/6016816093,秋声渐起,女,山东,303,50,37,我想知道哪个媒体的报导最实事求是，让事实说话，让谣言在事实面前无可遁形,0,2020-02-29 09:59
https://weibo.cn//njga,平安南京,男,江苏,29759,436,2682494,【确诊病人去大悦城传播病毒？造谣！】不造谣、不信谣、不传谣,0,2020-02-29 09:36
https://weibo.cn//u/5708128997,白日旧梦shero,女,安徽,46,138,8,切勿乱造谣，从我做起,0,2020-02-29 09:29
https://weibo.cn//u/6350081552,boilli00,女,广东,63,515,86,警察叔叔可以看看天津拾荒老人被殴打的事件吗,4,2020-02-29 09:21
https://weibo.cn//u/7336925185,阳止初陆,男,其他,256,577,13,不造谣不传谣,0,2020-02-29 09:16
https://weibo.cn//lishengmao2010,李胜茂,男,陕西,931,167,196,不应该把疫情严重的韩国人放进,0,2020-02-29 09:14
https://weibo.cn//u/6271114898,翔阳正树REBORN,男,北京,228,191,131,造谣连点脑子都不动，这货不知道北京有地坛医院吗？轮的着积水潭？,0,2020-02-29 09:13
https://weibo.cn//u/6461768829,会会不是会会,女,其他,1246,773,28, 警察叔叔关注一下吧,2,2020-02-29 09:12
https://weibo.cn//u/6461768829,会会不是会会,女,其他,1246,773,28,警察叔叔可以关注一下天津恶意殴打老人的事件吗,9,2020-02-29 09:11
https://weibo.cn//u/2833567014,MSR-LI,男,海外,3,87,105,回复@MSR-LI:关注一下,0,2020-02-29 09:11
https://weibo.cn//u/7022991700,qhL7777,男,江西,222,223,46,不传谣！,0,2020-02-29 09:07
https://weibo.cn//u/5518255893,丿了叔,男,其他,2249,194,318,带节奏的民粹、造谣生事的、网安部门多干点活吧,0,2020-02-29 09:05
https://weibo.cn//u/1899185587,宛若華莲,女,江苏,152,43,320,以谣分裂国家秩序 还是直接击毙 别浪费粮食了,0,2020-02-29 09:04
https://weibo.cn//1113zZ,萝卜VoV,男,其他,5,64,251,可防可控，物质充足？,0,2020-02-29 09:04
https://weibo.cn//u/6317702463,菠萝竹笋鸭,女,广东,524,324,112,疫情当前 造谣的是闲的没事干吗？,2,2020-02-29 09:03
https://weibo.cn//u/6485972919,净正心,男,广东,125,125,7726,坚决反对,26,2020-02-29 09:02
https://weibo.cn//u/6524618480,兔兔独角仙,女,其他,373,150,443,这些人脑子生锈了？     举报             赞[3]         回复             2020-02-29 09:02:37 来自网页,3,2020-02-29 09:02
