评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7206157109,我本善良95176,男,其他,2,211,10,洋大人寻衅滋事打警察，妨碍公务，据留五日我，口头教育。国内普通人民所谓开个玩笑，造个谣，却要10日。,0,2020-03-05 02:19
https://weibo.cn//u/1906035413,沈阳铁西公安,男,辽宁,32115,330,138982,回复@龙江警方在线:双击666,0,2020-03-04 22:52
https://weibo.cn//u/6813062786,余曦亦,女,其他,14,7,11,咦,0,2020-03-04 21:50
https://weibo.cn//u/7255208590,龙江警方在线,男,其他,714,81,79,回复@沈阳铁西公安:没毛病,0,2020-03-04 20:25
https://weibo.cn//u/7255208590,龙江警方在线,男,其他,714,81,79,回复@平安抚顺:必须的,0,2020-03-04 20:25
https://weibo.cn//u/1050127374,2135464646韩113233,女,天津,1807,293,172,转发微博,0,2020-03-04 20:03
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225164,行政拘留！,0,2020-03-04 18:51
https://weibo.cn//u/6122686402,dhkfwvjrwhkurrswo,女,山东,152,72,107,无语，脑壳有包包,0,2020-03-04 14:23
https://weibo.cn//u/5641815206,exilmhggLMH,男,山东,377,182,73,喝酒之前，我是东北的； 喝完酒后，东北是我的。,2,2020-03-04 14:12
https://weibo.cn//u/1906035413,沈阳铁西公安,男,辽宁,32115,330,138982,喝了酒感觉天下都是你的,1,2020-03-04 13:13
https://weibo.cn//u/1906035413,沈阳铁西公安,男,辽宁,32115,330,138982,回复@铁头的父亲:,0,2020-03-04 13:13
https://weibo.cn//u/1846682025,铁头的父亲,男,海外,845,619,556,各位老铁？？？谁是你的老铁？？？,1,2020-03-04 13:01
https://weibo.cn//u/2442699587,丹青竹韵,女,辽宁,1732,409,96,酒后无德,0,2020-03-04 13:00
https://weibo.cn//u/7403201564,网信先锋难民,男,北京,277,445,264,回复@龙江狂生:打击诈骗犯罪是警察的天职。你竟然想说我们国家的警察会对犯罪行为放手不管?,0,2020-03-04 12:55
https://weibo.cn//u/5863454716,菩提莲华子,男,北京,3310,32,643,南无阿弥陀佛🙏🙏🙏,0,2020-03-04 12:29
https://weibo.cn//u/6590950067,龙江老狂生,男,黑龙江,1155,916,193,回复@空腹吃早餐不太好吧:想发财想疯了，当初干啥去了？钱没了想起国家了。,1,2020-03-04 12:18
https://weibo.cn//u/7396843636,一本正经斗,女,北京,1267,268,306,回复@空腹吃早餐不太好吧:北京朝阳经侦，你们要是倒在侦破#先锋网信#特大互联网金融诈骗案的路上，我们17万受害人为你请命评为烈士！,3,2020-03-04 12:11
https://weibo.cn//u/1315064815,天津久畅干冰,男,天津,1584,188,356,回复@空腹吃早餐不太好吧:网信全牌照平台，荣获国家多项金融奖项，参与一带一路，利率不超过银行利率4倍，披着合法外衣，暴雷近八个月，没有看到兑付方案，只看到高管携款外逃，实控人假期英国，多家企业撤资，注销，说明他们根本没有还款意愿，还想逃脱法律制裁，出借人多次维权受阻，希望公安赶快立案，还社会公平公正。,2,2020-03-04 12:03
https://weibo.cn//u/6443329018,极边书客,男,其他,361,543,424,这是在挑战法律的底线。,0,2020-03-04 12:02
https://weibo.cn//u/7396843636,一本正经斗,女,北京,1267,268,306,警察叔叔，你们累不累？,5,2020-03-04 11:58
https://weibo.cn//u/2882808111,神猫上天,女,海外,1165,103,474,回复@绿叶松子:这个应该叫就够吹牛逼,1,2020-03-04 11:54
https://weibo.cn//u/6331536865,左启伟,男,上海,241,365,129,严肃处理,0,2020-03-04 11:49
https://weibo.cn//u/6331536865,左启伟,男,上海,241,365,129,浪费警力 ,0,2020-03-04 11:49
https://weibo.cn//u/5993349594,绿叶松子,男,其他,566,137,826,酒后吐真言未必是真的,1,2020-03-04 11:45
https://weibo.cn//u/2737747192,丽水公安,男,浙江,33237,559,238355,【请不要在这种时候散布这样的谣言，给大家增加无畏的恐慌！为他人，也为自己，请慎言。】,0,2020-03-04 11:42
https://weibo.cn//u/6096285441,百里落寒,男,广东,700,98,360,锦州籍市民李某因造谣被警方训诫,0,2020-03-04 11:38
https://weibo.cn//u/3499239714,Alchemy_Stars,女,四川,1448,1526,1059,脑子不对,1,2020-03-04 11:34
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,严惩造谣生事者！,1,2020-03-04 11:33
https://weibo.cn//u/3856711656,珍惜现在_34827,男,西藏,1293,152,1228,这酒喝的有点多啊,0,2020-03-04 11:32
https://weibo.cn//u/5657881238,宝鸡网警巡查执法,男,陕西,9704,401,3636,转发微博,0,2020-03-04 11:32
