评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//275511202,化小硕,女,北京,1358,346,406,智商真是。。。居然会有人信也是服了,23,2020-06-20 20:17
https://weibo.cn//u/5717438570,上岸155,男,山东,393,257,15,方方粉丝吧,12,2020-06-20 20:05
https://weibo.cn//u/5669633517,意难穷,男,其他,1246,657,7,散布的谣言内容是啥？能不能把造谣内容写出来或者甩个链接，顺便辟谣。想给这通报打负分。,0,2020-06-24 08:47
https://weibo.cn//u/6087486378,初學者孟慧云,女,河南,294,347,109,回复@泽无水de困:你是地域黑吗，关我们河南什么事儿,0,2020-06-24 06:46
https://weibo.cn//u/6104083289,借我怦然心动如往昔1,女,天津,25,73,13,回复@泽无水de困:河北跟吃烩面有啥关系,0,2020-06-24 06:04
https://weibo.cn//u/6873112874,抓你鲁迅和我周树人有什么关系,男,陕西,3,170,3,毕竟中国疫情已经得到控制 像这种相关信息肯定都是虚假的造谣,0,2020-06-22 14:01
https://weibo.cn//u/5920179776,周瑜的守护神东方伊爱,女,广西,99,103,128,     举报             赞[0]         回复             2020-06-22 08:30:34 来自网页,0,2020-06-22 08:30
https://weibo.cn//zfh727,跳初,男,安徽,1911,152,359,吃的太饱。,0,2020-06-22 07:17
https://weibo.cn//u/5893712465,恕在下无可奉告,男,天津,587,36,159,回复@时咣O映畵:你没理解我的意思，我说的是“在语言逻辑表达上，造谣。”想一想当然无罪，但是你说出来还被广泛传播，那就是有罪。还有别乱理解我的话，我说的是用语言逻辑造谣，不是思想逻辑。你在想什么鬼tm知道，但是你说出来被传播那就不一样了。,0,2020-06-21 21:02
https://weibo.cn//u/3212265241,一不听话一,女,浙江,43,45,14,都不知道啥谣言,0,2020-06-21 17:20
https://weibo.cn//u/2031598477,偏正经的铁老头儿,男,广东,2909,176,401,应该把她的谣言贴出来，辟谣，教育效果翻几翻。,1,2020-06-21 16:26
https://weibo.cn//u/2031598477,偏正经的铁老头儿,男,广东,2909,176,401,回复@化小硕:英国，都有人信5G基站传染新冠，很多事情不是我们理所当然的，人类在，谣言在。,0,2020-06-21 16:24
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,回复@恕在下无可奉告:思想和逻辑你都要定罪，你可真是法治。,0,2020-06-21 16:08
https://weibo.cn//u/5893712465,恕在下无可奉告,男,天津,587,36,159,回复@时咣O映畵:转发过500就可以依法定罪，这不是我说的。,0,2020-06-21 15:53
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,回复@恕在下无可奉告:哈哈，感觉你随口一说就是法律规定了。。,0,2020-06-21 15:42
https://weibo.cn//u/5893712465,恕在下无可奉告,男,天津,587,36,159,回复@时咣O映畵:在群里臆测没毛病，但是被转发过多那就叫造谣。或者思想上臆测，语言逻辑上造谣。,0,2020-06-21 15:39
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,回复@時-----:啥谣言？她的臆测吗？不良影响是啥？法律要客观严谨，尤其要杜绝语义偷换和一带而过。,0,2020-06-21 15:34
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,回复@恕在下无可奉告:通告不细致，给人感觉是她在群里的臆测被当成了传谣。。,0,2020-06-21 15:33
https://weibo.cn//callmegoofygirl,这是一匹梅花马,女,北京,7857,1747,918,回复 ,0,2020-06-21 14:32
https://weibo.cn//u/1604044713,時-----,女,其他,7838,891,1650,确实不是一回事啊，但是她不光臆测了，重点是后一句话啊😂😂“于6月19日下午在微信群散播疫情谣言，该信息被大量转发，造成不良影响。”,0,2020-06-21 11:20
https://weibo.cn//u/1604044713,時-----,女,其他,7838,891,1650,重点是“（臆测后……）于6月19日下午在微信群散播疫情谣言，该信息被大量转发，造成不良影响。”她不是光猜想了，还散播了。。,0,2020-06-21 11:18
https://weibo.cn//319890319,蔣伪员长先森,男,江苏,5677,538,356,说啥了？？？,0,2020-06-21 11:13
https://weibo.cn//callmegoofygirl,这是一匹梅花马,女,北京,7857,1747,918,臆测的意思就是 猜想一下么？,0,2020-06-21 10:42
https://weibo.cn//u/1813598791,-混事儿魔王-,女,其他,1892,570,358,回复@十堰市公安局东岳分局:必须加上“不造谣”，造谣的人除了居心叵测的还有臆想天开的,2,2020-06-21 10:41
https://weibo.cn//u/1322698221,江海独行侠,男,浙江,8558,295,259,立即送精神病院治疗！,0,2020-06-21 10:41
https://weibo.cn//u/5893712465,恕在下无可奉告,男,天津,587,36,159,回复@时咣O映畵:臆测没啥毛病，传谣就不对了，甚至会触犯法律,0,2020-06-21 10:35
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,回复@恕在下无可奉告:所以你也觉得不是一回事啊。,0,2020-06-21 09:57
https://weibo.cn//u/6498186643,贵族勇航,男,北京,27,86,174,"…还臆测疫情… …""你真把自己当成专家了!""… …我们一定要正确认识疫情…做到不信谣、不传谣、…  …",0,2020-06-21 08:34
https://weibo.cn//u/5893712465,恕在下无可奉告,男,天津,587,36,159,回复@时咣O映畵:我猜你🐴得新冠死了，这就是臆测。我在网络上发表“你🐴得新冠死了”这就是传谣。,0,2020-06-21 08:06
https://weibo.cn//u/2921670030,有个小小的太阳,男,广东,597,9,2,严惩,0,2020-06-20 22:29
https://weibo.cn//sydyfj,十堰市公安局东岳分局,男,湖北,37537,621,221108,不信谣，不传谣,4,2020-06-20 21:41
https://weibo.cn//budadianer,时咣O映畵,男,黑龙江,21734,619,965,臆测和传谣不是一回事吧？她如何臆测的？,2,2020-06-20 21:05
https://weibo.cn//u/7418326457,Fancy912,女,上海,1209,370,11, 看看吧，臆测啥意思，对对号哈,5,2020-06-20 21:05
https://weibo.cn//u/7377270583,666濮水愚夫,男,其他,54,172,79,回复@寒士阁:对，一视同仁才能服众,0,2020-06-20 20:48
https://weibo.cn//u/7377270583,666濮水愚夫,男,其他,54,172,79,回复@继续更:还是怪袁隆平,0,2020-06-20 20:47
https://weibo.cn//u/6619595134,学不好大理不配爱蒋丞,女,河北,898,340,229,都快50了，一天天作啥呢,1,2020-06-20 20:45
https://weibo.cn//u/1370399675,小米天台,男,江苏,8832,447,218,说啥了？,3,2020-06-20 20:45
https://weibo.cn//u/1147173255,JohnXUH,男,北京,7787,200,687,鞭刑,0,2020-06-20 20:37
https://weibo.cn//y55444,修汽车的杨工,男,广东,30589,3772,3606,臆测疫情。,0,2020-06-20 20:34
https://weibo.cn//u/7219937233,寒士阁,女,上海,401,41,1139,心惊报造了那么多谣，你们管不？别只重拳出击普通网民嗷，要一视同仁呢,14,2020-06-20 20:31
https://weibo.cn//u/2056190561,六米阳光六米阳光,女,福建,2578,726,107,散步谣言必抓之,2,2020-06-20 20:26
https://weibo.cn//u/3217182880,麻木不仁123,男,河南,108,630,157,警官你好：我被人威胁、软禁，被三个专业拿工资的河南人监视，周围百姓无人不知，最近我到省，市、县、镇，各个公安部门报案，本以为对方会收敛一些，还是恶性不改更加猖狂，明目张胆一点不胆怯.不怕公安部机关，不知谁借她的胆如此嚣张，还是恶语相对威胁到，非玩死你、耗死你。一点离去的意思都没有,0,2020-06-20 20:20
https://weibo.cn//u/2912093967,继续更,男,其他,11024,90,51,吃的太饱了,3,2020-06-20 20:18
https://weibo.cn//u/5954856140,小猫米莎,男,广西,883,963,1322,网络不是法外之地,1,2020-06-20 20:17
https://weibo.cn//libaoshan1,仗剑走天涯之山东人,男,山东,16875,9243,118434,散发谣言？有处理结果了,0,2020-06-20 20:17
https://weibo.cn//275511202,化小硕,女,北京,1358,346,406,智商真是。。。居然会有人信也是服了,23,2020-06-20 20:17
https://weibo.cn//u/2298151792,芊芊郡主-冰,女,江苏,5506,66,411,何苦，为了博点关注？,2,2020-06-20 20:14
https://weibo.cn//u/5717438570,上岸155,男,山东,393,257,15,方方粉丝吧,12,2020-06-20 20:05
https://weibo.cn//u/6148387436,g美丽的风景,女,其他,27,218,62,网信理财诈骗,1,2020-06-20 20:05
https://weibo.cn//u/2210211955,Summer恩奇,女,山东,12426,1054,2268,造谣的都应付出代价 ,0,2020-06-20 20:05
https://weibo.cn//u/6148387436,g美丽的风景,女,其他,27,218,62,#先锋集团网信理财诈骗750亿#,0,2020-06-20 20:05
