评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//ahzazd,安徽治安在线,男,安徽,21808,649,163359,转扩周知！,1,2020-07-02 09:09
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-07-02 10:40
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,把造谣的抓起来 ，叫他们编部长篇小说,4,2020-07-02 09:07
https://weibo.cn//u/3962046124,YOYO假笑男孩,女,山西,650,813,164,转发,0,2020-07-03 17:12
https://weibo.cn//u/5658832564,汕头网警巡查执法,男,广东,4453,353,30087,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】,0,2020-07-03 15:20
https://weibo.cn//lzczgafj,柳州市城中公安分局,男,广西,11046,75,973,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】,0,2020-07-03 12:06
https://weibo.cn//u/6298558126,哩哩美_渔农,男,海南,4931,57,182,     举报             赞[0]         回复             2020-07-03 11:07:23 来自网页,0,2020-07-03 11:07
https://weibo.cn//cfsgaj,赤峰市公安局官方微博,男,内蒙古,24472,562,458086,6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！,1,2020-07-02 15:18
https://weibo.cn//u/2056670967,昌图公安,男,辽宁,33140,405,3425,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】,0,2020-07-02 14:39
https://weibo.cn//u/7118435037,CRAZYJ10,男,其他,295,162,139,最后一条谣言我笑了,0,2020-07-02 12:47
https://weibo.cn//u/5847613080,爱云南的天空,女,北京,49461,114,181,我都看到过。,0,2020-07-02 12:12
https://weibo.cn//u/5211225497,江南烟雨丿断桥怜,男,江苏,444,66,20,造谣一张嘴，辟谣跑断腿。 不信谣不传谣！,0,2020-07-02 10:51
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-07-02 10:40
https://weibo.cn//u/6375645127,用户名太难不重复,女,广东,4902,925,30,辟谣，理智,0,2020-07-02 10:24
https://weibo.cn//u/3292862041,秦人微语,男,甘肃,10112,239,746,防守是我们一贯作风，而忘记了反击。殊不知法制时代，疲于辟谣而不打击，丢失的不仅仅是法律的尊严，还有公信力。,0,2020-07-02 10:23
https://weibo.cn//u/6516336474,小樱的碎碎念,女,江苏,3460,79,11380, 6月十大网络谣言，转扩周知,0,2020-07-02 09:37
https://weibo.cn//u/7293551863,廖嘉胤,男,江西,535,189,13,那些造谣者就该集中起来让他们出科幻小说。个人认为造谣者不是敌特就是脑残。,0,2020-07-02 09:26
https://weibo.cn//u/5268651218,平安河东,男,天津,32952,199,316647,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】,0,2020-07-02 09:18
https://weibo.cn//u/2421100880,口红想圈住的一个吻,女,广东,1366,218,53,不信谣，不传谣，尤其重大社会新闻非权威部门发布要冷静思考，学会过滤。真相未明了前，不人云亦云，不推波助澜，对他人负责，对自己负责。,0,2020-07-02 09:17
https://weibo.cn//u/6442438720,幸运的努尔哈赤,男,其他,5,140,12,多蠢会信？,0,2020-07-02 09:16
https://weibo.cn//u/5251824554,薛之谦的怪咖小姐,女,北京,175,289,57,谣言真多,0,2020-07-02 09:12
https://weibo.cn//u/2218792451,来宾网警巡查执法,男,广西,15126,1825,114542, 转扩周知！,0,2020-07-02 09:12
https://weibo.cn//u/5780502212,静善若水139,女,广东,60279,1131,1336,     举报             赞[0]         回复             2020-07-02 09:12:08 来自网页,0,2020-07-02 09:12
https://weibo.cn//ahzazd,安徽治安在线,男,安徽,21808,649,163359,转扩周知！,1,2020-07-02 09:09
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,把造谣的抓起来 ，叫他们编部长篇小说,4,2020-07-02 09:07
https://weibo.cn//mengtaizhou,读网参考,男,浙江,27781,2983,6632,别信！都是网络谣言！,0,2020-07-02 09:06
https://weibo.cn//517320121,飕飕微博,男,江苏,12093,675,101564,嗐，你这顺序弄的,1,2020-07-02 09:03
