评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697, 举报 赞[0] 回复 2020-10-13 11:15:37 来自网页,0,2020-10-13 11:15
https://weibo.cn//u/2469915511,蒹葭苍苍乁,女,山东,714,304,7162,不信谣，不传谣！众志成城，共同阻击疫情！[加油][加油][加油],4,2020-10-12 22:39
https://weibo.cn//u/5192510181,国际庄市民刘女士,女,其他,697,587,168,那就别配这张图了,1,2020-10-12 23:05
https://weibo.cn//u/2686610463,善良的杜保成,男,辽宁,22,1237,373,回复@人形五花肉:,0,2020-10-13 19:42
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,     举报             赞[0]         回复             2020-10-13 11:15:37 来自网页,0,2020-10-13 11:15
https://weibo.cn//u/6328886814,人形五花肉,男,安徽,359,276,394,把这个造谣的沙雕抓起来,1,2020-10-13 06:27
https://weibo.cn//u/6085165904,余生只爱钱999,女,其他,8,27,6,哎呀，这造谣的就盼着事儿大,0,2020-10-13 05:37
https://weibo.cn//u/6363921217,结交正能量朋友7,男,广东,30981,1154,1350,回复@梁启学:,0,2020-10-12 23:28
https://weibo.cn//u/1962193461,迷失方向找自己,女,山东,6011,606,183,这是想吓死谁，不是才6确诊6无症状啊,0,2020-10-12 23:22
https://weibo.cn//u/5192510181,国际庄市民刘女士,女,其他,697,587,168,那就别配这张图了,1,2020-10-12 23:05
https://weibo.cn//u/5374913254,伟大的人都叫Michael,男,内蒙古,235,260,133,我一发小在青岛   加油吧   保重！,1,2020-10-12 23:04
https://weibo.cn//u/1357894255,梁启学,男,山东,88997,1817,16901,网络不是法外之地，对制造造谣者依法追责！,1,2020-10-12 22:59
https://weibo.cn//u/6171357937,新市区反邪,男,新疆,3201,180,986,【不信谣不传谣！,0,2020-10-12 22:54
https://weibo.cn//zachay,南京的货代是恒哥II,男,江苏,4442,199,218,图片评论 ,0,2020-10-12 22:52
https://weibo.cn//u/2930966251,雪-717音频,女,福建,583,476,2125,学校还发了通知     举报             赞[0]         回复             2020-10-12 22:46:54 来自网页,0,2020-10-12 22:46
https://weibo.cn//u/6535583087,微笑面对生活R,男,河南,1141,54,371,加油,0,2020-10-12 22:45
https://weibo.cn//u/6577666605,京沪杭商机网,男,北京,69271,1088,4464,转发微博,0,2020-10-12 22:45
https://weibo.cn//u/7308762503,红杉鱼,女,其他,1099,686,59,青岛加油,0,2020-10-12 22:40
https://weibo.cn//u/6125509814,还是九啊,男,山东,698,28,2027,青岛加油💪,0,2020-10-12 22:39
https://weibo.cn//u/2469915511,蒹葭苍苍乁,女,山东,714,304,7162,不信谣，不传谣！众志成城，共同阻击疫情！[加油][加油][加油],4,2020-10-12 22:39
