评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225164,2020年,0,2020-12-03 14:01
https://weibo.cn//u/2425416580,彦-页-,女,贵州,310,65,65,不传谣不信谣不造谣,1,2020-12-03 14:02
https://weibo.cn//u/5705932162,不咋喜欢玩,男,其他,28,22,14,其实吧这些东西有一部分是育种的功劳，还一部分是使用植物激素。在一定范围内是安全的，长期的话不好评估。,1,2020-12-03 13:12
https://weibo.cn//shunpingjiancha,顺平检察,男,河北,43266,623,1116,//,0,2020-12-04 10:41
https://weibo.cn//678442332,燚炎焱燚焱炎燚,男,新疆,523,61,35,那黄瓜抹避孕药那个了?,0,2020-12-04 00:58
https://weibo.cn//jx870213,我家有棵牵牛花,女,重庆,4481,243,440,转到家族群的话…会被老辈子批死。还是等他们把谣言发出来的时候再辟谣吧,0,2020-12-03 16:31
https://weibo.cn//u/3855184223,客官_您要的一份小哥,女,海外,435,223,141,咱也不知道那药有残留不，反正确实是药喂起来的,0,2020-12-03 15:40
https://weibo.cn//lsgafj,连山公安分局,男,辽宁,32151,559,10985,【2020年,0,2020-12-03 15:19
https://weibo.cn//shunpingjiancha,顺平检察,男,河北,43266,623,1116,//,0,2020-12-03 15:17
https://weibo.cn//u/6064418927,Raily·Stargazer,男,海外,128,281,106,我想不到这些造谣人的想法，唯一能让我想到的就是境外势力恶意剪辑这种视频来散布谣言。     举报             赞[0]         回复             2020-12-03 14:16:57 来自网页,0,2020-12-03 14:16
https://weibo.cn//u/2425416580,彦-页-,女,贵州,310,65,65,不传谣不信谣不造谣,1,2020-12-03 14:02
https://weibo.cn//fushunshiju,平安抚顺,男,辽宁,38475,2275,225164,2020年,0,2020-12-03 14:01
https://weibo.cn//u/6340390133,芒果同学的日常生活,男,山东,5,226,41,传播这些的好多都是有被害妄想症，仔细想想高中生物化学，有些肯定不能相信,0,2020-12-03 13:24
https://weibo.cn//u/5705932162,不咋喜欢玩,男,其他,28,22,14,其实吧这些东西有一部分是育种的功劳，还一部分是使用植物激素。在一定范围内是安全的，长期的话不好评估。,1,2020-12-03 13:12
https://weibo.cn//u/7284208820,桃之夭夭紫,女,山东,1869,107,60,     举报             赞[0]         回复             2020-12-03 13:11:13 来自网页,0,2020-12-03 13:11
https://weibo.cn//270552208,青鸟-飞花,女,广东,329,74,169,看来我孤陋寡闻了，一个都没有听说过,1,2020-12-03 13:03
