评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2171486607,勤哥仔在吃瓜,男,广东,1008,228,510,叙利亚高新招雇佣兵,12,2020-03-24 20:17
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,安哥的闢謠什麼時候是個頭?,6,2020-03-24 20:50
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,安哥辟谣,6,2020-03-24 20:17
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-04-03 11:38
https://weibo.cn//u/1618000223,长安西青,男,其他,2697,71,182,不信谣，不传谣//,0,2020-03-31 13:27
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,假的假的！谣言止于智者，切勿传谣信谣！,0,2020-03-27 15:54
https://weibo.cn//u/7203055333,宣城政法,男,安徽,8321,133,285,辟谣//,0,2020-03-27 08:51
https://weibo.cn//tunxizhengfa,屯溪政法,男,安徽,8486,106,317,//,0,2020-03-26 16:26
https://weibo.cn//u/7199005165,淮南政法,女,其他,10359,5,1459,凡事都要动动脑子//,0,2020-03-26 13:38
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-03-25 18:19:51 来自网页,0,2020-03-25 18:19
https://weibo.cn//tunxizhengfa,屯溪政法,男,安徽,8486,106,317,//,0,2020-03-25 15:09
https://weibo.cn//u/5473349005,安徽来安检察,男,安徽,10013,495,1927,//,0,2020-03-25 14:52
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,回复@KittHarris 的表态:谢谢你,0,2020-03-25 12:05
https://weibo.cn//u/5492734072,相山区政法委,女,安徽,41946,296,888,//,0,2020-03-25 11:19
https://weibo.cn//u/6432311474,内蒙古长安网,男,内蒙古,18634,291,14579,不信谣，不传谣，擦亮眼睛！,0,2020-03-25 11:16
https://weibo.cn//u/7079509653,仙桃政法,男,湖北,992,111,4242,造谣一张嘴，辟谣跑断腿,0,2020-03-25 10:49
https://weibo.cn//u/5643110899,南开检察,男,天津,2062,95,289,不要传谣言！//,0,2020-03-25 10:17
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,安哥辟谣 揭露真相[加油][加油],3,2020-03-25 09:58
