评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//gxzzqdwzfw,广西政法,男,广西,30065,1561,245001,不信谣不传谣,5,2020-03-28 16:18
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,别添乱！不信谣，不传谣！,2,2020-03-28 20:57
https://weibo.cn//sxzf,山西政法,男,山西,36878,278,23125,别添乱！不信谣，不传谣！,3,2020-03-28 16:56
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-04-03 11:23
https://weibo.cn//u/6607291087,麤龗灪龖厵54089,男,其他,9,95,3,干的漂亮,1,2020-04-02 12:21
https://weibo.cn//u/3730056012,定-不负韶华,女,北京,81,111,78,不晓得造谣的人为什么有那么多想象力,0,2020-04-01 03:33
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,不信谣，不传谣。,1,2020-03-31 16:38
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,别添乱！不信谣，不传谣！,0,2020-03-31 10:18
https://weibo.cn//u/5340834901,网信大厂,男,河北,1970,64,106,【杭州西湖区两个集中隔离人员出逃？警方：46岁女子捏造不实信息被行政拘留】,0,2020-03-30 10:46
https://weibo.cn//u/3219378917,婆老头,女,广东,242,138,58,扰乱民心，判到她彻底明白，造谣是有后果！,0,2020-03-29 19:08
https://weibo.cn//u/5486345189,紫燕女郎,女,新疆,524,325,67,特殊时期能别添乱吗？那么喜欢吸人眼球哗众取宠！,0,2020-03-29 18:52
https://weibo.cn//u/6083546445,勤恳打工人,男,浙江,75,40,17,瞎添乱，浪费警力,0,2020-03-29 12:29
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-03-29 08:59
https://weibo.cn//u/5699757106,方正检察,男,黑龙江,16462,1791,2462,转发微博,0,2020-03-29 07:00
https://weibo.cn//ymmyyl,是吴珉珉呀,女,北京,905,444,498,这是不是闲的？,0,2020-03-29 00:51
https://weibo.cn//getubaby,CrystalMethod,男,广东,1521,2289,863,妈的这个时候造谣，不是神经病就是轮子，要查她,1,2020-03-28 23:18
