评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//gxzzqdwzfw,广西政法,男,广西,30065,1561,245001,假的！,1,2020-03-31 22:00
https://weibo.cn//u/3103611963,一句话入你心,男,山东,23326,269,265565,造谣者可耻,4,2020-03-31 21:58
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,安哥晚安🌙⭐️😘💤😴好梦,3,2020-03-31 22:00
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-04-03 11:06
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,//,0,2020-04-01 18:14
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-04-01 18:00:11 来自网页,0,2020-04-01 18:00
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,不造谣，不传谣，不信谣,0,2020-04-01 16:12
https://weibo.cn//u/7284272489,越疯无闩,男,其他,290,84,32,人抓到了吗？,0,2020-04-01 13:15
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,     举报             赞[0]         回复             2020-04-01 11:35:31 来自网页,0,2020-04-01 11:35
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,官方信息最可靠！,2,2020-04-01 09:46
https://weibo.cn//u/5397279970,种花家的淘气猴,男,其他,268,535,176,不要仅仅光是辟谣，造谣者的受到惩罚。,0,2020-04-01 07:29
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,看安哥，信安哥就对了,0,2020-04-01 07:08
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,信安哥，不信谣,0,2020-04-01 00:15
https://weibo.cn//u/2981610895,石小军-小书法人,男,甘肃,50615,7864,48991, ,0,2020-03-31 23:42
https://weibo.cn//u/2136426445,胡歌我在这里呀,女,湖北,277,743,83,虽然是假的，但还是先别来武汉，来了就后悔,0,2020-03-31 23:38
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,我安哥又辟谣啦,1,2020-03-31 23:25
https://weibo.cn//u/7294599898,糖果豆豆YIBO,女,湖北,3221,361,139,造谣生事，信官方,0,2020-03-31 23:16
https://weibo.cn//u/6884023130,粥小姐姐姐姐,女,浙江,193,150,6,查出谁在造谣，真是，什么时候,0,2020-03-31 23:08
https://weibo.cn//u/6892712944,陇原政法,女,其他,19141,752,59687,不造谣，不传谣，不信谣,1,2020-03-31 23:07
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,只要有谣言，安哥就一定会来扑灭!,0,2020-03-31 23:02
https://weibo.cn//u/1736953804,云云初心cloud,女,广东,44119,167,237,天天造谣的人都应该抓起来，真是太坏了,0,2020-03-31 22:48
https://weibo.cn//u/5333856116,Noble丶猫猫,女,上海,1405,548,10736,造谣者可耻！不信谣，不造谣,0,2020-03-31 22:43
https://weibo.cn//327218080,BonsoirSir,女,其他,48,171,469,回复@大意的小屋:那要问百度地图了,0,2020-03-31 22:35
https://weibo.cn//327218080,BonsoirSir,女,其他,48,171,469,百度地图造谣的,1,2020-03-31 22:35
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,看安哥，不信谣传谣,1,2020-03-31 22:35
https://weibo.cn//u/3861464494,等待你49,男,其他,16651,159,589,转发，转发！！,0,2020-03-31 22:26
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,假的啦，不要信,1,2020-03-31 22:22
https://weibo.cn//u/6502753724,大意的小屋,女,其他,93585,11420,546,搞不懂造谣者到底图什么？？,0,2020-03-31 22:22
https://weibo.cn//gzcaw,贵州长安网,男,贵州,28428,378,77281,不信谣不传谣不造谣！,0,2020-03-31 22:15
https://weibo.cn//u/5581928263,书虫一M,男,甘肃,32060,1146,1947,转发微博,0,2020-03-31 22:13
https://weibo.cn//u/5886370520,萌始就学,男,其他,2766,544,116,为啥会有这种谣言？,0,2020-03-31 22:10
https://weibo.cn//u/6021462278,皇甫鐡蛋,男,其他,587,97,845,不信不传,0,2020-03-31 22:06
https://weibo.cn//u/7360191399,红泥小火炉与茶,女,广东,11605,649,438,信息透明及时，是阻断谣言的最好办法。,0,2020-03-31 22:06
https://weibo.cn//u/2645820887,小星辰2050,女,河北,1291,283,334,现在最可恨的就是谣言。张口就来，胡编乱造。,1,2020-03-31 22:03
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81798,406,64175, ,0,2020-03-31 22:01
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,安哥晚安🌙⭐️😘💤😴好梦,3,2020-03-31 22:00
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,信安哥就对了,2,2020-03-31 22:00
https://weibo.cn//gxzzqdwzfw,广西政法,男,广西,30065,1561,245001,假的！,1,2020-03-31 22:00
https://weibo.cn//u/3103611963,一句话入你心,男,山东,23326,269,265565,造谣者可耻,4,2020-03-31 21:58
