评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1730000331,今天非常生气呢,女,上海,549,175,95,监狱也可以有文化生活，之前看宣传女子监狱经常搞走秀也挺好的。就是这些故意找争议人物看图编故事的人到底是何居心？,82,2020-01-02 23:43
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,安哥又忙辟谣了，,31,2020-01-02 23:44
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,不謠傳……晚安安哥,14,2020-01-03 00:03
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云岭政法:,0,2020-01-31 16:34
https://weibo.cn//qjzfw,平安曲靖,女,其他,28382,187,29328,回复@云岭政法:不造谣，不传谣！,0,2020-01-15 11:32
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云岭政法:,0,2020-01-08 16:08
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:,0,2020-01-07 10:30
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757,//,0,2020-01-06 10:01
https://weibo.cn//u/5155153608,阿拉善检察,女,内蒙古,2649,88,2149,@阿拉善政法,0,2020-01-06 10:01
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,回复@风吹那蓝sunshine:造谣传谣都有惩戒，就会慢慢消停,0,2020-01-04 07:14
https://weibo.cn//u/5992435162,敦仔的美味棒,女,江苏,1971,39,84,回复@yyangxxi:这和公信力没太大关系，人的一大兴趣就是吃瓜，并且不怕吃坏肚子,0,2020-01-03 19:33
https://weibo.cn//u/5236154816,额济纳检察,男,内蒙古,2243,60,176,@阿拉善政法,0,2020-01-03 17:54
https://weibo.cn//u/1899598897,童真隐患,男,北京,333,769,765,组一下多好，磨一下心性，出来还等着他为社会做贡献呢,0,2020-01-03 17:29
https://weibo.cn//u/6530167031,锡林郭勒政法,男,内蒙古,595,226,20434,【李天一监狱组乐队系造谣，法治中国岂容谣言横飞？】 ,0,2020-01-03 16:51
https://weibo.cn//gzsfqjy,贵州省福泉监狱,男,贵州,29436,695,6156,【李天一监狱组乐队系造谣，法治中国岂容谣言横飞？】,0,2020-01-03 16:26
https://weibo.cn//u/6892712944,陇原政法,女,其他,19149,753,59687,谣言满天飞，法律制裁等您来,0,2020-01-03 16:21
https://weibo.cn//u/6183813333,西藏政法,男,西藏,11240,211,13694,不造谣不传谣,0,2020-01-03 16:18
https://weibo.cn//u/7362201158,潮南政法,女,其他,491,16,24,辟谣//@汕头政法: 注意啦，辟谣了#汕头政在说#     举报             赞[0]         回复             2020-01-03 16:13:49 来自网页,0,2020-01-03 16:13
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-01-03 16:03:29 来自网页,0,2020-01-03 16:03
https://weibo.cn//u/3746607642,杜尔伯特县法院,男,黑龙江,76187,750,12436,每一个有罪之人，都将受到法律公正的裁决和应有的惩罚，法治中国前进的道路上，不允许无良的造谣传谣，炮制谣言者必然躲不过法律的制裁！,0,2020-01-03 15:45
