评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,不传谣，不信谣！嗯...科技谣言吖，智商不够无法判断？问问安哥呀！,10,2020-01-03 09:00
https://weibo.cn//amethystjoey,紫晶家的兔子叫Wawa,女,广东,2975,486,999,謝謝安哥的辟謠！安哥早安~,6,2020-01-03 08:54
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,安哥辟谣辛苦了！安哥，早安,3,2020-01-03 08:58
https://weibo.cn//u/6502943588,Bluecolorsea0161,女,其他,2,67,1,不传谣，不信谣。,0,2020-02-03 17:13
https://weibo.cn//27341293,平安南开,男,天津,6964,98,694498,这个必须科普一下！//,0,2020-01-17 11:08
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:不信谣，不传谣,0,2020-01-13 11:03
https://weibo.cn//hrbjcy,哈尔滨检察,男,黑龙江,28598,2076,10335,//,0,2020-01-10 09:16
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云岭政法:,0,2020-01-08 15:44
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757,//,0,2020-01-06 10:06
https://weibo.cn//u/7293034745,玩具车车53770,女,山西,1,20,2,中国警界混得风声水起的大长江集团王大威，旗下夸客金融因“非吸”被立案，涉案64亿，而实控人王大威之女王瑶，即港媒报导的“已婚浪女”至今逍遥法外。王瑶设假标将出借人六个亿转移至大长江，诈骗证据受害人多次递交办案部门，均石沉大海，只因大长江集团为上海警方指定供应商？！,1,2020-01-05 21:07
https://weibo.cn//u/1920959805,替饱饱捡包袱的_大木木,女,天津,24843,712,1135,这造谣,1,2020-01-05 16:34
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,谣言止于智者！,1,2020-01-05 16:32
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39480,343,58380,辟谣来了,1,2020-01-05 14:02
https://weibo.cn//u/2055891895,K-ill-joy,女,上海,8797,237,164, 挂港独,1,2020-01-05 12:01
https://weibo.cn//u/7299944892,夸客骗子多,女,河北,27,50,6, 据了解，太原夸客骗子，我的客户经理从来不参加催收，还是个团队经理，早就伙同夸客其他人员去了一家所谓的海外留学公司，大家要小心了，这些骗子没有被绳之以法，所以他们又要出动了。 ,2,2020-01-05 09:23
https://weibo.cn//shzfzz,上海长安网,女,上海,25188,349,127113,这些谣言还是别信了！,1,2020-01-04 22:41
https://weibo.cn//u/5581928263,书虫一M,男,甘肃,32060,1146,1947,转发微博,1,2020-01-04 14:43
https://weibo.cn//u/6155344804,河北长安网,男,河北,24958,215,38584,不能再信的谣言！,1,2020-01-04 14:26
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,造谣者真是可恶！误导他人,2,2020-01-04 13:39
https://weibo.cn//u/7005913021,小K蟹蟹,女,海外,6019,259,75,祖国反黑站,1,2020-01-04 12:13
https://weibo.cn//u/7312903936,神龟山石,男,重庆,4,149,55,     举报             赞[1]         回复             2020-01-04 12:02:31 来自网页,1,2020-01-04 12:02
https://weibo.cn//wwsgaj,武威公安,男,甘肃,49086,320,93784,【都2020年了，这些谣言还是别信了！】盘点,1,2020-01-04 10:31
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81806,406,64175,转发微博,0,2020-01-04 10:16
https://weibo.cn//u/1662684240,监利检察官法官联手玩法,男,湖北,3452,215,102,@湖北省人民检察院,1,2020-01-04 09:14
https://weibo.cn//u/1748296173,英雄嘉乐,男,广东,191616,464,558,转发微博,1,2020-01-03 23:21
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,辟谣了！,1,2020-01-03 22:45
https://weibo.cn//u/1312198390,爱神双鱼,女,海南,785,254,98,直接把那些造谣生事的营销号封了，不是网上账号，是身份限制。,1,2020-01-03 22:25
https://weibo.cn//u/5857783438,匆匆那年河边散步,男,贵州,612,24,121,提升科学意识，维护网络秩序，不信谣，不传谣。,1,2020-01-03 21:44
https://weibo.cn//u/5622548826,小狼狗川,男,其他,83,587,443,闪光灯都会对文物造成伤害，而通信辐射对人没有危害,1,2020-01-03 20:12
https://weibo.cn//u/1860821121,我是蛋姐呀,女,其他,729,929,430,感谢安哥辟谣,1,2020-01-03 18:05
https://weibo.cn//u/3912076973,陕西高院,男,陕西,28288,479,660046,【都2020年了，这些谣言还是别信了！】//,1,2020-01-03 17:23
