评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1618000223,长安西青,男,其他,2697,71,182,相信官方,0,2020-02-04 10:56
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,不恐慌，不造谣，不传谣！,0,2020-01-31 12:06
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81806,406,64175,转发微博,0,2020-01-23 17:25
https://weibo.cn//u/1618000223,长安西青,男,其他,2697,71,182,相信官方,0,2020-02-04 10:56
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云岭政法:,0,2020-01-31 21:51
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云岭政法:,0,2020-01-31 14:27
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,不恐慌，不造谣，不传谣！,0,2020-01-31 12:06
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:,0,2020-01-30 22:48
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81806,406,64175,转发微博,0,2020-01-23 17:25
https://weibo.cn//u/5643110899,南开检察,男,天津,2062,95,290,不传谣，不造谣//,0,2020-01-23 14:27
https://weibo.cn//u/3066298511,cfy芝幻,女,广东,34950,290,440,嗯！相信国家//,0,2020-01-23 08:52
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云岭政法:,0,2020-01-22 23:06
https://weibo.cn//u/3174073002,笑看风云_小米,男,江苏,13611,4964,3345,转发微博,0,2020-01-22 22:55
https://weibo.cn//u/6078006739,种花家的家家448,女,甘肃,664,519,154,不造谣 不信谣,2,2020-01-22 22:25
https://weibo.cn//u/5289193294,中原豪歌,男,河南,20135,2215,3713, ,0,2020-01-22 21:56
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24842,186,4877,回复@云岭政法:不造谣，不传谣！,0,2020-01-22 21:25
https://weibo.cn//u/6385754865,怒江政法,男,云南,21462,76,4316,//@云岭政法: #协和医院辟谣武汉肺炎患者出逃#，不恐慌，不造谣，不传谣！     举报             赞[0]         回复             2020-01-22 20:51:41 来自网页,0,2020-01-22 20:51
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,#协和医院辟谣武汉肺炎患者出逃#，不恐慌，不造谣，不传谣！     举报             赞[0]         回复             2020-01-22 19:44:06 来自网页,0,2020-01-22 19:44
https://weibo.cn//u/6751459758,小星8890,男,湖南,153,303,181, 请问南昌市政法委书记刘家富如何当上政协主席的，在位期间有没有违法乱纪，请中央纪委调查一下?,0,2020-01-22 19:00
https://weibo.cn//u/6202677943,悠然戏水2017,女,天津,272,91,557,这时候添乱，应该封杀造谣者，整顿传谣平台,0,2020-01-22 17:28
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云岭政法:,0,2020-01-22 17:26
