评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,不信谣，不传谣！武汉防控一线的坚守者们，加油！,32,2020-01-22 13:29
https://weibo.cn//u/3230907324,灵maning,男,其他,111,223,7234,这时候造谣，其心可诛，捉到了请严惩,46,2020-01-22 13:25
https://weibo.cn//u/6628575605,GGG俊y,女,北京,1228,97,1030,不恐慌 不造谣 不传谣！！,0,2020-01-23 17:56
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81806,406,64175,转发微博,0,2020-01-23 17:25
https://weibo.cn//u/5533462945,且行且珍惜--2020,女,四川,8521,131,507,这个传谣太可恶了,1,2020-01-22 20:43
https://weibo.cn//huitailangme,一个普通的社会青年,男,黑龙江,32,44,229,这是谁散播出去的，点名道心有鼻子有眼的，是何居心！,2,2020-01-22 19:46
https://weibo.cn//u/5824754054,凌初辰,女,重庆,62,36,19,武汉挺住啊，加油💪,1,2020-01-22 19:44
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,不恐慌，不造谣，不传谣！,0,2020-01-22 19:43
https://weibo.cn//u/1651772952,超级大厨1,男,山东,82,186,221,回复@灵maning:特别是很多媒体也造谣，不应该道个歉就算了，媒体有发声的权力，但是必须为自己的言论负责任才行。,0,2020-01-22 19:04
https://weibo.cn//u/1783976173,换个名字试试手气,男,浙江,271,68,176,在这种大灾面前造谣的应该严惩！,1,2020-01-22 18:43
https://weibo.cn//u/1706616081,王武斌1973,男,黑龙江,2620,166,212,网特应该没闲着，只是不知这次主要是西方的还是近东的,1,2020-01-22 18:39
https://weibo.cn//u/5857783438,匆匆那年河边散步,男,贵州,612,24,121,这些造谣生事者是什么动机？什么目的？,1,2020-01-22 18:09
https://weibo.cn//u/7200671536,华盟人甲,男,其他,25,37,3,个人觉得某些谣言说不定就是真实的事，个人对谣言不评价。 还是那句话上网看待各种新闻和谣言请用辩证唯物主义仔细分析其是真还是假。,0,2020-01-22 17:43
https://weibo.cn//u/2129588905,渝北检察,男,重庆,46086,510,20473,【,0,2020-01-22 17:09
https://weibo.cn//u/3230907324,灵maning,男,其他,111,223,7234,回复@超级大厨1:对的，违法成本太低，让这些人肆无忌惮，张口就来,0,2020-01-22 16:28
https://weibo.cn//u/1651772952,超级大厨1,男,山东,82,186,221,回复@灵maning:造谣的惩处力度太弱了,1,2020-01-22 16:27
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,不恐慌，不造谣，不传谣！,1,2020-01-22 16:15
https://weibo.cn//zzww200434,weiwei200434,男,上海,70059,4019,1098,寻衅滋事,3,2020-01-22 15:43
https://weibo.cn//u/6793833938,懒懒地Trange,男,其他,552,130,342,回复@净-师傅给起的:百度app里造谣的一抓一大把,0,2020-01-22 15:28
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-01-22 15:22
https://weibo.cn//u/2093037805,卢伟冰氺,男,西藏,0,202,95,不抓造谣者吗？,1,2020-01-22 15:12
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,不信谣不传谣!相信政府，相信医护人员!,1,2020-01-22 15:12
https://weibo.cn//u/2127516075,emileyoohoo,女,其他,6301,1088,344,是什么人的嘴啊！怎么就非得把这口锅扣刘主任头上,4,2020-01-22 15:08
https://weibo.cn//u/1733329654,思念小A成疯,女,北京,20232,167,813,这种时候借机造谣的应该严惩一下，坏的很,1,2020-01-22 14:49
https://weibo.cn//u/6092082113,汕头政法,男,广东,15362,600,11462,不信谣不传谣,1,2020-01-22 14:47
https://weibo.cn//136766637,张爱武律师,男,广东,11075,846,5818,这种时候造谣就是犯罪！//,1,2020-01-22 14:47
https://weibo.cn//u/2448118700,侍奉凡人,男,其他,17,289,66,中国网警严查谣言来源，依法抓捕，网上不是假消息的制造自由地,0,2020-01-22 14:47
https://weibo.cn//shzfzz,上海长安网,女,上海,25188,349,127113,不传谣不信谣！,2,2020-01-22 14:46
https://weibo.cn//MBT3000,96下山啦,男,广西,164,121,393,就应该把那些造谣的抓起来，在此非常时期，造谣生事的，不是蠢，就是坏,0,2020-01-22 14:40
https://weibo.cn//sxzf,山西政法,男,山西,36886,278,23125,不恐慌，不造谣，不传谣！,2,2020-01-22 14:38
https://weibo.cn//u/5384801243,徽州反邪教,男,安徽,90769,993,3952,严惩拿坚守者造谣之人！！！,0,2020-01-22 14:38
https://weibo.cn//u/1640821564,放轻松更快乐,男,北京,754,178,214,谣言止于智者，不信谣不传谣！,0,2020-01-22 14:36
https://weibo.cn//u/5229512546,半池荷叶S,男,新疆,373,171,158,我只想知道造谣的抓起来没有,1,2020-01-22 14:29
https://weibo.cn//u/1433016781,梦想若近若远,男,河北,2484,306,16101,勿拿坚守者造谣,1,2020-01-22 14:29
https://weibo.cn//hnlymly,玲珑山谷,女,河南,1307,825,83,这时候造谣太缺德！,0,2020-01-22 14:16
https://weibo.cn//u/1873627473,悠唐夏日,女,北京,783,335,225,这个时候造谣，增加大家的恐慌，其心可诛,2,2020-01-22 14:16
https://weibo.cn//u/1785490420,请tian写,男,广东,98,90,248,这种时候造谣的人真该死,0,2020-01-22 14:13
https://weibo.cn//u/1792833912,吉庆街小蠊,女,湖北,7224,543,450,造谣的真是可恶,2,2020-01-22 14:08
https://weibo.cn//u/2729016070,根红苗正自幹伍,男,北京,1052,269,118,一篇辟谣文竟暴露武汉肺炎发现时间，十二月底市卫健委就已经介入，那首例应该在月初，而得到广泛认识和重视竟然是一月中旬，这责任不可推卸吧！,0,2020-01-22 14:04
https://weibo.cn//u/1017985247,刘____海,男,新疆,1347,317,106,务必严惩造谣者！,0,2020-01-22 14:04
https://weibo.cn//u/2726709337,光很慈悲,女,其他,14602,1618,1097,只想问一句，为什么不对豆瓣那个造谣丶传谣垃圾平台不管制不取谛封杀掉？？？任由这个平台存在，长年散布造谣挑事信息？？？！,3,2020-01-22 14:03
https://weibo.cn//u/5758732305,清新淡雅15918,女,浙江,348,122,19,不信谣不谣传，武汉加油,0,2020-01-22 14:02
https://weibo.cn//u/1895899111,浦美希,女,其他,98,461,69,这个时候一定要相信政府，相信官方的信息。不造谣，不传谣，相信国家的科技人员和医务人员，一定会有办法解决疫情。,1,2020-01-22 14:01
https://weibo.cn//u/2183906243,麦兜有点二,男,其他,4105,726,785,消费医护一线人员严惩！！！,0,2020-01-22 14:01
