评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6836849824,是小小怪哇,女,其他,2,83,5,武汉加油！,0,2020-01-25 23:13
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,//,0,2020-01-25 16:52
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,加油！//,0,2020-01-25 14:51
https://weibo.cn//u/6836849824,是小小怪哇,女,其他,2,83,5,武汉加油！,0,2020-01-25 23:13
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,//,0,2020-01-25 16:52
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,加油！//,0,2020-01-25 14:51
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81805,406,64175,//,0,2020-01-25 13:57
https://weibo.cn//u/1338026591,双份番茄炒蛋,女,上海,14411,214,92,//,0,2020-01-25 10:59
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,在这种非常时期，我们一定要保持清醒、冷静的头脑，辨别是非，相信国家，相信那些战斗在一线的人!,1,2020-01-25 10:24
https://weibo.cn//u/5174949174,我不吃肘子,女,江苏,1394,109,91,这种时候为什么还有人造谣！,0,2020-01-25 09:33
https://weibo.cn//u/2731572145,小艾2000同学,男,山东,860,511,636,辛苦了，白衣天使们,0,2020-01-25 09:25
https://weibo.cn//u/1273908154,妞LZ伪团座,女,浙江,5138,1554,236,致敬逆行者,0,2020-01-25 08:43
https://weibo.cn//u/1794909120,月亮无语的小屋,女,四川,1007,610,141,到底缺不缺物资？昨天网上公布的武钢医院电话，打过去医生说是很缺，为什么没有官媒正式回应？我们愿意出钱出力支持！事情都这一步了，不想谴责谁，只想说公布事实，让更多的人能知道！,0,2020-01-25 08:16
https://weibo.cn//u/2082001913,晓奖安妮1,女,其他,28087,1888,1735,谢谢白衣英雄们，一起加油！,0,2020-01-25 07:04
https://weibo.cn//u/7314903868,艾米莉de鼬鼠,女,广东,2207,63,24,回复@渣浪今天倒闭了吗20110:劝你看开一点……严控言论又会激发一些人负面情绪和有心人进一步搞事……现在微博微信各种转发小道是人性使然，没网年代他们也会这样传来传去发泄焦虑情绪,0,2020-01-25 06:08
https://weibo.cn//u/7218947226,林离是梨,女,其他,80,264,212,希望不要有这么多谣言，免得引起群众恐慌,1,2020-01-25 04:47
https://weibo.cn//cindy1001,我是辛迪张,女,上海,4482,1510,1079,平平安安,0,2020-01-25 04:35
https://weibo.cn//u/2887946650,Cure丶sK,男,陕西,602,126,42,不传谣不信谣,0,2020-01-25 03:33
https://weibo.cn//u/7364762574,渣浪今天倒闭了吗20110,女,其他,48,282,14,回复@渣浪今天倒闭了吗20110:恳求 提交更高层，谣言比瘟疫更可怕。现在更需要众志成城，朋友圈已经谣言满天飞了。公众号也也一堆人血馒头文。,0,2020-01-25 03:20
https://weibo.cn//u/7364762574,渣浪今天倒闭了吗20110,女,其他,48,282,14,安叔，目前感觉，舆论已经完全乱套，各种谣言满天飞，无疑加剧了公众的恐慌情绪，现在必须发挥专家的权威作用，安抚公众情绪，给公众正确的指引，同时微博微信必须加大对谣言的管控，阻止错误信息和谣言的传播，防止负面情绪进一步扩散。,0,2020-01-25 03:19
https://weibo.cn//u/2811727877,海洋浪花飞,女,其他,398,704,57,加油💪祝平安,0,2020-01-25 02:54
https://weibo.cn//u/1878739821,By-the-way-UFO你某时降临地球阿,女,湖北,3482,749,440,这是武汉最好医院之一。。安哥看看这位医生的微博。。 评论配图     举报             赞[3]         回复             2020-01-25 02:15:37 来自网页,3,2020-01-25 02:15
https://weibo.cn//u/6596123747,青鸟2201807,男,浙江,57,300,141,我姐姐河南人，因为肠肿瘤去武汉同济医院做手术已经20多天，医院批准23号出院，正好赶上封城，现一家子被困医院。现姐姐术后需要营养但在医院又跟不上，手术已经花费巨额金钱，现在在里面继续交着住院费且不知要封到何时，负债的家庭更是雪上加霜，请问武汉政府这个谁来负责？,0,2020-01-25 01:57
https://weibo.cn//u/2491986157,只饮半壶小食神,女,其他,1291,158,79,造谣造成恐慌的都关起来，法律对这种人就该狠,0,2020-01-25 01:54
https://weibo.cn//tzzays,坦洲钟爱一生婚纱摄影,男,广东,916,2435,921,医护人员辛苦了，致敬,0,2020-01-25 01:52
https://weibo.cn//u/1878739821,By-the-way-UFO你某时降临地球阿,女,湖北,3482,749,440,武汉各大医院物资匮乏,1,2020-01-25 01:51
https://weibo.cn//u/2672655603,小眼觑天下,男,天津,9948,308,519,向白衣天使致敬,0,2020-01-25 01:51
https://weibo.cn//u/7276159963,P小黑与Y大白,女,上海,1233,709,123,武汉很多医院物资严重缺乏，中央知道吗？一线医务人员都奔溃了，很多支持不到位，武汉政府不知道在干嘛？请你们能将真实的一线情况转给中央吗？真实情况比公布的要严重许多！,0,2020-01-25 01:44
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,加油武汉！,3,2020-01-25 01:41
https://weibo.cn//u/1705367815,2021年第一次改昵称,女,其他,122,247,146,与其传播恐惧，给自己和他们徒增烦恼，不如冷静下来，做好点点滴滴的防护，增强自身的免疫力，以轻松但认真的心情打赢这场仗！我湖北人，也是女生，但是真的很烦遇事就慌慌张张的女孩子，希望大家都振作一些，慌张解决不了任何问题，不管你信不信ZF，最重要的还是靠你自己，做好防护，不添乱！,0,2020-01-25 01:39
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,回复@中国长安网:我在給自己，給全中國人打氣,1,2020-01-25 01:36
https://weibo.cn//u/6072667835,少年先疯队唯一队员,男,甘肃,21,169,56,那么，造谣的那些人就这么溜了？不可以追究责任的么？,0,2020-01-25 01:36
https://weibo.cn//u/5601784498,朱富贞,男,云南,14662,1037,489,致敬,0,2020-01-25 01:35
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791842,回复@荒蕪HK小五:小五你怎么还不睡呀,1,2020-01-25 01:35
https://weibo.cn//u/2238220683,ZAIA雅勤,女,北京,2217,934,278,加油,2,2020-01-25 01:35
https://weibo.cn//u/3671837977,沃錀Warren,男,北京,605,38,113,如果那些资本家都得病了，世界会更好吗,0,2020-01-25 01:35
https://weibo.cn//u/6656149915,得德滴,女,广西,945,269,35,能采购到物资很赞，采购不到又想帮忙，直接转至武汉市慈善总会,1,2020-01-25 01:33
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,我们都是战士，加油，我们不退！,9,2020-01-25 01:32
https://weibo.cn//u/2176984610,a-sober-marmot,女,北京,2201,126,99,这种时候造谣的简直就是丧心病狂！,9,2020-01-25 01:32
https://weibo.cn//celiacm,CmiumiuC,女,北京,1487,948,424,身为社区工作者，全员停休，加强宣传，入户排查，小区入口值守，出入人员登记，测体温[加油]我们也会努力守护辖区内的居民安全。,1,2020-01-25 01:32
https://weibo.cn//u/6584812552,张cy15,女,陕西,18,77,17,这也信，那那些视频都是演员,0,2020-01-25 01:31
