评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//HelenLeeShanghai,一路向北笑北北,女,北京,1456,281,147,越是谣言满天飞，越是要保持清醒,73,2020-01-25 14:23
https://weibo.cn//u/1946195571,U_Liu,男,湖北,1701,544,211,要把这个配音的、制作视频的抓起来，起诉,82,2020-01-25 14:23
https://weibo.cn//u/6498382505,我哦哦酷,男,四川,938,130,1438,对于造谣者，必须严惩!,58,2020-01-25 14:24
https://weibo.cn//u/7288748098,隐暗夜25215,男,其他,23,57,8,回复@加加123家家:这个肯定不会，10万的话武汉就没了,0,2020-02-12 00:55
https://weibo.cn//u/7288748098,隐暗夜25215,男,其他,23,57,8,回复@maxleog:是的，我们不能随意听信网络消息，要相信政府，尽量少出门。,0,2020-02-12 00:55
https://weibo.cn//u/3825207382,喜欢好吃滴,女,其他,630,911,243,谣言太多了，还在一开始就没信，这种造谣真的可恶,0,2020-02-01 09:27
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云岭政法:,0,2020-01-31 23:16
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:造谣生事，其心可诛！转发辟谣！,0,2020-01-30 23:16
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云岭政法:,0,2020-01-30 19:04
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云岭政法:,0,2020-01-29 21:57
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-01-28 11:29
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云岭政法:,0,2020-01-27 16:07
https://weibo.cn//u/1727126733,Aviva瀦,女,福建,800,78,147,回复@Tcmine:最主要是刚封城头两天都很慌乱，然后各方的物资都没到齐，加上疫情严重，大家都很害怕，才让这种谣言有了可乘之机,0,2020-01-27 01:53
https://weibo.cn//chensheng1221,Cc熊驾白龍,女,湖北,4472,280,971,说真的这个视频真的吓的我们不行,0,2020-01-27 01:44
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云岭政法:,0,2020-01-26 11:16
https://weibo.cn//u/1773009370,Tcmine,女,海外,3191,607,360,回复@就算是一道微光吧:造谣可耻。但是为什么群众宁愿相信键盘侠造谣，也不相信政府。难道是因为政府做的太好吗？如果真的做的很好，又怎么会怕被黑呢？真的该好好反思，有差距不怕，怕的是盲目自大。,0,2020-01-26 09:18
https://weibo.cn//u/2887378682,是Annnngie,女,海外,288,437,156, 看这里baby,0,2020-01-26 06:50
https://weibo.cn//u/7098768918,鹰击长空1975,男,广东,1935,50,124,国家在非常时期处理谣言的辟谣工作时效有待提高！！！每过1小时，谣言传播范围及速度将以几何级数般增长，所以要尽早将谣言扼杀在摇篮中！！,0,2020-01-26 06:44
https://weibo.cn//u/6124510113,asshhhh,男,上海,4,180,14,抓起来ba,0,2020-01-26 03:32
https://weibo.cn//u/7159077383,就算是一道微光吧,女,山东,73,56,3,回复@Tcmine:政府做的再好，也依然会有反中的键盘侠。我们欢迎真实的言论，而不是造谣生事。在现在的形势下，造谣者其心可诛,1,2020-01-25 23:59
https://weibo.cn//u/7159077383,就算是一道微光吧,女,山东,73,56,3,严惩,0,2020-01-25 23:55
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,转发微博,0,2020-01-25 23:37
https://weibo.cn//u/2611595384,丽游记,女,四川,741,258,40,回复@M梦-露M:去看曾光的采访，国家疾控中心首席专家！,2,2020-01-25 23:36
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,不造谣，不传谣，不信谣！,0,2020-01-25 22:54
https://weibo.cn//u/6408335551,开心小炸,男,上海,2069,801,541,回复@丽游记:你说的话就可信?依据呢？哪里来的?,0,2020-01-25 22:53
https://weibo.cn//u/2611595384,丽游记,女,四川,741,258,40,回复@M梦-露M:你这个图片又是哪里搞到的呢，真实性为多少，能不能够证实，要我们凭这份没头没尾的信，就相信！那我宁愿相信国家专家组的采访！,0,2020-01-25 22:42
https://weibo.cn//u/1773009370,Tcmine,女,海外,3191,607,360,但凡政府可信度高一些，也不至于有这么多造谣被传！！！！相信政府的可防可控，有限人传人，温和…结果呢？？？,2,2020-01-25 22:41
https://weibo.cn//u/5581928263,书虫一M,男,甘肃,32060,1146,1947,转发微博,0,2020-01-25 22:33
https://weibo.cn//u/5617139555,江嶼洲,女,重庆,1287,28,37,安哥，这个魔女好像受对岸百年烂党资助的。具体金灿荣先生有发图文，B站有，可查。就是，对岸那个刚输掉选举的烂党，旗下有个锦什么团的组织，短时间内给这个魔女账号大量关注，累计粉丝，再帮忙转发什么的。估计就是他们网军吧。魔女本人一再拒绝微博实名认证，本身很说明问题了。,0,2020-01-25 22:03
https://weibo.cn//u/6408335551,开心小炸,男,上海,2069,801,541,回复@丽游记:你也是造谣的，我已经对你截图了!居然敢在安哥博下造谣!,0,2020-01-25 21:36
https://weibo.cn//u/6408335551,开心小炸,男,上海,2069,801,541,回复@丽游记:你要对你的话负责!人家医生已经举报武汉卫健委了，你确定你说的都是真话? 评论配图,0,2020-01-25 21:35
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云岭政法:,0,2020-01-25 21:32
https://weibo.cn//u/2611595384,丽游记,女,四川,741,258,40,回复@M梦-露M:早期看，确实不严重，这也是专家组和临床医生认可的，病毒会变异，后来才变严重的，政府也要听取专家组意见！,1,2020-01-25 21:09
https://weibo.cn//u/7288748098,隐暗夜25215,男,其他,23,57,8,回复@加加123家家:10万不太可能，算上疑似的1万 说不准，哈哈哈哈哈哈哈哈，毕竟5万平方米的临时医院，全国筹媛200万套防护设施，支援武汉近几千人。。,0,2020-01-25 21:05
https://weibo.cn//u/3773820222,吵吵嚷嚷-,女,四川,925,530,80,这种人太坏了,0,2020-01-25 20:10
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,不造谣，不传谣，不信谣！,0,2020-01-25 20:06
https://weibo.cn//u/5590515248,天下无敌威武大将军,男,其他,653,50,23,抓起来，直接枪毙,0,2020-01-25 19:37
https://weibo.cn//u/5574530562,是panpan大艺呀,女,山东,110,251,117,希望像长安网这样官方的微博号多发一下这样的辟谣消息，疫情面前，好多人都不了解，不愿意了解，非要相信谣言，谣言传来传去，人心惶惶。,0,2020-01-25 19:23
https://weibo.cn//u/5857783438,匆匆那年河边散步,男,贵州,612,24,121,抓起来，问问他什么用心？,0,2020-01-25 19:10
https://weibo.cn//u/2332821982,陈不世美,女,北京,7185,229,331,严惩造谣者,0,2020-01-25 19:04
https://weibo.cn//u/2205721765,maxleog,男,广东,2888,1023,340,回复@一路向北小北北:能收集最近一些造谣的信息，和辟谣信息对比。然后再用视频，普通人爱看能看的进去的方式，让大家警惕谣言。因为有些人看不进去文字。真觉得要提高人们的警惕心。,0,2020-01-25 18:44
https://weibo.cn//u/2706440901,醒着做梦爱友友,女,其他,4540,753,3164,这个时候造谣生事的，真的可恶！,0,2020-01-25 18:07
https://weibo.cn//u/5533462945,且行且珍惜--2020,女,四川,8521,131,507,这个时候更要冷静判断各种信息。不造谣不传谣,0,2020-01-25 18:05
