评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3595179957,第185878号,男,四川,5312,327,92,管你这么说  我就是不捐你红十字会,268,2020-01-27 16:52
https://weibo.cn//u/6345028642,云南政法,男,云南,39192,828,37041,不信谣，不传谣！,10,2020-01-27 18:39
https://weibo.cn//u/1952659671,卫须,女,湖北,1068,599,98,拿出证据吧，明细之类的。对公权力监督应当严格,51,2020-01-27 16:48
https://weibo.cn//u/7321001872,名字86299,男,其他,0,5,1,hahaha,0,2020-02-03 23:58
https://weibo.cn//u/1618000223,长安西青,男,其他,2697,71,182,只听官方,0,2020-02-03 15:53
https://weibo.cn//u/5980512208,一曲忘羡不散一战,女,其他,812,198,24,公布清单，以证清白，你们敢吗？,0,2020-02-03 14:32
https://weibo.cn//u/6039173569,河流31697,男,其他,158,97,12,这才几天，就反转了,0,2020-02-03 13:44
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:#武汉市红十字会不存在收取服务费问题#不信谣，不传谣！,0,2020-02-02 11:18
https://weibo.cn//u/5394575276,月亮邮递员·,男,吉林,297,37,262,免费给你捐菜 你给卖了？,0,2020-02-02 08:06
https://weibo.cn//u/7192529388,獒奇哈,女,广东,204,708,7,你说是什么就是什么咯,2,2020-02-02 04:01
https://weibo.cn//u/6573593132,regainconfidence60194,女,其他,0,5,3,回复@白鹤710509:呦，键盘操控侠？我是没捐多少。红会那些个事儿你睁眼瞎呢，没用就捐了吧,0,2020-02-02 00:13
https://weibo.cn//u/6557873328,儒生大大,女,山东,306,206,292,你信啊！S,0,2020-01-31 22:10
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云岭政法:#武汉市红十字会不存在收取服务费问题#不信谣，不传谣！,0,2020-01-31 22:09
https://weibo.cn//u/2399282805,精分达人玻璃莲,女,黑龙江,4435,807,422,求明细，求直播,2,2020-01-31 17:28
