评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,【,0,2020-02-03 10:05
https://weibo.cn//u/6266810763,离退休保安队长,男,四川,423,242,146,@周阿牛啊,0,2020-02-03 00:57
https://weibo.cn//u/7241107907,雅曦曦月,女,海南,26,159,8,想得挺周到的，表示支持,0,2020-02-02 17:55
https://weibo.cn//jcd521,菜单7,男,北京,1076,775,776,回复@谁家D静静:净瞎扯有75度的酒吗 你得用两瓶42度的二锅头兑一起 那就是84度了 这样才管用,0,2020-02-13 19:37
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,【,0,2020-02-03 10:05
https://weibo.cn//u/6266810763,离退休保安队长,男,四川,423,242,146,@周阿牛啊,0,2020-02-03 00:57
https://weibo.cn//u/7241107907,雅曦曦月,女,海南,26,159,8,想得挺周到的，表示支持,0,2020-02-02 17:55
https://weibo.cn//u/6473467189,荒凉蹀躞,男,北京,26,344,3,红十字会,0,2020-02-02 08:18
https://weibo.cn//u/5470329597,阮的老厝边,男,河北,34,78,6705,喝开水？要烫死我吗,0,2020-02-02 01:03
https://weibo.cn//u/5763965247,年少空谈,男,辽宁,712,194,90,回复@净-师傅给起的:游戏倒是早就有了，做了个联动还是不错的,1,2020-02-01 23:16
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,转发微博,0,2020-02-01 21:52
https://weibo.cn//yichunzhongyuan,伊春中院,男,黑龙江,27440,1193,75647,【随着疫情的发展，各种打着“科学”旗号的谣言扑面而来】,0,2020-02-01 21:23
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,一起来挑战！一起防疫辟谣！,0,2020-02-01 21:10
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,回复@中国长安网:被安利然后关注啦,0,2020-02-01 20:34
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791692,回复@舒卷意何穷822:,0,2020-02-01 19:53
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791692,回复@鸭梨山大的塔塔:,0,2020-02-01 19:52
https://weibo.cn//xuxy,徐秒秒,女,浙江,4005,1135,782,玩小游戏普及科学，打发时间，一举两得~,0,2020-02-01 19:05
https://weibo.cn//u/1658400297,晓梅jassy,女,广东,3094,405,330,是要保持头脑清醒,0,2020-02-01 18:41
https://weibo.cn//u/5747070403,扬舟行远,男,吉林,171,110,68,造谣带结奏的太多了!查处啊!,0,2020-02-01 18:39
https://weibo.cn//hahalj,姑姑坛,女,广东,2590,238,625,我觉得对手真的是人吗？？？很简单的题目都不会,0,2020-02-01 17:45
https://weibo.cn//u/6785385331,江山怎抵你,女,其他,61,194,42,这就去答题,0,2020-02-01 17:40
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,回复@锦鲤染雪:又是什么饮料🥤？,1,2020-02-01 17:34
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,回复@释然57978:,1,2020-02-01 17:33
https://weibo.cn//xiaoyiyuan,源卡YY,男,其他,356,100,2128,准备一会儿去试试,1,2020-02-01 17:22
https://weibo.cn//u/5341858893,青海政法,男,青海,42898,692,45805,快来参与在线“战疫”游戏,1,2020-02-01 17:22
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,安哥在线推广长安剑,2,2020-02-01 17:18
https://weibo.cn//u/7275167676,守得云开雾散尽,男,广东,334,328,98,100度的开水可以杀菌,1,2020-02-01 17:08
https://weibo.cn//u/6097184595,香港-HongKong,男,广东,3286,111,12518,安哥忙了，不信谣不造谣,1,2020-02-01 17:06
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,玩了3轮啦，局局完胜,2,2020-02-01 16:39
https://weibo.cn//u/2025500007,ArtHunter,男,海外,574,1312,495,想当年头脑王者1可是赛季一直连续“头脑王者”段位的,2,2020-02-01 16:04
https://weibo.cn//u/1812210913,学不会飞的信天翁,男,海外,122,101,350,别整那么费事，六个核桃治百病。,1,2020-02-01 15:59
https://weibo.cn//aidehuhuan,心海里住着一个你,男,四川,32983,37,1761,我是醉了,1,2020-02-01 15:51
https://weibo.cn//u/3441899844,----LHD----,男,陕西,17,43,59,回复@芋泥紫米啵啵茶:,0,2020-02-01 15:47
https://weibo.cn//u/6577666605,京沪杭商机网,男,北京,69271,1088,4464,转发微博,1,2020-02-01 15:47
https://weibo.cn//u/2125825151,雁离离,女,其他,3725,1171,426,回复@净-师傅给起的:头发！头发更可忧了,0,2020-02-01 15:46
https://weibo.cn//u/2721347163,Jinnianbuhenaicha,女,其他,1746,221,288,@----LHD----,1,2020-02-01 15:45
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,回复@谁家D静静:这么严重,1,2020-02-01 15:40
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,回复@中国长安网:,0,2020-02-01 15:38
https://weibo.cn//u/5680997704,疯菇凉朵拉,女,湖北,125,115,23,回复@谁家D静静:直接拉医院，胃估计得烧一大窟窿🔥,1,2020-02-01 15:38
https://weibo.cn//u/5680997704,疯菇凉朵拉,女,湖北,125,115,23,喝6...6...60度以上的白开水，你想烫死我吗,2,2020-02-01 15:37
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,75度的白酒喝下去得醉多少天才能醒过来呀,8,2020-02-01 15:36
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791697,回复@盡書畫:来玩呀,0,2020-02-01 15:36
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791697,回复@净-师傅给起的:,0,2020-02-01 15:36
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791697,回复@绝命毒师沃尔特:安侠得全对吧,0,2020-02-01 15:35
https://weibo.cn//changan,中国长安网,男,北京,40355,1138,12791697,回复@锦鲤染雪:得分怎么样,0,2020-02-01 15:35
https://weibo.cn//hncaw,海南政法,男,海南,34785,340,19556,一起来,1,2020-02-01 15:33
https://weibo.cn//u/5746833938,长阳政法综治,男,湖北,106,43,33,转发微博,1,2020-02-01 15:29
https://weibo.cn//u/5550398724,体寒肉多大妹子,女,江苏,421,240,42,很不错,1,2020-02-01 15:29
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,啊?我不會丫,3,2020-02-01 15:20
https://weibo.cn//u/5886237622,海太阳,男,广东,10821,1223,175180,疫情爆发，给了“坑蒙拐骗偷势力”和对应谣言沉渣泛起的某种机会。,2,2020-02-01 15:17
https://weibo.cn//u/5248750489,Mr_Devin_Liao,男,安徽,146,276,63,中央政法委是不是可以关注一下红十字会？？,2,2020-02-01 15:17
https://weibo.cn//u/3754336904,舒卷意何穷822,女,其他,575,360,37,谢谢安哥关注我们的心理健康！很好玩呀,1,2020-02-01 15:16
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81804,406,64175,转发微博,1,2020-02-01 15:15
https://weibo.cn//u/1794516300,盡書畫,女,江苏,2276,592,513,害！安哥真是操心碎啊，這都考慮到了,1,2020-02-01 15:13
https://weibo.cn//u/6016531170,福建长安网,男,福建,10510,97,18273,一起来挑战！一起防疫辟谣！,1,2020-02-01 15:12
https://weibo.cn//u/2696170731,靖哥哥1963,男,上海,1027,31,418,科学防控，不信谣,1,2020-02-01 15:11
https://weibo.cn//amethystjoey,紫晶家的兔子叫Wawa,女,广东,2975,486,999,哇噻，這都研究出來。可以有~,6,2020-02-01 15:03
https://weibo.cn//celinaly,貓狗一窩親0-0,女,其他,23900,1250,215,这个可以有,1,2020-02-01 15:01
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,安哥辛苦了，为了普及防疫知识连游戏都出了，你还有什么不会的吗？,24,2020-02-01 14:59
https://weibo.cn//u/6021462278,皇甫鐡蛋,男,其他,587,97,845,来啦来啦     举报             赞[1]         回复             2020-02-01 14:58:57 来自网页,1,2020-02-01 14:58
https://weibo.cn//u/6087298749,茅石惊雷,男,其他,654,70,761,腐败仓库最容易失火了……一定请消防部门做好仓库防范…,4,2020-02-01 14:57
https://weibo.cn//u/6391589639,清梦倚星河,男,浙江,20,48,16,建议先把拖后提的二流弟弟，尚方宝剑一下,1,2020-02-01 14:57
https://weibo.cn//u/6173123967,我要看看微博有多少zz,男,其他,120,372,4,双黄连,1,2020-02-01 14:56
