评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3103611963,一句话入你心,男,山东,23328,269,265566,严惩造谣生事人员[加油],53,2020-02-03 20:37
https://weibo.cn//u/2957659720,恬然自安入翠微,女,黑龙江,8070,807,107,最近谣言满天飞，安哥，那些人好像就是不敢在您这儿撒野呢。,28,2020-02-03 20:40
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,非常时期，更要明辨是非，不信谣不传谣!,16,2020-02-03 21:08
https://weibo.cn//u/5967502261,獬豸飘带,男,黑龙江,56,151,5,说的对,0,2020-03-08 12:37
https://weibo.cn//u/5478658849,赵Zhao先森,男,黑龙江,157,130,5,严惩谣言行为,0,2020-03-08 11:46
https://weibo.cn//u/7268396278,察右后旗政法工作,男,其他,2604,25,72,转发微博,0,2020-02-10 21:11
https://weibo.cn//u/5996283670,maxzzy,女,江苏,2,107,7,//,0,2020-02-10 19:10
https://weibo.cn//u/5155153608,阿拉善检察,女,内蒙古,2649,88,2149, ,0,2020-02-05 18:02
https://weibo.cn//u/5767431045,生活像童话般美丽111,女,安徽,136,806,59,有人在村里打麻将，聚众聊天怎么举报,0,2020-02-04 21:02
https://weibo.cn//u/5667339675,和田网警巡查执法,男,新疆,20150,662,6690,【武钢前董事长保外就医在港染新冠肺炎？谣言！】,0,2020-02-04 20:19
https://weibo.cn//u/6636554437,宁城县政法,女,其他,25,51,10,非常时期，不信谣不传谣！,0,2020-02-04 18:59
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-02-04 15:52:03 来自网页,0,2020-02-04 15:52
https://weibo.cn//u/6853210643,东海卞维涛,男,江苏,1495,155,7,欠,1,2020-02-04 15:42
https://weibo.cn//u/2454362772,段亚楠2021,男,安徽,15739,984,19937,【武钢前董事长保外就医在港染新冠肺炎？谣言！】,0,2020-02-04 15:17
https://weibo.cn//u/5558933754,大庆高新区人民检察院,男,黑龙江,2718,543,927, ,0,2020-02-04 14:42
https://weibo.cn//u/3232078482,小红红3232078482,女,其他,67,151,86,大家都在努力,0,2020-02-04 14:25
https://weibo.cn//u/1843171543,大康闲话,男,甘肃,4838,1711,3477,相信不是知道父母已被确诊而逃到香港，大多数人即便发烧，也不会觉得自己就是冠状病毒。政府没封闭，何言逃字？算是疏忽吧。当然了，这个敏感时刻，此种疏忽也是大错，但毕竟不是网上所言反人类啊。我倒觉得，这个节骨眼上，香港医护人员罢工，有违人道主义精神和职业道德。,1,2020-02-04 14:20
https://weibo.cn//u/1773623345,swj1971jswy,男,河南,3700,2963,256,不造谣,0,2020-02-04 13:04
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-02-04 12:56
https://weibo.cn//u/3746607642,杜尔伯特县法院,男,黑龙江,76187,750,12436,【武钢前董事长保外就医在港染新冠肺炎？谣言！】,0,2020-02-04 10:27
https://weibo.cn//u/2803694624,2020第一次改名行不行啊,男,广东,333,714,194,非常时期散布谣言的人是不是先全网挂几天，然后实名销号,0,2020-02-04 10:13
https://weibo.cn//u/3871671730,柳州政法,男,广西,25681,127,139154,武钢前董事长保外就医在港染新冠肺炎？谣言！,0,2020-02-04 09:52
https://weibo.cn//u/1482245987,FreeRaybi,女,江苏,562,1005,217,转发微博,0,2020-02-04 08:44
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,转发微博,0,2020-02-04 08:34
https://weibo.cn//u/2799257514,139xxxx9002,男,其他,35,105,55,仅仅闭谣，苍白无力！,0,2020-02-04 02:48
https://weibo.cn//u/1999522690,腥风血雨大裤衩,男,广东,6806,538,0,昨天看到这则消息的时候，微微一笑波澜不惊，直接断定造谣者司马,1,2020-02-04 01:46
https://weibo.cn//mojianqian,紫芊小屋,女,广东,10547,352,392,那些造谣生事的人真的太可恶了,0,2020-02-04 01:14
https://weibo.cn//laodao99,老刀99,男,上海,78793,8161,2271903,//@天涯尼丹小: 还在牢里呢。。。     举报             赞[0]         回复             2020-02-04 00:59:10 来自网页,0,2020-02-04 00:59
https://weibo.cn//hanorangeart,电影川藏线,女,其他,131,1307,576,再不整治造谣生事者就呵呵了,0,2020-02-04 00:55
https://weibo.cn//u/6055356455,过一日行一程,女,北京,5360,185,72,已经又有人说，疫情起源是P4泄漏了,0,2020-02-04 00:51
https://weibo.cn//u/1115118971,革掵青年老布什,男,其他,65059,2911,1546,，严惩造谣者     举报             赞[0]         回复             2020-02-04 00:41:42 来自网页,0,2020-02-04 00:41
https://weibo.cn//u/1239253750,金点子谭,男,湖南,41125,4911,5922,转发微博,0,2020-02-04 00:41
https://weibo.cn//u/1414066437,三表妹,女,广东,1020,243,40,那两个人看起来也不是普通人的样子,0,2020-02-04 00:36
https://weibo.cn//u/1358716514,信仰的绿洲,男,上海,3674,1149,214,应该早点发辟谣，谣言传时间长了，总会有白痴信,0,2020-02-04 00:32
https://weibo.cn//u/1740531807,幽怨的深海人鱼,女,广东,42417,2576,2622,回复@熊猫仔1919:鬼替她操心，心都是黑的，去到哪裡都是禍害，又要你在這裡替她出什麼頭,0,2020-02-04 00:25
https://weibo.cn//u/2957659720,恬然自安入翠微,女,黑龙江,8070,807,107,回复@中国长安网:因为安哥正气凛然，牛鬼蛇神闪躲不及。,0,2020-02-04 00:00
https://weibo.cn//hncaw,海南政法,男,海南,34785,340,19557,严惩造谣者,0,2020-02-03 23:57
https://weibo.cn//u/2038323655,-趙淼淼-,女,湖北,930,522,5561,武钢不怕病毒，出了病例了照样开工。,0,2020-02-03 23:57
https://weibo.cn//u/3103611963,一句话入你心,男,山东,23328,269,265566,回复@中国长安网:想跟政法君，面对面互关一下,0,2020-02-03 23:53
