评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5174551863,联长丶,男,其他,4928,950,72289,系列匿名账号是境外账号，绑定号码为001开头。 ,106,2020-02-17 21:30
https://weibo.cn//u/5718427731,明_日_月,男,山东,879,321,807,造谣账号封了吗？境内的造谣者处罚了吗？都没有的话那辟谣意义趋近于零,50,2020-02-17 21:27
https://weibo.cn//u/6345028642,云南政法,男,云南,39190,828,37038,“实名举报武汉病毒所泄露病毒”？谣言！,21,2020-02-17 21:53
https://weibo.cn//u/7202765029,人与人与兽,男,其他,405,96,457,长安网，能辟谣一下武汉众博拆迁公司倒卖拆迁安置房涉案几个亿，多区域拆迁公司参与。这么大的案子不深挖,0,2020-08-16 01:30
https://weibo.cn//u/7403621241,参宿star,男,其他,1,34,1,回复@舒卷意何穷822:你错了,0,2020-08-09 17:26
https://weibo.cn//u/7403621241,参宿star,男,其他,1,34,1,回复@遥阅北:呵呵，官方辟谣你就信了?实则背后有大阴谋,0,2020-08-09 17:26
https://weibo.cn//u/7403621241,参宿star,男,其他,1,34,1,辟谣有用??我信你个鬼。把我们当儿子骗。人在做天在看。那么多人的生命，谁来负责???2015年就开始搞新冠研究。,1,2020-08-09 17:24
https://weibo.cn//u/6468779140,驴和少,男,其他,2982,1499,50,//,0,2020-06-17 18:02
https://weibo.cn//u/5517770030,美美201407,女,广东,333,155,46,所以总感觉好像有个幕后推手，让人忍不住就想国外阴谋论一下,0,2020-02-27 23:47
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-02-27 23:13
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云岭政法:“实名举报武汉病毒所泄露病毒”？谣言！,0,2020-02-21 10:11
https://weibo.cn//u/5931159444,fly那一天i,男,广西,101,916,2069,这个该不会也是那6万之一吧，看他的评论，必须先举报 ,1,2020-02-20 16:25
https://weibo.cn//737452020,拉着风的手,男,北京,3428,1422,1054,造谣太可恨了,1,2020-02-19 23:42
https://weibo.cn//u/1660417604,啊艺23,男,广东,25,68,14,有人想在疫情趁乱捣乱，所以非常多谣言，感觉从香港开始动乱到现在，一直都有人在恶意捣乱，大家的眼睛应该要擦亮。,1,2020-02-19 22:12
https://weibo.cn//u/2817833874,loahcAc,男,浙江,105,211,69,回复@烟花三月寒:还有一个就是，少看大V和盆友圈发的所谓真相。真相永远不是说出来的。 多看各种新闻。谢谢,2,2020-02-19 21:52
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@loahcAc:我们觉得不想被代表的群体,0,2020-02-19 21:35
https://weibo.cn//u/2817833874,loahcAc,男,浙江,105,211,69,回复@烟花三月寒:我扣帽子？不是你自己说的我们吗？你这个们代表了谁啊？,0,2020-02-19 21:28
https://weibo.cn//317158128,小明的挑战,男,浙江,14603,1174,1482,回复@风吹屁屁闯天涯:,0,2020-02-19 20:50
https://weibo.cn//u/3199171072,风吹屁屁闯天涯,男,山东,20,151,73,回复@小明的挑战:你看你，被咬了吧,0,2020-02-19 20:21
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@烟花三月寒:他是没道理的。,0,2020-02-19 19:51
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@77是三岁宝宝:那条舔狗、已经设置回复。哈哈哈哈,0,2020-02-19 19:51
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@77是三岁宝宝:她就是条舔狗、别在意、感谢支持,0,2020-02-19 19:49
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:小粉红真的不行啊、这样拿不到工资啊、最多2毛5,0,2020-02-19 19:49
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:继续啊、人呢,0,2020-02-19 19:48
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:我看了来龙去脉、才觉得你不对,0,2020-02-19 19:48
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:你这种小红粉即没有知识、只会无脑支持、社会永远不会进步哈,0,2020-02-19 19:47
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:你这样的小红粉真的一点思想都没有、怪不得要被别人喷,0,2020-02-19 19:47
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:你既然赖上我我就盯上你了,0,2020-02-19 19:46
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:这不是我们国家经常会扣的帽子吗？,0,2020-02-19 19:46
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:别人说对有些内容不满、就境外势力了？,0,2020-02-19 19:45
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:但我们总有改变的心、不像你、像条添狗,0,2020-02-19 19:44
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:来来来、在线等,0,2020-02-19 19:42
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:我是没工作没钱的、loser、我可以陪你喷到底大,0,2020-02-19 19:42
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:那解放前不是党领导的国家难道不是吗？当时是国民党执政、当时的党员如果不满国民党就是境外势力？,0,2020-02-19 19:42
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:因为你是个小粉红、真的就是无脑支持的那种。所以别人说你很正常,0,2020-02-19 19:40
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:你忽略了一个问题就是以前中国解放前就不是中国了吗？你这是赤裸裸的分裂中国啊,1,2020-02-19 19:39
https://weibo.cn//u/5456601994,晚枫吻尽荷花叶,男,其他,29,104,138,@董不服那吃不瘦的怪胃,0,2020-02-19 19:29
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:有空去看看故宫红三代的女人在美国干嘛呢？你还在这拼命帮别人码字,1,2020-02-19 19:25
https://weibo.cn//wangqiqi19891129,77是三岁宝宝,女,上海,934,996,433,回复@MotDoux:我觉得别人说的没错啊、你这种小粉红误国啊,0,2020-02-19 19:24
https://weibo.cn//u/1872735770,烟花三月寒,男,海外,3257,1064,1046,回复@MotDoux:不会帝吧出征的普通百姓,0,2020-02-19 17:19
