评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//marcovan,飞翔的Marco,女,江苏,7527,215,584,可见黄冈试卷给大家的“阴影”,16,2020-02-18 19:03
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,现在什么谣言都有,5,2020-02-18 19:03
https://weibo.cn//vevedoll,艾米公仔,女,广东,2274,667,230,觉得这个谣不用辟，实际阻吓作用更大~,7,2020-02-18 18:50
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-02-19 16:59:16 来自网页,0,2020-02-19 16:59
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,【抓住外出闲逛人员要考黄冈密卷？黄冈密卷：我不背这锅】,0,2020-02-19 14:12
https://weibo.cn//pahlj,黑龙江-平安黑龙江,女,黑龙江,21765,630,26590,辟谣啦~,0,2020-02-19 08:43
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-02-18 22:21
https://weibo.cn//HelenLeeShanghai,一路向北笑北北,女,北京,1456,281,147,     举报             赞[0]         回复             2020-02-18 22:11:16 来自网页,0,2020-02-18 22:11
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,又见安哥辟谣忙,0,2020-02-18 21:58
https://weibo.cn//u/3871671730,柳州政法,男,广西,25681,127,139154,抓住外出闲逛人员要考黄冈密卷？黄冈密卷：我不背这锅,0,2020-02-18 20:49
https://weibo.cn//u/1432649237,焰火转身,女,云南,1022,1243,392,其实还是很期待是做黄冈密卷！因为实在太好笑了,0,2020-02-18 20:49
https://weibo.cn//u/7314523588,小泡泡然冄,女,其他,50,79,7,让造谣的人做，做到及格为止,1,2020-02-18 20:10
https://weibo.cn//u/2606578237,虎仔虾米,女,辽宁,909,1138,1597,黄冈密卷哈哈哈哈,0,2020-02-18 19:55
https://weibo.cn//u/5886370520,萌始就学,男,其他,2766,544,116,其实我觉得这是不错的方法,0,2020-02-18 19:49
https://weibo.cn//u/2127516075,emileyoohoo,女,其他,6301,1088,344,真要去考这密卷得烤焦了,0,2020-02-18 19:43
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791426,回复@Belle_81:为博取眼球造谣要不得,0,2020-02-18 19:40
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791426,回复@艾米公仔:,0,2020-02-18 19:35
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791426,回复@飞翔的Marco:,0,2020-02-18 19:33
https://weibo.cn//u/1801543175,手机用户凌志,男,广东,208126,4498,7508,转发微博,0,2020-02-18 19:27
https://weibo.cn//u/1648163285,leafher,女,江苏,171,267,108,太难了,0,2020-02-18 19:22
https://weibo.cn//u/6031134374,种花蒙懵,女,湖南,520,386,81,太闲的，我觉得他们需要密卷一套，这种造谣都搞     举报             赞[1]         回复             2020-02-18 19:22:27 来自网页,1,2020-02-18 19:22
https://weibo.cn//u/6519532987,过客凤舞晓月,男,其他,81,67,25,其实网友这个建议不错，可以采纳，就考黄冈密卷,0,2020-02-18 19:18
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81803,406,64176,转发微博,0,2020-02-18 19:12
https://weibo.cn//u/2645820887,小星辰2050,女,河北,1291,283,334,谣言满天飞，一天天的层出不穷。我如果做黄岗密卷，一定不极格的,1,2020-02-18 19:11
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,现在谣言满天飞，辛苦安哥辟谣了！,4,2020-02-18 19:08
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,造谣的缺心眼儿，要有人信这种谣那也够那啥的！,7,2020-02-18 19:04
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,现在什么谣言都有,5,2020-02-18 19:03
https://weibo.cn//marcovan,飞翔的Marco,女,江苏,7527,215,584,可见黄冈试卷给大家的“阴影”,16,2020-02-18 19:03
https://weibo.cn//u/6928833703,今天的我比昨天更奇葩了,男,其他,36,163,1,不考密卷，考秘卷哟,0,2020-02-18 18:59
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,安哥继续辟谣辟谣,5,2020-02-18 18:58
https://weibo.cn//u/2012151531,飞向柠檬的冬梨,女,湖北,3448,473,249,这些人什么都敢说,0,2020-02-18 18:56
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,什麼鬼都有，我表示看不懂,7,2020-02-18 18:54
https://weibo.cn//u/1866493197,茶不甜呀,女,贵州,8902,1035,674,笑死我了,1,2020-02-18 18:52
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,909,243,332,     举报             赞[3]         回复             2020-02-18 18:52:01 来自网页,3,2020-02-18 18:52
https://weibo.cn//u/1821395645,O清香白莲O,男,山东,173,73,219,造谣一张嘴万人转，辟谣跑断腿没人看,1,2020-02-18 18:51
https://weibo.cn//u/5785639039,玩马蜂的猫,男,其他,7048,611,176,什么时候了，你能给点正能量吗？你就不怕公安查你？,0,2020-02-18 18:50
https://weibo.cn//u/2082001913,晓奖安妮1,女,其他,28087,1888,1735,黄冈卷子威名远播，连造谣的都知道,2,2020-02-18 18:50
https://weibo.cn//vevedoll,艾米公仔,女,广东,2274,667,230,觉得这个谣不用辟，实际阻吓作用更大~,7,2020-02-18 18:50
https://weibo.cn//u/6179685149,三百年犹忆翊坤,女,河北,9304,756,399,哈哈哈哈,0,2020-02-18 18:49
https://weibo.cn//u/6021462278,皇甫鐡蛋,男,其他,587,97,845,其实这样也挺好的     举报             赞[1]         回复             2020-02-18 18:47:51 来自网页,1,2020-02-18 18:47
https://weibo.cn//u/5977169766,镜头一,女,其他,1313,100,179,谁信这个谁弱智！,4,2020-02-18 18:47
https://weibo.cn//u/5693772894,潮乡新人,男,浙江,35369,2200,1728,不信谣不传谣,0,2020-02-18 18:46
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1370,黄冈密卷不会考，防疫知识要考,14,2020-02-18 18:44
