评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,这谣言编的实在不走心，现在哪个家长没个群？群里没几个班主任、老师、校长伍的？让我们安哥辟这种谣，太浪费口水,13,2020-02-19 17:54
https://weibo.cn//sxzf,山西政法,男,山西,36885,278,23125,任何消息需取自官方渠道，不传谣、不信谣！,9,2020-02-19 17:50
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,心疼苦口婆心闢謠的安哥,9,2020-02-19 17:52
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-02-21 16:49
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-02-20 16:59:48 来自网页,0,2020-02-20 16:59
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,任何消息需取自官方渠道，不传谣、不信谣！,0,2020-02-20 11:00
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,不信谣，不传谣！,0,2020-02-20 09:09
https://weibo.cn//u/6722058153,鹰潭市交通街道综治专用,女,江西,5712,13,22,转发微博,0,2020-02-20 08:40
https://weibo.cn//pahlj,黑龙江-平安黑龙江,女,黑龙江,21765,630,26590,辟谣啦~,0,2020-02-20 08:36
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,回复@中国长安网:安哥太累了，心疼你,0,2020-02-20 02:00
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791416,回复@净-师傅给起的:,0,2020-02-20 01:55
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-02-19 22:11
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,//,0,2020-02-19 22:11
https://weibo.cn//u/3960080695,边城审判,男,湖南,14793,261,8870,转发微博,0,2020-02-19 19:54
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,909,243,332,安哥不是在辟谣，就是在去辟谣的路上,2,2020-02-19 19:52
https://weibo.cn//u/3924812700,中原盾,男,河南,39830,695,87599,不传谣、不信谣！,0,2020-02-19 19:47
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,安哥又得辟谣,3,2020-02-19 19:47
