评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,抹煞了警方的努力,33,2020-02-24 18:17
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,我已经看到几个转发贴了，然后我也忙着在评论里辟谣了,12,2020-02-24 18:23
https://weibo.cn//lemoncatlemon,保留了原本的孩子气,女,上海,6429,198,240,这些编故事的怎么想的,8,2020-02-24 18:32
https://weibo.cn//u/7203055333,宣城政法,男,安徽,8321,133,285,这是一篇辟谣贴//,0,2020-02-27 12:42
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-02-26 16:26
https://weibo.cn//u/6501639595,包头长安网,男,内蒙古,3359,59,13867,【28年前南医大女生被杀案告破，医生破案？】别问，问就是假的！,0,2020-02-26 10:52
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-02-26 09:31
https://weibo.cn//sxzf,山西政法,男,山西,36881,278,23125,谣言不攻自破。,0,2020-02-25 21:06
https://weibo.cn//u/1239277235,最有名的王国成,男,其他,39,868,187,搞的这么方，这是枪毙的节奏啊！,0,2020-02-25 11:46
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-02-25 10:51
https://weibo.cn//u/5718454607,旅途中的沈风,男,广东,515,401,34,回复@中国长安网:,0,2020-02-25 09:53
https://weibo.cn//u/7207553457,马鞍山政法,女,其他,9865,124,223,别问，问就是假的！//,0,2020-02-25 09:26
https://weibo.cn//u/2151815812,11就是我,女,其他,385,223,175,回复@ZaZa花花:maybe是安姐？,0,2020-02-25 09:10
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,辟谣！,0,2020-02-25 09:08
https://weibo.cn//u/2140100557,ZaZa花花,女,广东,7122,678,1886,只看安哥的,1,2020-02-25 09:04
https://weibo.cn//zjfxj,浙江政法,男,浙江,12097,502,161634,不造谣、不信谣、不传谣,0,2020-02-25 08:50
https://weibo.cn//u/7206379042,长安铜陵,男,安徽,8727,126,7721,这是一篇辟谣贴,0,2020-02-25 08:23
https://weibo.cn//u/5543354169,顾貝貝GYR,女,海外,396,165,140,晕，我一开始以为是真的,0,2020-02-25 05:37
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791333,回复@Amikiko:你问问他？,0,2020-02-25 01:23
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791333,回复@旅途中的沈风:造谣的可能没有想到我们有这么机智的安侠,0,2020-02-25 01:22
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791333,回复@小风嘤:走过路过不要错过，这里是安哥的博儿,0,2020-02-25 01:20
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791333,回复@露美新一年要继续练字:图不错，安哥收了,0,2020-02-25 01:20
https://weibo.cn//amberli824,露美写的字被老师表扬了,女,广东,5317,598,124,这故事把辛苦破案的警察给弄得。。。,0,2020-02-25 01:04
https://weibo.cn//u/7199005165,淮南政法,女,其他,10359,5,1459,心中了然//,0,2020-02-24 23:27
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-02-24 23:06
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,相信安哥！,3,2020-02-24 22:44
https://weibo.cn//u/1897669223,aa快乐的向日葵,女,其他,2,35,29,配图好搞笑，第一次看到,0,2020-02-24 22:37
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791335,回复@再无过程:案件一点一点突破，过程一点一点公布，还请安侠不要着急,0,2020-02-24 22:21
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,辟谣了！,0,2020-02-24 22:00
https://weibo.cn//u/1508667964,小仙女滴娘亲,女,其他,65,24,29,回复@kabelsalatt:我们这里人怎么会称呼“武汉肺炎”呢,0,2020-02-24 21:43
https://weibo.cn//duoduo0502,秃如其来的多多,男,上海,5116,309,450,作图的也很辛苦了,0,2020-02-24 21:37
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,中午就开始帮安哥辟谣了,0,2020-02-24 21:05
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,回复@鸭梨山大的塔塔:你这层里有个啥,0,2020-02-24 21:03
https://weibo.cn//u/7318787088,善良杜保成,男,辽宁,1,108,15,我想笑哈哈哈哈     举报             赞[0]         回复             2020-02-24 20:58:28 来自网页,0,2020-02-24 20:58
https://weibo.cn//shzfzz,上海长安网,女,上海,25188,349,127114,假的！,0,2020-02-24 20:58
