评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6345028642,云南政法,男,云南,39190,828,37037,不信谣，不传谣！,11,2020-02-25 17:07
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1370,我就纳闷了，这种谣言是怎么造出来的啊,19,2020-02-25 17:04
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,哈！这次两个都要选,8,2020-02-25 17:25
https://weibo.cn//u/6577730560,金生水起3388,女,辽宁,478,45,31,能不能让地方公检法立即停止敛财执法？多少创新创业企业家被他们扣上“集资诈骗”“非吸”罪搞垮企业，民众失业，家破人亡,0,2020-03-13 11:33
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:不信谣，不传谣！,0,2020-02-28 18:50
https://weibo.cn//u/7300500052,有人没得,男,贵州,2,26,2,数字错了 肯定就是谣言,0,2020-02-27 23:03
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-02-27 17:19
https://weibo.cn//u/2924548625,往事并不如烟般,男,海外,14,393,5115,没有别的选项吗？,0,2020-02-27 15:09
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:不信谣，不传谣！,0,2020-02-27 10:24
https://weibo.cn//u/7372093357,我饿了停机了,男,其他,212,315,55,这个不是“网传”那么简单吧？这我记得好像是财新发的吧？,0,2020-02-26 22:20
https://weibo.cn//u/6013417644,婉婉sunshine,女,湖北,254,279,46,造谣的人是吃多了撑到了是吧，要是觉得无聊建议去做志愿者,1,2020-02-26 18:09
https://weibo.cn//u/3743011561,ABCMBOYS,男,北京,364,3,206,用谎言来验证谎言得到就是谎言,0,2020-02-26 17:06
https://weibo.cn//u/1352584230,sindorei128,男,湖北,356,505,19,回复@月半饼饼:只是被夸大，这个养老院就在我家附近,0,2020-02-26 17:01
https://weibo.cn//u/6881183988,我有一橘麻麦皮不知当讲不当讲,男,湖南,0,34,136,回复@月半饼饼:平时都不想评论的，但这次造谣的这些人，是真的欠收拾，别人在一线的人已经很忙了，还天天造谣，真的就是造谣一张口，辟谣跑断腿,0,2020-02-26 16:48
https://weibo.cn//u/6881183988,我有一橘麻麦皮不知当讲不当讲,男,湖南,0,34,136,回复@月半饼饼:第一种：以讹传讹 A对B说隔壁有个人最近有点咳嗽 B对C说隔壁有个人确诊了 C对D说隔壁有一家子确诊了 D上网说隔壁整个小区都被隔离检查了 很多人发这些消息根本不过脑子的，不会去想是不是真的，更有甚者不相信政府公布的疫情数据 第二种：故意传播谣言 有部分人闷久了闲的在网上乱发消息或者抹黑政府的,5,2020-02-26 16:46
https://weibo.cn//u/3087580920,奉节检察,男,重庆,7552,188,3697,//,0,2020-02-26 16:29
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-02-26 11:26
https://weibo.cn//u/6365983349,玉龙政法,男,云南,2495,50,68,不信谣，不传谣！//,0,2020-02-26 10:56
https://weibo.cn//u/6360547889,德宏政法,男,云南,31401,186,1014,回复@云南政法:不信谣，不传谣！,0,2020-02-26 09:54
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:不信谣，不传谣！,0,2020-02-26 09:25
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,不信谣，不传谣！,0,2020-02-26 09:25
https://weibo.cn//pahlj,黑龙江-平安黑龙江,女,黑龙江,21765,630,26590,辟谣啦！,0,2020-02-26 07:51
https://weibo.cn//u/2219831381,亲过清晨,女,江苏,600,716,50,原来还有同名的地方,0,2020-02-26 07:05
https://weibo.cn//u/7392912944,女47758,男,其他,4,44,1,这些是么样拍出来的，像拍电影,0,2020-02-26 01:55
