评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,909,243,332,原来是贩卖货物和隐瞒行程。谢谢安哥,25,2020-02-21 20:05
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,安哥没有一天不在辟谣的，辛苦辛苦,11,2020-02-21 20:01
https://weibo.cn//u/6062122542,SatanSky,男,四川,434,324,268,以盈利为目的……,6,2020-02-21 20:07
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-02-27 22:48
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:原来如此！,0,2020-02-25 09:25
https://weibo.cn//yixuan0808,蛋蛋夹肉肉,男,山东,1069,265,1156,盈利为目的的，处理的没毛病,0,2020-02-24 18:38
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:原来如此！,0,2020-02-24 17:33
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-02-24 15:28
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:原来如此！,0,2020-02-24 13:47
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,原来如此！,0,2020-02-24 13:47
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云岭政法:原来如此！,0,2020-02-22 09:02
https://weibo.cn//u/5026356094,GGXTJ,男,其他,1841,95,794,这是两个概念，不能混为一谈。强调一个即可。,0,2020-02-22 08:11
https://weibo.cn//u/1929641131,Ar_Wang0428,女,其他,117,321,182,回复@风大池:你开车在路上谁会管你开去哪啊，只有湖北管制，其他地方也没管，当然可以开了啊。只要做好体温检查和登记，以后有感染病例容易找密切接触者就可以。还有湖北省还在交通管制，私自进入也属违法行为。,0,2020-02-22 00:16
https://weibo.cn//u/1929641131,Ar_Wang0428,女,其他,117,321,182,回复@风大池:是无证经营➕隐瞒行程OK？当地现在规定要政府统一采购，私自经营就明显超出了营业许可，是违法行为，隐瞒行程但是因为没有确诊疾病，所以只违法不犯罪，所以最后是行政拘留而不是刑事拘留,0,2020-02-22 00:12
https://weibo.cn//u/1558498033,风大池,男,北京,1616,399,792,回复@Ar_Wang0428:我阅读能力比较差，拘留是因为无证经营吗?,0,2020-02-21 23:56
https://weibo.cn//u/1558498033,风大池,男,北京,1616,399,792,回复@中国长安网:那我就费解了，如果运货前往湖北需要报送为什么可以一路畅通到湖北?不用查的?为什么拘留的原因是疫区回来不报备?脑子有点乱。另外疫区跨省的货物运输有明确管理办法和文件规定么？,0,2020-02-21 23:55
https://weibo.cn//hncaw,海南政法,男,海南,34785,340,19557,安哥辟谣！,0,2020-02-21 23:53
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,盈利+隐瞒行程，知无,2,2020-02-21 23:52
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791384,回复@风大池:目前当地是由政府组织向湖北等地区运输货物，如有需求前往的应当按照相关规定主动报备，获批准后方可出行,0,2020-02-21 23:50
https://weibo.cn//u/1558498033,风大池,男,北京,1616,399,792,回复@全能的小中医:违反条法律呢?你定的? 学中医的就好好学中医，不要出来跨界卖弄秀智商下限。,0,2020-02-21 23:49
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,辟谣！,0,2020-02-21 22:18
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39475,343,58380,辟谣！,0,2020-02-21 22:03
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-02-21 21:47
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云岭政法:原来如此！,0,2020-02-21 21:40
https://weibo.cn//u/6929287503,渣浪微博什么时候破产,男,海外,1136,194,28,其实就是商人逐利行为而已，遇到这种可以说这么处理没啥毛病。你要是捐赠性质就不一样了。,0,2020-02-21 21:29
https://weibo.cn//u/6345028642,云南政法,男,云南,39190,828,37038,原来如此！,8,2020-02-21 21:18
https://weibo.cn//u/7316918938,荒蕪HK小五,女,香港,482,311,280,不信謠，不傳謠,4,2020-02-21 21:13
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,回复@净-师傅给起的 的表态:,1,2020-02-21 20:59
https://weibo.cn//u/1853499332,卓卓Drolma,女,四川,2351,380,406,想挣钱能理解，但回去之后不报备行程，不自觉隔离，这就是害人害己啊,1,2020-02-21 20:53
https://weibo.cn//u/1424757554,金琳的快乐窝,女,上海,4934,1759,360,我靠，为了自己的利益不要伤害到别人吧,1,2020-02-21 20:52
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,隐瞒行程 私自运输贩卖 应该依法处理。,3,2020-02-21 20:51
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,安哥辟谣，我们可以安心看新闻了,4,2020-02-21 20:46
https://weibo.cn//u/6963694286,鸡头王子,男,辽宁,1299,81,198,吃饱了撑的,1,2020-02-21 20:39
https://weibo.cn//u/6209846845,sunny_2021要瘦20斤,女,其他,403,199,134,隐瞒行程可不行,1,2020-02-21 20:24
https://weibo.cn//u/1929641131,Ar_Wang0428,女,其他,117,321,182,回复@风大池:我国现在私营可以不要营业执照了吗？,2,2020-02-21 20:22
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,909,243,332,回复@中国长安网:安哥辛苦了,1,2020-02-21 20:22
https://weibo.cn//u/1080566242,maggiecy88,女,其他,2308,21,93,辟谣,0,2020-02-21 20:21
https://weibo.cn//shzfzz,上海长安网,女,上海,25188,349,127114,安哥辟谣！,3,2020-02-21 20:17
https://weibo.cn//u/1558498033,风大池,男,北京,1616,399,792,回复@中国长安网:我国现在禁止私营?,0,2020-02-21 20:16
https://weibo.cn//u/2695042394,植脂末路人乙,女,云南,1236,506,161,希望基层宣传口能加强培训，前后两稿通报读起来意思完全不一样，第一稿真是容易让人误解,1,2020-02-21 20:15
https://weibo.cn//u/2384914887,山还是那座山835,男,山东,729,424,202,俺兰陵送了这么多蔬菜和大蒜没人关注，没想到让这两位全国闻名了,2,2020-02-21 20:14
https://weibo.cn//onlyyou19901992,只不懂世界,男,山东,932,277,61,回复@中国长安网:以法律为准绳,0,2020-02-21 20:13
https://weibo.cn//u/6021462278,皇甫鐡蛋,男,其他,587,97,845,以善之名行恶事     举报             赞[1]         回复             2020-02-21 20:12:53 来自网页,1,2020-02-21 20:12
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791387,回复@不是美女是阿美女:安哥辟谣,1,2020-02-21 20:12
https://weibo.cn//u/5886370520,萌始就学,男,其他,2766,544,116,是不是到医院把他们的胆割去一半？,0,2020-02-21 20:11
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791388,回复@SatanSky:私自运输贩卖,0,2020-02-21 20:11
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81802,406,64176,转发微博,0,2020-02-21 20:10
https://weibo.cn//changan,中国长安网,男,北京,40353,1138,12791388,回复@shbarbiegirl:,0,2020-02-21 20:10
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,辛苦安哥每天忙着辟谣,8,2020-02-21 20:09
https://weibo.cn//u/6062122542,SatanSky,男,四川,434,324,268,以盈利为目的……,6,2020-02-21 20:07
