评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,安哥今天又辟谣了,12,2020-02-23 13:21
https://weibo.cn//u/6321402232,父慈子孝李世民,男,其他,130,75,358,那些神经病从来都不敢到安哥的地盘搞事……嘿嘿嘿，这是为什么呢？ 举报 赞[7] 回复 2020-02-23 13:33:54 来自网页,7,2020-02-23 13:33
https://weibo.cn//u/6345028642,云南政法,男,云南,39190,828,37038,   小区团购防护不力致数十人感染 ,8,2020-02-23 15:06
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-02-27 17:41
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:#谣言#   小区团购防护不力致数十人感染 #辟谣#  经@纺机社区 核实，截至22日，该小区共有新冠肺炎确诊患者35人（含临床诊断4人），11人已康复，20人住院，4人集中隔离。近两日，该小区既无新增确诊病例，也无因收取物资致集中感染事件发生。,0,2020-02-26 09:32
https://weibo.cn//u/3024240421,Molly_KJ,女,广东,662,597,92,回复@麦兜菠萝油王子_:呵呵,0,2020-02-25 17:49
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:#谣言#   小区团购防护不力致数十人感染 #辟谣#  经@纺机社区 核实，截至22日，该小区共有新冠肺炎确诊患者35人（含临床诊断4人），11人已康复，20人住院，4人集中隔离。近两日，该小区既无新增确诊病例，也无因收取物资致集中感染事件发生。,0,2020-02-25 14:45
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:,0,2020-02-24 19:19
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,   小区团购防护不力致数十人感染 ,0,2020-02-24 19:19
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-02-24 17:50
https://weibo.cn//u/6432311474,内蒙古长安网,男,内蒙古,18637,291,14580,疫情当前。对造谣者“零容忍”！,1,2020-02-24 17:34
https://weibo.cn//u/5942905898,南宁辟谣,男,广西,2071,39,2373, 武汉一小区团购防护不力致数十人感染？谣言！,0,2020-02-24 15:42
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-02-24 11:00
https://weibo.cn//u/6501639595,包头长安网,男,内蒙古,3359,59,13867,【小区团购防护不力致数十人感染？谣言！】,0,2020-02-24 10:59
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:转发微博,0,2020-02-24 10:54
https://weibo.cn//u/6385754865,怒江政法,男,云南,21462,76,4316,//,0,2020-02-24 09:02
https://weibo.cn//u/2936269313,熬夜也太香了吧,男,吉林,7,54,75,？？,0,2020-02-24 00:03
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:#谣言#   小区团购防护不力致数十人感染 #辟谣#  经@纺机社区 核实，截至22日，该小区共有新冠肺炎确诊患者35人（含临床诊断4人），11人已康复，20人住院，4人集中隔离。近两日，该小区既无新增确诊病例，也无因收取物资致集中感染事件发生。,0,2020-02-23 22:40
https://weibo.cn//u/3924812700,中原盾,男,河南,39830,695,87599,【小区团购防护不力致数十人感染？谣言！】请大家不信谣，不传谣！,0,2020-02-23 21:44
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,不信谣，不传谣！,0,2020-02-23 21:04
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,不信谣，不传谣。,0,2020-02-23 19:24
https://weibo.cn//u/5581928263,书虫一M,男,甘肃,32060,1146,1947,转发微博,0,2020-02-23 19:23
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:#谣言#   小区团购防护不力致数十人感染 #辟谣#  经@纺机社区 核实，截至22日，该小区共有新冠肺炎确诊患者35人（含临床诊断4人），11人已康复，20人住院，4人集中隔离。近两日，该小区既无新增确诊病例，也无因收取物资致集中感染事件发生。,0,2020-02-23 19:20
https://weibo.cn//u/6509850579,二连浩特政法,男,内蒙古,3980,54,156,目前，小区团购物资工作由社区派专人负责正常开展。,1,2020-02-23 17:51
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,辟谣！,0,2020-02-23 17:22
https://weibo.cn//u/1215569487,皮卡强_,男,上海,1611,551,216,这个章哪里来的？,0,2020-02-23 17:17
https://weibo.cn//u/3924115665,哈欠某某某,男,湖北,161,195,55,吃相太难看， 非指定团购商现在都被踢出群了。 不帮忙也就算了，还添乱。 看来嫂子的汉骂还没骂醒你们。,0,2020-02-23 17:10
https://weibo.cn//u/2211215833,呼噜噜小橙子,女,湖北,438,795,351,吓得我以为下楼取个菜 会感染,0,2020-02-23 17:05
