评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7349428453,lucky家家家,女,甘肃,998,383,58,……哎呀，人家把菜送给居民了就行了，这就是心意到了。如果是啥东西不够咱可以再捐，只要武汉好起来就成。都是一家人，谁收了那捐赠物资不是收啊。愿家国无疫 愿天下太平。,76,2020-02-23 23:20
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39475,343,58380,不信谣不传谣！,16,2020-02-23 22:56
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,疫情当前，拒绝谣言！,6,2020-02-24 21:14
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-03-04 10:43
https://weibo.cn//u/5533411145,寻洋洋兮若江河,女,其他,325,281,29,嗨,0,2020-02-25 18:03
https://weibo.cn//u/1561542275,新丸梦,男,河南,25,103,74,回复@lucky家家家:贪官也是这么想的，，，，,0,2020-02-25 13:22
https://weibo.cn//u/7372093357,我饿了停机了,男,其他,212,315,55,回复@学不会飞的信天翁:我也信了，有理有据不能不信啊,0,2020-02-25 11:41
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-02-25 10:01
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,疫情当前，拒绝谣言！,0,2020-02-25 08:58
https://weibo.cn//u/7376177599,塞北乌拉草,男,其他,8,39,4,嘿嘿……你品,0,2020-02-25 07:58
https://weibo.cn//u/6961565768,collectorsunny,男,山东,398,262,63,键盘无罪 谁有罪,0,2020-02-25 07:53
https://weibo.cn//337635222,经开刘孟德,男,陕西,10084,1638,74909,回复@薛清舫:早安,0,2020-02-25 07:18
https://weibo.cn//u/3902979327,霂赟_531,女,湖北,3,9,3,那么请问什么样的通行证能出新洲阳逻 能出在武汉 能出湖北省,0,2020-02-25 01:26
https://weibo.cn//rengshiyanjiu,海纳百晓美女生,男,广东,6509,4201,822,这也叫谣言？确定有亲戚拿了，并说今后会加强管理。当然大部分是到居民手里的,0,2020-02-25 01:21
https://weibo.cn//u/6448218363,王炸来啦,女,北京,1377,290,45,那么其他捐赠的那么多物资呢？如果发给医护家属和志愿者我个人觉得可以。只要不是层层剥皮就行。,0,2020-02-25 00:16
https://weibo.cn//u/5902310309,薛清舫,女,浙江,39924,4083,93548, ,0,2020-02-24 23:52
https://weibo.cn//u/3616824630,陈噶嘛桑,女,湖北,670,189,246,妈呀 捐赠那么多东西都去哪儿了 一个多月了也没见着东西啊 正常农副产品还涨价,0,2020-02-24 23:24
https://weibo.cn//u/3206187465,Kkkris12138,女,湖北,1141,479,146,那各地捐给武汉的蔬菜去哪里了？总共几十吨蔬菜，至少一半的社区没见过免费蔬菜，反而一致在消费天价的商超套餐,0,2020-02-24 23:24
https://weibo.cn//u/7332713391,修罗于飞,男,湖北,0,10,1,回复@修罗于飞:上半个月更离谱，附近一家超市，加菜涨到平时4倍，真的服了这些人,0,2020-02-24 22:54
https://weibo.cn//u/7332713391,修罗于飞,男,湖北,0,10,1,武汉的菜价最便宜是平时两倍，网上买那更贵，中百家乐福的便宜点，但是出不去啊，真的不懂，为什么全国援助武汉蔬菜，菜价还是这么高，来自武汉汉阳居民的疑问！,0,2020-02-24 22:53
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,疫情当前，拒绝谣言！,6,2020-02-24 21:14
https://weibo.cn//u/6185198663,不用电锯的光头强,男,河北,124,294,171,当你出来辟谣的时候，你就已经输了,0,2020-02-24 20:20
https://weibo.cn//u/2355015127,存在感的存在不存在,男,湖北,291,60,14,领菜我已经不想了，，，能不能调拨点便宜菜啊,0,2020-02-24 19:32
https://weibo.cn//u/2796288192,Capricorn奕児,女,北京,2,95,392,     举报             赞[0]         回复             2020-02-24 19:29:21 来自网页,0,2020-02-24 19:29
https://weibo.cn//u/2214095531,一诺千金唯若卿,男,广东,346,134,533,一人难趁百人意！,0,2020-02-24 19:01
https://weibo.cn//u/5456522394,牧大大威,男,福建,191,45,55,送给红十倒卖也是送出去🌶️,6,2020-02-24 18:06
