评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//marcovan,飞翔的Marco,女,江苏,7527,215,584,安哥天天忙着辟谣嘴都说干了，来，给安哥上茶,13,2020-03-02 14:43
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,不听🙉 不信🙈不传谣🙊,7,2020-03-02 15:32
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,造谣一张嘴，辟谣跑断腿！,4,2020-03-02 14:57
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-03-24 15:13
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:假的真不了！,0,2020-03-08 18:00
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:假的真不了！,0,2020-03-05 17:12
https://weibo.cn//u/5634736453,Tom5634736453,男,江苏,91,142,16,这些谣言制造者到底是什么心态？,0,2020-03-04 15:45
https://weibo.cn//u/1292743591,月月了9999,男,江苏,231,80,56,有些谣言危害有限用不着辟，对“人不传人，可防可控”这类谣言应该重点辟,0,2020-03-04 11:06
https://weibo.cn//u/2020641105,干啥喃老弟,女,其他,17,119,101,武大女博士    写个东西 全是错别字？ 我不信,0,2020-03-04 08:04
https://weibo.cn//zhengping827,汉字狂草007,男,北京,3274,261,1159,悼号、瞒不在乎、牛律大学。。。。。。这错别字别说博士，连高中都考不上吧e,0,2020-03-04 06:07
https://weibo.cn//u/7169130264,briwaynb,男,其他,27,199,41,从本科到博士需几年也算不对！牛津和牛律都分不清，估计还记得牛顿定律，以为英'国最著著名大学是纪念牛顿定律的。,1,2020-03-04 05:44
https://weibo.cn//u/7318728854,离太花,女,广东,0,9,2,现在谣言太多了，除了官方说的，我啥也不敢信了。,0,2020-03-04 00:45
https://weibo.cn//u/5339522637,Penceuy,女,其他,79,204,333,一看就是假的，博士生会写那么多错别字？！,0,2020-03-03 22:57
https://weibo.cn//u/5778789570,Daniel奶油蘑菇汤,女,其他,308,166,111,谁要死了能写这么长的信,0,2020-03-03 21:53
https://weibo.cn//u/1115118971,革掵青年老布什,男,其他,65058,2911,1546,疫情期间编这种 悲情谣言的 绝对是敌对特务，旨在对普通民众的集体团结意识进行 打击瓦解，隐含的意思是你们看，悲苦的家庭 出色的学子  不被救助 还在爱国 却无奈自杀，你们还爱这个国拥护这个政府有什么用？与,0,2020-03-03 21:22
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,辟谣了！,0,2020-03-03 20:44
https://weibo.cn//u/5999165565,小葫芦是天蝎座,女,海外,1177,568,229,回复@飞翔的Marco:这遗书里好多错别字，行文也太不像一个博士了,0,2020-03-03 18:22
https://weibo.cn//u/5860240050,TroubledFlake,男,海南,1202,156,65,回复@大长腿关刀:创作来源生活，这个语文水平，相信这里面的描述除了武大博士之外都是造谣者的自我写照吧。,1,2020-03-03 18:09
https://weibo.cn//u/6701321092,一方微雕工作室,女,江苏,790,135,167,不知有多少人在闲着无聊专门造谣让人家上当为了自己出名？,0,2020-03-03 17:48
https://weibo.cn//u/7369911938,随缘一笑202001,男,其他,5,39,3,     举报             赞[1]         回复             2020-03-03 17:36:48 来自网页,1,2020-03-03 17:36
https://weibo.cn//u/2284864310,loveOlivia001,女,广东,826,72,85,我不相信这是一个武大博士生的文笔,0,2020-03-03 17:23
https://weibo.cn//u/5340834901,网信大厂,男,河北,1970,64,106,【,0,2020-03-03 16:38
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-03-03 16:36
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,回复@再见浪涛_OY 的表态:谢谢,0,2020-03-03 11:11
https://weibo.cn//u/1263350423,平凡白勺世界,男,北京,40,68,79,怎么不说是谁在造谣呢?,0,2020-03-03 10:38
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,辟谣,0,2020-03-03 10:17
https://weibo.cn//u/5404625835,龙江检察,男,黑龙江,124311,4555,756267,回复@绥北检察:,0,2020-03-03 08:55
https://weibo.cn//u/6387746120,绥北检察,女,黑龙江,7553,86,213,     举报             赞[1]         回复             2020-03-03 08:47:44 来自网页,1,2020-03-03 08:47
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-03-03 08:25
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:假的真不了！,0,2020-03-03 07:12
https://weibo.cn//524023407,湘微笑8,男,湖南,34527,713,1630,//,0,2020-03-03 01:14
https://weibo.cn//sxzf,山西政法,男,山西,36879,278,23125,不信谣，不传谣。,0,2020-03-02 22:22
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4275,1189,460,安哥辛苦啦，天天辟谣,0,2020-03-02 20:42
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,     举报             赞[1]         回复             2020-03-02 20:15:54 来自网页,1,2020-03-02 20:15
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-03-02 19:36:51 来自网页,0,2020-03-02 19:36
https://weibo.cn//u/1608189941,猫原光辉,女,北京,4899,146,556,回复@大长腿关刀:逐渐发现网上这种人不少。,0,2020-03-02 19:36
https://weibo.cn//u/1608189941,猫原光辉,女,北京,4899,146,556,回复@飞翔的Marco:不请造谣的来一杯吗,0,2020-03-02 19:35
https://weibo.cn//u/1608189941,猫原光辉,女,北京,4899,146,556,发现有的人特别喜欢编故事讲故事，每天真真假假混淆不清。上次看到一个人说些不实的东西然后被人追着澄清，TA就说不跟你费话，我要写剧本了🍗,0,2020-03-02 19:34
https://weibo.cn//zjfxj,浙江政法,男,浙江,12097,502,161634,假的真不了！,0,2020-03-02 19:19
https://weibo.cn//u/6601819391,阳光一米多远,男,其他,0,33,3,把这个写遗书的骗子找出来，让我们看看是什么鬼,0,2020-03-02 19:14
https://weibo.cn//u/7312867486,空气微温,男,四川,42,54,200,代写遗书的人文笔如此细膩隽永🤮🤮🤮，打动人心，不找出来让大家认识认识吗？,0,2020-03-02 18:57
https://weibo.cn//u/3018368713,北渔·,男,山东,50045,147,1523,不应该安排网警找出发这个的人给处理下？这也太纵容造谣的了。,0,2020-03-02 18:39
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,我来收表情包,1,2020-03-02 17:49
https://weibo.cn//u/3278877460,Monster-伟,男,陕西,337,263,65,第一，不是弟一，中国字都不会打么？,0,2020-03-02 17:27
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:假的真不了！,0,2020-03-02 17:18
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:假的真不了！,0,2020-03-02 17:17
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,假的真不了！,0,2020-03-02 17:16
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:假的真不了！,0,2020-03-02 17:03
https://weibo.cn//u/5758857563,首相笑川,男,北京,875,575,90,某些人真是用心险恶,0,2020-03-02 16:59
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,假的真不了！,0,2020-03-02 16:43
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,转发微博,0,2020-03-02 16:22
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,//,0,2020-03-02 16:21
https://weibo.cn//u/6973829489,饭米米饭小米小饭,女,湖南,71,224,4,好的！在家当乖宝宝,0,2020-03-02 16:11
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,回复@桃木如英 的表态:谢谢,0,2020-03-02 16:10
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,回复@谁家D静静 的表态:,0,2020-03-02 16:10
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,回复@中国长安网:我乖吧,0,2020-03-02 16:03
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,回复@中国长安网:辛苦了！,0,2020-03-02 15:59
https://weibo.cn//u/6031134374,种花蒙懵,女,湖南,520,386,81,辟谣及时,2,2020-03-02 15:59
https://weibo.cn//u/6056393202,懒蛋蛋叫蛋黄哥,女,其他,1451,67,104,有这么好的文采写什么不好？,0,2020-03-02 15:57
https://weibo.cn//u/1195264525,rong3596,女,北京,17,1289,192,从疫情开始微博上那么多造谣的人都不要负法律责任吗，应该判刑加罚款,0,2020-03-02 15:57
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3896,官方信息最可靠！,6,2020-03-02 15:55
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791211,回复@Belle_81:安哥辟谣[加油],0,2020-03-02 15:49
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791211,回复@净-师傅给起的:正确！,0,2020-03-02 15:49
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791211,回复@周末别打我电话hh:不听 不信 不传,0,2020-03-02 15:48
https://weibo.cn//u/5508884062,龙亭司法行政在线,男,河南,1208,82,170,【,0,2020-03-02 15:46
