评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,科学防控，不必惊慌；加强管理，限制入境，两者缺一不可。,83,2020-02-28 18:44
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1370,千万管控好啊！别让咱们功亏一篑啊,49,2020-02-28 18:45
https://weibo.cn//u/1530389275,台湾媳妇_橡皮糖瑤,女,上海,562,271,433,上海市闵行人民法院审判员张文星徇私枉法滥用职权不依据事实证据判案行政不作为 现在疫情特殊时期，检举法官石沉大海。曝光这位人民法官也希望不要再浪费我们老百姓辛苦钱来养这种人。 如果大家感兴趣，有视频有录音有真相我会继续曝光张文星徇私枉法的证据。,0,2020-03-16 20:40
https://weibo.cn//u/5821703409,郭旭54118,男,其他,3873,25,5,     举报             赞[0]         回复             2020-03-05 13:41:19 来自网页,0,2020-03-05 13:41
https://weibo.cn//u/5469409586,Wellen_1101,男,广西,160,333,106,尖端科技人才且对国家有突出贡献的可以，其余都是垃圾，中国人口已经够多了！香港司法体系的前车之鉴这么快就忘了？？？？？？？？？？,0,2020-03-02 22:23
https://weibo.cn//u/5056754417,菜鸟一枚求帮助,女,其他,2002,42,97,轉發微博,0,2020-03-02 03:14
https://weibo.cn//u/6022171323,Rita-红叶,女,其他,186,170,26,回复@四川长安网:但是还是得严防严控，毕竟韩国疫情严重，回来的乘客不论是哪国人，都得严格检测，控制好,1,2020-03-01 15:14
https://weibo.cn//u/7337640543,素锦流年_wnp,男,河北,166,104,25,夸客金融：王豪。你同出借人当面承诺说会考虑增加催收外包，想尽一切办法催收，我们在等着看你兑现承诺，将出借款尽数收回！现在新冠疫情横行，对夸客出借人而言，天灾又人祸，苦不堪言，生存困难，雪上加霜！催收是仅存可以回钱的途径之一，务请全力做好催收工作！,0,2020-03-01 11:30
https://weibo.cn//u/3180813734,TAMMY应,女,四川,215,468,94,限制入境啊,0,2020-03-01 00:27
https://weibo.cn//vincelovefree,你好我是Angelawinnie,女,海外,3846,644,680,在成都街头游荡的棒子们是哪里来的？,0,2020-03-01 00:13
https://weibo.cn//u/2096956527,叫你搜不到la,女,湖北,114,563,149,不都是些代购跑进跑去的，囤货涨价赚一波,0,2020-02-29 22:40
https://weibo.cn//u/6094538596,栾川政法,男,河南,6113,150,5716,真相如此。,0,2020-02-29 20:57
https://weibo.cn//u/5403024085,唱二人转的活雷锋,男,山东,76,160,55,回复@9638随缘:十四亿分之一,0,2020-02-29 20:05
https://weibo.cn//u/1076633203,蹲蹲喵,女,四川,1205,824,254,回复@华庭猫:真的,0,2020-02-29 20:05
https://weibo.cn//u/5403024085,唱二人转的活雷锋,男,山东,76,160,55,中国公民也好，韩国公民也好，都需要隔离，下机就隔离，不能只测体温,0,2020-02-29 20:04
https://weibo.cn//u/1249209372,zorrojia,男,上海,116,114,42,回复@华庭猫:真的吗？什么情况,0,2020-02-29 19:04
https://weibo.cn//u/1249209372,zorrojia,男,上海,116,114,42,回复@未雨绸缪心机biao:对，不能一刀切,0,2020-02-29 19:03
https://weibo.cn//u/5215050497,柯里斯蒂亚诺罗纳尔多,男,河南,91,315,310,回复@Olivia08376:没毛病 韩国比较严重 大批回中国也得严格把控  病毒可别不分国籍的,0,2020-02-29 19:01
https://weibo.cn//hey58,悄悄咪西勒,男,四川,512,1003,8874,我想说，让这些人滚蛋,0,2020-02-29 18:45
https://weibo.cn//u/1215569487,皮卡强_,男,上海,1611,551,216,回复@四川长安网:不是一样？在韩国感染，病毒会区分中国人和韩国人吗？威海这种做法我认为应该全国推广。安全第一,3,2020-02-29 18:23
https://weibo.cn//u/6603478311,Yaloho_el,男,其他,188,78,24,这下丢人了。,0,2020-02-29 17:50
https://weibo.cn//u/5538021074,麦子自留地,男,上海,499,419,254,回复@几点下车的:陆毅一家还在日本了，现在日本也严重了,0,2020-02-29 17:07
https://weibo.cn//u/5538021074,麦子自留地,男,上海,499,419,254,回复@gigi09031101:那还不好，以后动不动游行暴乱，天天有瓜吃,0,2020-02-29 17:02
https://weibo.cn//u/5248028983,7dvb,女,其他,63,270,43,热搜前几名都是磕了药吗，脑子是进浆糊了,0,2020-02-29 17:00
https://weibo.cn//u/2402730807,都幸福吧2020,女,山东,4271,71,227,大部分是多少呢？要是100个人里有20个外国人也不少啊。。。也可能本来过完年韩国人就回来了，但现在疫情期间每次听说烟台又进来韩国航班都好害怕,0,2020-02-29 16:57
https://weibo.cn//u/2609576834,dltty22098,男,云南,29101,926,614,转发微博,0,2020-02-29 16:56
https://weibo.cn//u/6107979632,Best_ahui,男,山西,35,172,1112,回复@謀謀药:某些zf：我让你说话，让你说我想听的话，至于不想听的，你屁都得憋着,0,2020-02-29 15:58
https://weibo.cn//u/6107979632,Best_ahui,男,山西,35,172,1112,回复@Nicoconinico:仔细读一读新推出的法案吧，大家不都是只会带节奏的人,0,2020-02-29 15:56
https://weibo.cn//u/5384839455,本女侠是无敌的,女,其他,5,180,50,回复@謀謀药:苏州已经操作了  是先斩后奏  如果不尊重人民  国危难到时候我门也不会出头,0,2020-02-29 15:40
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,我参与了,0,2020-02-29 15:25
https://weibo.cn//u/5392741184,徐唯凯的微博,男,吉林,616,855,817,回复@左转丶天堂:我问了几个回来的人，他们就是不怕得病，说在韩国得病了韩国也不给他们治病，要是回来路上得病了中国也给免费治病,2,2020-02-29 13:52
https://weibo.cn//u/5786717397,珲莫西199202,男,其他,188,376,74,直接反对，不该存在！想想那些革命烈士，他们能想到自己用生命换来的和平、自己的子孙后代被送去和外国人和亲？？有点良心吧！！！中华民族用血肉筑起的伟大堡垒不能被别有用心的害群之马破坏！ ,4,2020-02-29 13:39
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,：航班乘客大多数是中国人,0,2020-02-29 12:24
https://weibo.cn//u/5366126627,狂奔的三飞,男,其他,219,210,33,反对外国人居留权！严防极端思想输入！,0,2020-02-29 10:54
https://weibo.cn//u/3186946411,华庭猫,男,广东,2630,897,705,成都那个航班159人，韩国人80人。,2,2020-02-29 10:20
https://weibo.cn//u/6668987442,颖书_t,女,山东,31,127,1,航班上多数是中国同胞，科学防控不恐慌。,0,2020-02-29 09:06
https://weibo.cn//u/6666773021,_子规声里驻年光,男,湖北,8929,85,160,我参与了,0,2020-02-29 08:34
https://weibo.cn//pahlj,黑龙江-平安黑龙江,女,黑龙江,21765,630,26591,辟谣啦~,0,2020-02-29 08:13
https://weibo.cn//u/7389830608,一目了然大师,男,河北,121,74,20,控制,0,2020-02-29 07:43
https://weibo.cn//u/5572315484,在孤独寂寞中奋斗终生,男,其他,23,140,31,回复@宇文话唠:1.这个法案没有任何的可操作性 。 2不符合我国的人口发展现状，我国人口每年一千万以上增长还会持续15～20年这是用人口模型算出来的，就算有相关的法案也要40年以后进入老龄化后。3现在是抗击疫情的特殊时期造谣离间舆论符合居心叵测的人的想法！,9,2020-02-29 07:05
https://weibo.cn//u/7339359852,木易JUN186,男,北京,218,426,199,限制入境,0,2020-02-29 05:59
https://weibo.cn//u/2670550801,琉璃905,女,辽宁,960,134,89,国家和民众付出多大的惨痛代价才有今天样子，难道让他们把我们这些天的付出都毁于一旦吗,0,2020-02-29 05:54
https://weibo.cn//u/1741029692,嘟嘟blog,男,云南,4912,368,646,管他是谁，统统和我们一样！隔离！,0,2020-02-29 02:35
https://weibo.cn//u/2884839004,万一我出事,男,其他,8786,256,201,也不说别的，怎么对我们的，怎么对他们。自治区现在连门都出不去。,0,2020-02-29 02:17
https://weibo.cn//u/2870229517,徘徊犹豫1208,女,福建,3562,786,189,其实想也知道，回来的肯定大都是中国人，在韩国的中国人本来也多，而且韩国再怎样，韩国人也不会想来中国避难吧，中国现在还是世界上疫情最严重的地方啊，不知道谁带的这节奏？,0,2020-02-29 02:09
https://weibo.cn//u/1731896883,冰河时期7,女,江苏,220,713,155,当初对湖北返回各地的人是怎么做的，现在就怎么做！,0,2020-02-29 02:05
https://weibo.cn//u/7305284972,JAMES旅行,男,广东,779,148,196,回复@几点下车的:出去赚的都是外汇啊。鼓励,0,2020-02-29 02:05
https://weibo.cn//u/5852023678,向着阳光奔跑2016,男,湖北,3,138,31,搞不得,0,2020-02-29 01:46
https://weibo.cn//u/5838583025,阿斌不能偷懒不能混,男,重庆,51,71,19,回复@快乐Y晨:现在确实很少也很严，但这不就是再开口子了吗？以后呢？,0,2020-02-29 01:41
https://weibo.cn//u/6264161650,最靠近北极星的地方,男,安徽,120,41,38,回复@Nicoconinico:如果法案通过，外国人在中国永久居留门槛降低的不是一个档次,4,2020-02-29 01:32
https://weibo.cn//u/2192744937,碎碎碎碎碎_LTS,女,海外,1316,534,179,？钓鱼还是真傻 都是同胞说话这么恶毒,0,2020-02-29 01:14
https://weibo.cn//u/6031134374,种花蒙懵,女,湖南,520,386,81,回复@再见浪涛_OY:同意,0,2020-02-29 01:08
https://weibo.cn//u/6031134374,种花蒙懵,女,湖南,520,386,81,一定要防控好！[加油],2,2020-02-29 01:08
https://weibo.cn//u/2565339103,颍怀,男,安徽,1149,577,174,回复@謀謀药:这帮国贼对得起为了保卫中华民族，为中华民族存亡奔波、战斗、牺牲的先烈吗？他们的死难道一文不值吗？,2,2020-02-29 00:50
https://weibo.cn//u/6598863546,Nicoconinico,男,江苏,3,8,12,回复@謀謀药:这么说吧，能在中国拿到永久居住证的概率是十万分之一,2,2020-02-29 00:40
https://weibo.cn//u/2608118651,Legalhigher,男,海外,17,1401,489,管他是什么人，就算外星人有传播危险的都应按规定隔离防疫,0,2020-02-29 00:21
https://weibo.cn//320005,达人青猫,男,其他,25315,835,3888,关键不是进来的是谁，网友关心的是对入境者进行严格隔离：不要让外籍人员有超国民待遇，让他们很潦草地就突破中国严格的防控网，一定要对入境者，包括外籍入境者，一视同仁进行点对点严格隔离,3,2020-02-29 00:19
https://weibo.cn//zhaomeng1980,萌者必达,女,北京,9935,297,875,哪的人有什么关系呢？从韩国回来的就是风险啊！,0,2020-02-29 00:16
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,一视同仁地严防死守吧，毕竟前期付出的重大努力不能白费！,7,2020-02-28 23:39
https://weibo.cn//u/6071564322,Naurore,男,宁夏,112,100,26,科学防控，加强管理说的好听，但是落实啊。我们这一个从伊朗回国的入境人员，居然只是测个体温就放行，都不带隔离观察14天的，一路经过上海兰州，最后在中卫市当地被检查确畛新官，直接导致我们宁夏防疫成绩倒退好多天，这种外松内紧标杆不一的做法让人好气,0,2020-02-28 23:22
https://weibo.cn//u/3188251354,散热风扇自动化,男,广东,859,71,283,不可能，好多中国明星都跑出去避难了,0,2020-02-28 23:21
https://weibo.cn//u/2249713821,留白人生留白,男,北京,931,388,185,回复@月半饼饼:直接进方舱吧,0,2020-02-28 22:48
https://weibo.cn//u/1225378270,am泡泡,男,山东,180,781,200,关键时刻。,0,2020-02-28 22:33
https://weibo.cn//u/6467723002,平平无奇的赚钱小可爱,女,海外,5,148,24,自己说要饿死病毒 又给病毒喂食,0,2020-02-28 22:31
https://weibo.cn//u/5819682444,Liissa_,女,海外,136,96,32,我参与了,0,2020-02-28 22:23
https://weibo.cn//u/6685663067,模子不会唱歌,男,上海,129,300,53,还是别让进来了,0,2020-02-28 21:55
https://weibo.cn//u/5444479569,ErlKng,男,其他,283,145,80,这些人绝对是刚开始看见国内严重跑到国外了，然后发现又跑回国内，建议可以列个名单，以后战争时期进行监视，免得叛国,1,2020-02-28 21:52
https://weibo.cn//u/1302249390,牧羊的唐僧,男,湖北,414,98,155,请拿证据,0,2020-02-28 21:51
https://weibo.cn//u/6172527421,莫名清单,女,其他,137,156,5,不管什么人老实服从指令隔离，别叽叽歪歪，是中国人更要顾大局,2,2020-02-28 21:49
https://weibo.cn//dandanoo,倣苼--瓯,女,浙江,26366,2864,582,一定要管控好，可不能让我过前功尽弃啊,0,2020-02-28 21:39
https://weibo.cn//u/5319222838,FriedrichIV,男,北京,0,187,54,这就是所谓的“外国人”,0,2020-02-28 21:36
https://weibo.cn//u/1980500423,缒芸锝凨,男,山东,245,322,230,回复@謀謀药:中国人口已经够多了，计划生育不是给他们腾地的！,5,2020-02-28 21:33
https://weibo.cn//u/2392462455,哈尔滨菲欧钻石,女,广东,70,190,69,没什么想说的，相信政府、相信国家,0,2020-02-28 21:24
https://weibo.cn//u/5708128997,白日旧梦shero,女,安徽,46,138,8,不信谣不传谣不造谣，为疫情防控工作出力,0,2020-02-28 21:21
https://weibo.cn//u/2542819233,so约束,男,四川,66,62,20,到疫情更严重的地方避难？？？？？,0,2020-02-28 21:19
https://weibo.cn//u/6025777640,多么美味,男,山东,86,182,47,看不起这帮子人，中国有难去国外，国外有难回中国，免费住免费吃，强烈鄙视。,0,2020-02-28 21:19
https://weibo.cn//hxw1118,晚世不恭,男,湖北,1148,1471,455,中国不是难民集中营,1,2020-02-28 21:18
https://weibo.cn//hxw1118,晚世不恭,男,湖北,1148,1471,455,: 我们不想牺牲自己的经济和医生去为外国人服务！我们本来就没完全平息疫情，不想全国人民共同努力毁于收留外国人！疫情在武汉暴发时，我们中国人在外国举步艰难！我们可以捐物资疫情灾害的国家，但不允许，用我们的场地去求助他们！,8,2020-02-28 21:18
https://weibo.cn//u/2929597041,砳高,男,辽宁,148,364,124,回复@几点下车的:中国人一看还是中国厉害，就都从韩国飞回来了,1,2020-02-28 21:16
https://weibo.cn//u/2332985130,左转丶天堂,男,江苏,87,276,11384,回复@四川长安网:,15,2020-02-28 21:16
https://weibo.cn//u/5150828949,加菲猫加菲,女,广东,208,209,21,咱能先顾好自己的国家，自己的同胞吗，在生死面前我是自私的，我只想我们大中国五十六个民族的同胞，都不要失去家人，都健健康康的活著,0,2020-02-28 21:15
https://weibo.cn//u/5150828949,加菲猫加菲,女,广东,208,209,21,我参与了,0,2020-02-28 21:14
https://weibo.cn//u/2242473491,西西莉娅baby,女,山东,390,96,16,我身边有韩国回威海的人员为了躲避14天隔离，选择先飞到北京，再到威海，请相关部门严查这样的人员！,2,2020-02-28 21:08
https://weibo.cn//yaochunrong,快乐Y晨,女,上海,16,240,474,回复@謀謀药:广州黑人都是没有中国身份证的，建议国家把非法居留的黑人遣返回去！,12,2020-02-28 21:07
https://weibo.cn//yaochunrong,快乐Y晨,女,上海,16,240,474,回复@謀謀药:国家对进来的人都是有严格要求的吧？都是非常有贡献的人才能永久拘留，你要知道外国人取得中国身份的人非常的少了！相比较中国人一百多万在国外买套房子就可以移民的，真的是门槛高多了！你自己去查外国人在中国终永久居留的人多少！国家考虑国情的，中国人口多，不是移民国家！不可能放那么多外国人来,9,2020-02-28 21:06
https://weibo.cn//yueyingyun,淋韵烟火,男,湖北,2459,518,343,来也行，必须隔离一个月,0,2020-02-28 20:54
https://weibo.cn//u/5777666197,A隆颜美容养生会所,女,其他,502,305,1,担心 回来的同胞 有没有被感染的,0,2020-02-28 20:53
https://weibo.cn//xiaobaozihime,未雨绸缪心机biao,女,海外,179,324,4223,我住在日本，日本疫情也可能控制不住了，我没想过回国，觉得飞机上如果有感染者更危险。但是我想替回国的一些同胞们说句话。请记住我们中的一些人给你们寄口罩防护服捐款捐物资的时候！,10,2020-02-28 20:38
https://weibo.cn//u/6071495727,Olivia08376,女,上海,223,126,10,来自疫情严重地区的，不管国籍哪里，都要严格管控,5,2020-02-28 20:35
https://weibo.cn//wintercreek,悲催的国度,男,北京,571,61,77,看看后续吧,0,2020-02-28 20:33
https://weibo.cn//u/6391337857,一叶草A,女,广东,1013,390,120,感觉这些谣言，很多时候都是外部的Gaza在故意煽动，制造相互矛盾,0,2020-02-28 20:31
https://weibo.cn//u/7383379573,未来火雷神山,男,其他,445,325,52,回复@謀謀药:觉醒沉默的民众.对,0,2020-02-28 20:22
https://weibo.cn//u/5505894068,拿铁微甜YoYo,女,安徽,3061,73,231,回复@gigi09031101:同意你的观点,0,2020-02-28 20:20
https://weibo.cn//u/6735251134,EMber在余烬后,女,其他,1837,541,155,无论是哪里人都要隔离,0,2020-02-28 20:20
https://weibo.cn//u/5582336081,全是宣传,男,山西,651,239,45,你会到非洲 刚果躲避埃博拉病毒吗？,0,2020-02-28 20:06
https://weibo.cn//u/3439358104,执扇掩笑boy,男,江苏,658,188,100,@胡锡进,0,2020-02-28 19:59
https://weibo.cn//u/7345354600,hime22019,男,江苏,18,184,18,回复@永恒丶未央:征求意见网页打不开，大家可以到国务院网站，有个我向总理说句话，去留下大家的意见，用每个人微薄的力量保护中华民族!,9,2020-02-28 19:58
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,全选题，缺一不可,4,2020-02-28 19:56
https://weibo.cn//u/1876725803,9638随缘,女,广东,3766,757,518,: 我党是从群众中来到群众中去的！要听群众意见，走群众路线！现在全民反对外国人永久居留权条例！！！劳动力问题有其他解决办法！也可以引进精英！但是必须是精英阶层！！！不是阿猫阿狗都随便入来永久居留！！！,34,2020-02-28 19:50
https://weibo.cn//u/5539653510,莱昂纳多迪卡普里囧,男,河南,87,115,49,17条外国人有家庭团聚需要属于下列情形之一的可以申请永久居留资格 1配偶为居住在中国境内的中国公民或者永久居留外国人婚后已在中国境内与配偶共同生活五年且每年实际居留累计不少于九个月有稳定生活保障和住所 2未满十八周岁的子女投靠居住在中国境内的中国籍父母或者在中国境内永久居留的外国籍父母,1,2020-02-28 19:49
https://weibo.cn//u/5721431005,用户征程,男,北京,45958,3502,5643,我参与了,0,2020-02-28 19:49
https://weibo.cn//u/6176174063,四川长安网,男,四川,20076,848,231963,韩国来的人≠韩国人,27,2020-02-28 19:47
https://weibo.cn//u/3179443875,美丽的oscar,男,吉林,2830,57,212,回复@真的是言多必失啊:制定条例是不是得咨询社科院，全国人大法务委员会，政法委啊？,0,2020-02-28 19:45
https://weibo.cn//u/2682126753,小细腿舅舅,男,其他,209,490,129,回复@真的是言多必失啊:条例是不需要人大通过的，只要部门或地方政府通过就行了，所以不形成法条而只是条例，为的是什么？你思品！,0,2020-02-28 19:45
https://weibo.cn//u/1350831825,弥奈里豆儿,女,陕西,4653,267,497,回复@草芥兔:如果是邪教成员，那思路就不好说了，别说少部分是韩国人，中间有一个带病毒的邪教就够喝一壶的了，谨慎点儿没什么不好,1,2020-02-28 19:44
https://weibo.cn//u/2257581067,草芥兔,男,辽宁,828,895,346,韩国人往这边跑的可能性很小。我们这边是全球最严重的地区，再加上外媒妖魔化的作用，他们怎么还敢过来。换做你，你会过来吗？,0,2020-02-28 19:40
https://weibo.cn//u/6071675229,暗箭加一,女,上海,393,349,390,都是同胞，一直滞留在外，加强防控 做好隔离就好,1,2020-02-28 19:37
https://weibo.cn//u/6395237683,长江边的少年,男,其他,28,329,5,在机场附近建隔离收容所，医学检查、隔离确定安全后放行，报备行程。,1,2020-02-28 19:37
https://weibo.cn//u/2645820887,小星辰2050,女,河北,1291,283,334,相信国家，不必惊慌。,1,2020-02-28 19:17
https://weibo.cn//u/3098056251,树夏星河,男,江苏,30,296,22,全是中国过去代购的人。我周围就有,0,2020-02-28 19:13
https://weibo.cn//u/6793789650,我是程子啊,男,广东,43,514,188,如果是国人就必须允许回来啊，回来后是检查或隔离那另说。,0,2020-02-28 19:10
https://weibo.cn//u/5392741184,徐唯凯的微博,男,吉林,616,855,817,家乡建设你不在，千里投毒你第一,2,2020-02-28 19:09
https://weibo.cn//u/6246128920,杨小熙熙607,女,其他,11,69,4,初时出国避难，现在韩国沦陷了回国避难，这些狗应该解除国籍。。,7,2020-02-28 19:08
https://weibo.cn//u/5090931559,余乃竹引清风,男,其他,1176,768,30,回复@謀謀药:反对对外国人永久居留权！中国不是一个移民国家。外国人还讲究人权。在中国的外国人越多就越容易在中国搞动乱。坚决反对。,31,2020-02-28 19:07
https://weibo.cn//u/2270037040,我也不整,男,云南,329,228,224,先隔离再说,0,2020-02-28 19:07
https://weibo.cn//u/5384043523,我与我周旋久丶,男,四川,1164,1012,165,回覆,1,2020-02-28 19:06
https://weibo.cn//u/7373901321,Nomad015,男,山东,114,136,45,那之前的说法算谣言吗,0,2020-02-28 19:04
https://weibo.cn//u/1837100304,从那高地上远眺,男,海外,1430,201,100,回复@永恒丶未央:是啊，至少要能提提嘛！,0,2020-02-28 19:03
https://weibo.cn//u/5384043523,我与我周旋久丶,男,四川,1164,1012,165,回覆,0,2020-02-28 19:02
https://weibo.cn//u/5384043523,我与我周旋久丶,男,四川,1164,1012,165,回覆,0,2020-02-28 19:01
https://weibo.cn//u/6971561031,曼悠悠2017,女,湖北,395,308,37,成都昨天到的飞机上，80个韩国人，这怎么说？,2,2020-02-28 19:00
https://weibo.cn//u/7278872239,金毛_饽饽,女,北京,14,49,4,科学防控。,0,2020-02-28 19:00
https://weibo.cn//u/1837100304,从那高地上远眺,男,海外,1430,201,100,回复@永恒丶未央:立法是人大说了算的，都是意见征集了，还投票干嘛。,0,2020-02-28 18:59
https://weibo.cn//u/5581928263,书虫一M,男,甘肃,32060,1146,1947,我参与了,0,2020-02-28 18:59
https://weibo.cn//u/6025739841,李先彬有一筐猪,男,海南,61,71,98,国内疫情的时候跑韩国那批人是不是跑回来了？,3,2020-02-28 18:57
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,我就喜欢安哥这么体贴给我有两者兼顾的选择,1,2020-02-28 18:53
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81801,406,64176,转发微博,0,2020-02-28 18:51
https://weibo.cn//u/6860583751,忘憂·君,女,香港,26063,1375,93644,相信科学,4,2020-02-28 18:51
https://weibo.cn//u/5384043523,我与我周旋久丶,男,四川,1164,1012,165,想请问下中国政府法制信息网里的立法意见征集的文件为何不能投票,23,2020-02-28 18:51
https://weibo.cn//wuxianghua,華NIKE,男,江苏,268,108,153,反正国人反映的问题国家最好重视下，有则改之，无则加勉。,3,2020-02-28 18:50
https://weibo.cn//u/6078006739,种花家的家家448,女,甘肃,664,519,154,相信国家能够把好关,4,2020-02-28 18:50
https://weibo.cn//u/5795359218,几点下车的,男,山东,4227,387,282,中国人一看韩国比中国厉害就都飞回来了,25,2020-02-28 18:50
https://weibo.cn//u/6149616417,panda-piaaz达达达,女,海外,790,566,110,如果真的来避难的，也不是不可以，但是麻烦守一下中国人的规矩，别瞎溜达，隔离隔离，得病了好好治，别乱祸害人。,3,2020-02-28 18:49
https://weibo.cn//u/6722963808,维稳先锋卡菊伦,男,湖北,316,229,359,这是看到国内疫情紧张没敢回来。现在韩国爆发又不敢待的一群人。,6,2020-02-28 18:46
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1370,千万管控好啊！别让咱们功亏一篑啊,49,2020-02-28 18:45
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,必须严防严控，毕竟我们是可是付出了巨大代价才有现在比较好的局面的...,37,2020-02-28 18:45
