评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1370,这个造谣者是何居心,182,2020-03-01 11:17
https://weibo.cn//u/3183665513,紫_慕风,女,其他,2029,878,408,到那儿都在遵守规矩！尊重是靠自己做出来的！！,82,2020-03-01 11:20
https://weibo.cn//u/6110979724,钱礼和利君雅便后用左手吃饭,男,其他,157,584,27,说实话现在就是这种故事我都一概不信,43,2020-03-01 11:31
https://weibo.cn//u/5494759976,海上老顽童91740,男,其他,3,1,2,你们负责任地调查了吗？,0,2020-03-24 20:01
https://weibo.cn//u/3044898143,幕僚98,男,广东,1305,293,40,把造谣者丢去西伯利亚去做苦役！！！,1,2020-03-23 01:09
https://weibo.cn//empirefleet,穿西装的军団-,男,海外,2575,1949,728,回复@金桔金桔j:希望病毒有把握早日战胜你们这群冷血恶魔。,0,2020-03-15 14:52
https://weibo.cn//u/5850705798,金桔金桔j,男,湖北,14,105,41,回复@穿西装的军団-:海外佬也这么关心中国事啊,0,2020-03-15 11:16
https://weibo.cn//u/5850705798,金桔金桔j,男,湖北,14,105,41,回复@穿西装的军団-:所以就病急乱投医？没把握的东西公布除了引发恐慌还能做什么？科学是严谨的，麻烦你别用上帝视角看行吗？蠢东西,0,2020-03-15 11:14
https://weibo.cn//empirefleet,穿西装的军団-,男,海外,2575,1949,728,回复@金桔金桔j:所以要用人命来验证你的结论？这种人，不是蠢，就是坏。,0,2020-03-14 23:42
https://weibo.cn//u/5850705798,金桔金桔j,男,湖北,14,105,41,回复@Monster孙小圣:,0,2020-03-14 17:23
https://weibo.cn//u/7373595279,Monster孙小圣,男,吉林,141,196,20686,回复@金桔金桔j:你家死绝了，死🐎得玩应……,0,2020-03-14 17:21
https://weibo.cn//u/5850705798,金桔金桔j,男,湖北,14,105,41,回复@穿西装的军団-:也就你这种睿智会说出这种话了，你一得病医生就能给你确诊了？一种新型病毒没有任何临床的经验谁敢下结论？像你这种蠢才没了解清楚事物就瞎几把公布结果的你就满意了？,0,2020-03-14 16:35
https://weibo.cn//u/5850705798,金桔金桔j,男,湖北,14,105,41,回复@Monster孙小圣:你的意思，你家里死绝了吗？现在疫情有没有防治住？,0,2020-03-14 16:31
https://weibo.cn//207072841,隔壁热心的邻居老谢,男,北京,5117,477,766,回复@西半球-_-没亲人:嗯嗯，我会加油的[加油][加油][加油],0,2020-03-11 01:26
https://weibo.cn//207072841,隔壁热心的邻居老谢,男,北京,5117,477,766,回复@西半球-_-没亲人:借您吉言,0,2020-03-10 15:38
https://weibo.cn//u/1842310661,导导弹弹,男,其他,1705,253,99,转发微博,0,2020-03-10 12:08
https://weibo.cn//u/7373595279,Monster孙小圣,男,吉林,141,196,20686,造谣式辟谣……江东六十四屯历历在目，杀你族最多，侵占你族土地最多，还总拿人当爹,2,2020-03-08 15:12
https://weibo.cn//u/7373595279,Monster孙小圣,男,吉林,141,196,20686,回复@金桔金桔j:按照你的说法……鼠疫也叫可防可控～人类只要没死绝，都叫可防可控。,0,2020-03-08 15:10
https://weibo.cn//u/5026347980,Jeffrey_1216,男,湖南,211,587,238,回复@Makinami-Mari-Illustrious:你是指的官方辟谣疫情不人传人🐎,0,2020-03-08 14:22
https://weibo.cn//u/6774569242,凌浩喜剧魔术,男,上海,765,201,12912,回复@低端小毛驴:哈哈，说什么好呢，爹就是爹,0,2020-03-08 10:09
https://weibo.cn//207072841,隔壁热心的邻居老谢,男,北京,5117,477,766,回复@屯河之旅:央视总台台长你好👋,0,2020-03-07 12:40
https://weibo.cn//u/2495405991,孤独浪子伍发生,男,广东,49247,2605,2379,     举报             赞[0]         回复             2020-03-07 10:19:57 来自网页,0,2020-03-07 10:19
https://weibo.cn//u/2495405991,孤独浪子伍发生,男,广东,49247,2605,2379,警方要严惩造谣生事者。,0,2020-03-07 10:18
https://weibo.cn//u/7335889710,屯河之旅,男,上海,664,408,132,回复@隔壁热心的邻居老谢:那几天央视在多个频道多时段由七个播音员分别播报武汉七人造谣的新闻，你觉得这样重要的新闻央视不做任何核实吗？如果省里市里让播什么就播什么，央视还有存在意义吗？是中央的喉舌还是地方政府的喉舌？,0,2020-03-07 09:48
https://weibo.cn//u/2363871843,铁粉小白,男,四川,482,140,227,看到造谣瑟瑟发抖,0,2020-03-07 09:47
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,可能作风不同。,0,2020-03-06 19:58
https://weibo.cn//u/2848704913,甜源生鲜,男,辽宁,320,267,116,没事闲的！,0,2020-03-06 19:42
https://weibo.cn//u/5956633538,空技厂J7W1,男,海外,34,215,6,回复@雨浅浅浅浅笑:哦？原来是在教训地图炮？好嘛，那👨🏻🦳先回避一下嗷，宁继续，不要停，加油,0,2020-03-06 17:12
https://weibo.cn//u/5956633538,空技厂J7W1,男,海外,34,215,6,回复@雨浅浅浅浅笑:那跟我说的有什么不对哩？我不就是说武汉政府失职嘛，宁搁这复读机？,0,2020-03-06 17:11
https://weibo.cn//u/6681361797,没人在这空壳,女,浙江,185,113,65,回复@中国长安网:虚空辟谣 我们都想当面借问你呢,0,2020-03-06 15:53
