评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,不传谣！不信谣！愿疫情早日结束，生活早日恢复正常！加油💪,4,2020-03-09 21:43
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,机场要复航，前期准备工作超级多，哪儿有那么简单,15,2020-03-09 21:27
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-03-19 12:37
https://weibo.cn//u/5832342160,阿珀,男,其他,219,462,822,回复@Muc夙愿:没有啊,0,2020-03-11 23:11
https://weibo.cn//u/6657275907,暖心人0837,男,山东,4,88,18,武汉回应湖北……是不是级别不太对啊,0,2020-03-11 21:45
https://weibo.cn//u/3153634505,Muc夙愿,男,广东,363,690,461,的确开卖了啊,0,2020-03-11 19:53
https://weibo.cn//u/3153634505,Muc夙愿,男,广东,363,690,461,图片评论 ,0,2020-03-11 19:53
https://weibo.cn//u/3153634505,Muc夙愿,男,广东,363,690,461,这个不是开卖了吗 ,0,2020-03-11 19:52
https://weibo.cn//u/3153634505,Muc夙愿,男,广东,363,690,461,回复@净-师傅给起的:那这个怎么回事， 评论配图,0,2020-03-11 19:52
https://weibo.cn//u/3743011561,ABCMBOYS,男,北京,364,3,206,不可复航，太吓人了,0,2020-03-11 18:01
https://weibo.cn//wanglin881024,你管我叫啥是不是,女,山东,0,92,234,回复@净-师傅给起的:但是的确是从28号开始有飞往武汉的航班了,0,2020-03-11 16:49
https://weibo.cn//u/6501639595,包头长安网,男,内蒙古,3359,59,13867,【,0,2020-03-11 09:45
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-03-11 09:19
https://weibo.cn//u/2638711612,tansy寶寶是個天才少女,女,广东,1034,725,300,我們還可以從湖南走 畢竟也就兩步路,0,2020-03-10 21:59
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-03-10 18:16:21 来自网页,0,2020-03-10 18:16
https://weibo.cn//u/6751034130,摄影推送,女,北京,150,72,6387,加油,0,2020-03-10 15:48
https://weibo.cn//u/2643114963,呼噜不响,男,黑龙江,1044,652,237,湖北加油，中国加油！,0,2020-03-10 15:03
https://weibo.cn//u/7387460974,陕西省网络举报中心,男,陕西,1600,126,1983,#武汉机场回应湖北各机场即将复航#：提前准备 未定时间     举报             赞[0]         回复             2020-03-10 14:46:50 来自网页,0,2020-03-10 14:46
https://weibo.cn//u/6254583261,宁夏政法,男,宁夏,16749,325,23377,湖北加油！,0,2020-03-10 12:29
https://weibo.cn//u/1781304425,LSing小太阳,女,黑龙江,1391,639,217,转发微博,0,2020-03-10 11:06
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013, ,0,2020-03-10 09:37
https://weibo.cn//u/3272980043,晋中政法,男,山西,11932,164,3333,//,0,2020-03-10 08:53
https://weibo.cn//sxzf,山西政法,男,山西,36879,278,23125,不造谣！不信谣！不传谣！,0,2020-03-10 08:11
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,谣言满天飞，辛苦安哥了,1,2020-03-09 23:39
https://weibo.cn//u/1084854274,常德中院,男,湖南,14299,459,83211,转发微博,0,2020-03-09 23:38
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,希望早日看到湖北恢复正常的一天,0,2020-03-09 23:33
https://weibo.cn//u/6555642914,旗舰坞,男,其他,4,5,1,#万众一心 百毒不侵#,0,2020-03-09 23:21
https://weibo.cn//lxm98,疯子lxm,男,湖北,3,218,280,在外地工作的人何时可以放我们出去？都快五十天了，工资，房贷车贷，一直让我们理解理解，我们够理解配合了，谁来理解我们呢？,1,2020-03-09 23:12
https://weibo.cn//changan,中国长安网,男,北京,40352,1138,12791022,回复@Belle_81:一起加油！,0,2020-03-09 22:55
https://weibo.cn//u/1321657187,糖美丽是么莹呀,女,其他,10539,344,863,胜利在望,0,2020-03-09 22:46
