评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3260981424,月半饼饼,女,北京,5716,514,1369,这PS技术是在天桥儿上学的吧,53,2020-03-06 15:19
https://weibo.cn//u/5908184802,吉林政法声音,女,吉林,55909,1477,443315,谣言止于智者！不信谣 不传谣！,17,2020-03-06 15:59
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,安哥：战“疫”形势虽在好转，但一切还需耐心等待！,9,2020-03-06 15:18
https://weibo.cn//u/6320804053,爱吃天使的栀酒,女,江苏,14,57,15,回复@AndyYZW:把宁🐴藏好嗷,0,2020-03-09 11:51
https://weibo.cn//u/6170163152,wenyi46149,男,其他,455,34,23,"O,  Ok, 谢谢平台。",0,2020-03-09 07:38
https://weibo.cn//u/6988886482,看新京看心惊,男,湖北,5,74,8,这哪里是PS，是用画图粘贴复制的吧！,0,2020-03-08 18:21
https://weibo.cn//u/1248896533,熊猫先生有点烦躁,男,浙江,2261,348,817,图都P不好还好意思在还造谣，笑死人,0,2020-03-08 15:38
https://weibo.cn//u/5602620237,用户匆匆忙,男,山东,1174,128,109,冷静点会有办法的！,0,2020-03-08 11:16
https://weibo.cn//u/2720046463,没良心肚子,男,黑龙江,338,587,194,谣言止于真相,0,2020-03-08 10:17
https://weibo.cn//u/5644552517,马丁的沙丁鱼酱,男,北京,144,92,66,抓他,0,2020-03-08 07:28
https://weibo.cn//u/6264506991,饼酱吐槽,女,湖北,366,87,4170,就算是小孩子P的，也还是不少人信,1,2020-03-08 01:22
https://weibo.cn//u/1229127265,和你去看海咧,男,湖北,3988,218,130,我觉得标题P的不错啊,0,2020-03-08 00:32
https://weibo.cn//u/2171283381,新世纪的赵某,男,广东,362,311,367,@小橙柿子,0,2020-03-08 00:29
https://weibo.cn//lcy12138,刘梓卿_Christ,男,海外,10,10,144,回复@AndyYZW:又来蹭热度,0,2020-03-07 23:47
https://weibo.cn//u/3128506742,你不是我一怎懂我的心,女,广东,314,52,52,還讓在天門的我小激動了一下,0,2020-03-07 23:11
https://weibo.cn//u/6299770255,炖了那条鱼丶,男,其他,28,163,4,那就是赤壁咯,0,2020-03-07 21:31
https://weibo.cn//u/2931026514,李德豪_,男,广东,153,277,48,好奇PS来干什么！还嫌不够乱吗,0,2020-03-07 20:06
https://weibo.cn//u/1664076861,郭怀东,男,河南,21909,851,17951,p点什么不好，做这事是真愚蠢，希望在拘留所里好好反思。,0,2020-03-07 19:54
https://weibo.cn//u/2525477215,没有如果Yc,女,广东,249,193,129,吃饱了撑的，天天造谣。,0,2020-03-07 19:25
https://weibo.cn//799012267dongshine,赟溪,男,湖北,519,906,976,在屋里闲的蛋疼的人必须为他做的无知行为付出代价,0,2020-03-07 19:16
