评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,其实有个问题我憋了很久了，看到安哥每天跑断腿地辟谣，我猜安哥的蚂蚁森林肯定收了很多能量种了好多树了吧？,18,2020-03-14 21:47
https://weibo.cn//u/1401376167,净-东方净,女,北京,2163,755,311,安哥：就算待家里待太久，也不能胡言乱语、移花接木、无中生有哦！,22,2020-03-14 19:55
https://weibo.cn//u/6345028642,云南政法,男,云南,39188,828,37036,无中生有，胡言乱语，移花接木,10,2020-03-14 20:18
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-03-18 13:43
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:无中生有，胡言乱语，移花接木,0,2020-03-18 09:18
https://weibo.cn//u/5649846401,三只男饭-小夏,男,安徽,96,360,108,回复@云南政法:,0,2020-03-16 22:38
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:无中生有，胡言乱语，移花接木,1,2020-03-16 17:54
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,无中生有，胡言乱语，移花接木,0,2020-03-16 17:53
https://weibo.cn//u/6360547889,德宏政法,男,云南,31401,186,1014,回复@云南政法:,0,2020-03-16 15:22
https://weibo.cn//u/3227376397,亦然一叶,女,湖北,619,200,58,这是多想黑政府呀,0,2020-03-16 15:19
https://weibo.cn//u/6501639595,包头长安网,男,内蒙古,3359,59,13867,【居民发热瞒报致一家五口送医？真相是……】,0,2020-03-16 15:11
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-03-16 11:15
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:无中生有，胡言乱语，移花接木,0,2020-03-16 09:28
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013, 无中生有，胡言乱语，移花接木,0,2020-03-15 23:05
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:无中生有，胡言乱语，移花接木,0,2020-03-15 13:33
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:无中生有，胡言乱语，移花接木,0,2020-03-15 12:18
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:：无中生有，胡言乱语，移花接木,0,2020-03-15 11:57
https://weibo.cn//foxmuffler,狐狸围脖,女,四川,78199,2456,2656,造谣的都抓起来,0,2020-03-15 09:38
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-03-15 09:18
https://weibo.cn//u/3185339847,淡调调儿,女,上海,558,286,27,每次的辟谣最后都变成了打脸,0,2020-03-15 07:23
https://weibo.cn//u/7093041724,周指緊扣干,女,广西,722,63,5,【居民发热瞒报致一家五,0,2020-03-15 01:30
https://weibo.cn//u/7271812553,十句情话九句谎PInk,男,湖南,775,67,3,【居民发热瞒报致一家五,0,2020-03-15 01:24
https://weibo.cn//sxzf,山西政法,男,山西,36878,278,23125,宅家不能无事生非，理性！克制！,0,2020-03-14 23:18
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,回复@中国长安网:嘻嘻好巧啊，我也是,0,2020-03-14 21:53
