评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6345028642,云南政法,男,云南,39188,828,37036,严惩不义之徒！！,16,2020-03-15 17:36
https://weibo.cn//u/5100452224,贝儿贝尔Belle,女,其他,70,164,93,太缺德了！,15,2020-03-15 17:37
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,必须严惩！！！,4,2020-03-15 19:00
https://weibo.cn//csj3000,洞庭湖童话,男,湖南,7706,152,887,刚刚惊闻一起发生在内蒙古的伤医噩耗！沉默许久，突然觉得对这种事我已经没有什么好说的了，因为曾经说得太多了，重复太多次了，所以我早就厌烦了！为什么会厌烦？因为说了也没人会听，说了也没有改变，说得再好也纯粹是自我安慰而已。因此，对这种事我就看看而已，争取不发生在自己身边我就烧香拜佛了,1,2020-03-21 16:07
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-03-19 11:54
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,1,2020-03-18 13:41
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:严惩不义之徒！！,1,2020-03-18 09:32
https://weibo.cn//u/6026552807,小m型世界的蓝星王者,男,上海,322,292,10670,疫情之下中日韩终于联防联控起来了，,0,2020-03-17 15:37
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:严惩不义之徒！！,0,2020-03-17 14:06
https://weibo.cn//u/1618000223,长安西青,男,其他,2697,71,182,牟不义，必严惩,0,2020-03-17 13:58
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-03-17 11:16
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-03-17 09:02
https://weibo.cn//ggyyde77,我真的不想变胖子,女,湖北,5694,413,787,储备肉怎么到他手上了？,0,2020-03-16 23:04
https://weibo.cn//u/2144164342,长春火星,男,其他,2790,164,575,他出售的商品超过了正常差价了吗？疫情期间商品缺少，他运送商品出售挣点差价是可以的吧？,0,2020-03-16 18:27
https://weibo.cn//u/7151645188,高平政法,女,其他,3475,23,1442,//,0,2020-03-16 17:36
https://weibo.cn//u/5974387381,-你我約定,男,四川,18,3,43,反正我信了,0,2020-03-16 17:28
https://weibo.cn//u/2527116253,仰天大笑出门去了,男,其他,8,9,26,商店不对个人售卖，鲍某是如何拿到采购证明的?谁给的?一起分赃了没有?这些应该查清，并执行战时纪律。,0,2020-03-16 17:00
https://weibo.cn//u/3227376397,亦然一叶,女,湖北,619,200,58,老百姓就是实在，害怕还把炸弹放到怀里,0,2020-03-16 15:23
https://weibo.cn//u/6501639595,包头长安网,男,内蒙古,3359,59,13867,【,0,2020-03-16 15:20
https://weibo.cn//u/3227376397,亦然一叶,女,湖北,619,200,58,真是九头鸟的子孙，什么人都有……湖北人的名声已经够差了，还要再添一笔,0,2020-03-16 15:18
https://weibo.cn//u/6360547889,德宏政法,男,云南,31401,186,1014,回复@云南政法:,0,2020-03-16 14:52
https://weibo.cn//u/2048723717,盛夏星空中,女,湖北,1984,799,321,湖北就没有便宜肉，我就没看到，之前买的都是40元一斤的，储备肉就没看到过,0,2020-03-16 13:36
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:严惩不义之徒！！,1,2020-03-16 11:32
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,严惩不义之徒！！,0,2020-03-16 11:32
https://weibo.cn//u/5643110899,南开检察,男,天津,2062,95,289,必须严惩！//,0,2020-03-16 11:13
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-03-16 10:59
https://weibo.cn//u/3272980043,晋中政法,男,山西,11932,164,3333,//,0,2020-03-16 10:51
https://weibo.cn//u/6582916739,大同政法,女,山西,18258,154,7530,严惩不义之徒！！ ,0,2020-03-16 09:32
https://weibo.cn//sxzf,山西政法,男,山西,36878,278,23125,严惩不义之徒！！,1,2020-03-16 09:20
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:严惩不义之徒！！,0,2020-03-16 09:12
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:严惩！,0,2020-03-16 08:27
https://weibo.cn//u/3482462895,勐腊检察,女,云南,519,89,119, //,0,2020-03-16 08:13
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,严惩不贷！,0,2020-03-16 00:06
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013,必须严惩！,0,2020-03-15 23:13
