评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1768456862,lirui_119,女,湖北,976,1169,174,又是一个不要脸的,162,2020-05-02 23:37
https://weibo.cn//u/7407604877,千鹤缭乱,女,四川,521,73,14,面对这种新闻只需一个,118,2020-05-02 23:36
https://weibo.cn//u/6360692246,扶苏且行,男,江苏,567,403,351,假新闻，下一个，如果你再说话，我就离开这里,61,2020-05-02 23:39
https://weibo.cn//u/7201318594,醉里长安有你,女,其他,4548,186,46,这波就很优秀了,0,2020-05-05 19:21
https://weibo.cn//345917249,别给我塞僵尸粉了好吗,女,广东,9790,2570,18099,你和特朗普一样，都是白眼圈,0,2020-05-05 13:18
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,自己打自己脸，不疼吗？,0,2020-05-05 11:08
https://weibo.cn//u/5431913075,宇宙无敌你伟哥,女,四川,1070,840,171,这句话就在撒谎,0,2020-05-05 10:01
https://weibo.cn//u/6445850870,最后一块费列罗,男,其他,66,215,25,你这就没意思了，要还是说假话还是让建国来吧，都没点新鲜的,0,2020-05-05 10:00
https://weibo.cn//u/2147459490,123yDWsA_179,女,其他,114,170,9,也行她并没有撒谎，她只是一直活在谎言之中,0,2020-05-04 23:04
https://weibo.cn//u/6482431555,srkkajol_41784,女,香港,87,63,23,     举报             赞[0]         回复             2020-05-04 16:51:05 来自网页,0,2020-05-04 16:51
https://weibo.cn//u/6542584026,JHP-BJ,男,其他,2916,3356,411,撒谎也是会传染的，白宫发言人就是案例,0,2020-05-04 13:33
https://weibo.cn//u/5181191096,只求账户加个0,男,河北,620,87,158,👌,0,2020-05-04 09:41
https://weibo.cn//u/1679743695,有理想有追求的猪,男,广西,2799,846,323,稍微学过微表情心理学的都知道，这货10句话有9句像是在说谎,0,2020-05-04 09:26
https://weibo.cn//u/2447583127,濮阳风铃寻亲,男,河南,8744,1225,323,贼,0,2020-05-04 08:48
https://weibo.cn//u/3501652074,李文华米原,女,海南,10726,5182,755,求求美国政府不要在演戏了，控制住疫情吧！,0,2020-05-04 08:32
