评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6360692246,扶苏且行,男,江苏,567,403,351,造谣一张嘴，辟谣跑断腿啊，15日豪华单间，外加白银手镯一对,34,2020-05-15 21:31
https://weibo.cn//u/1433016781,梦想若近若远,男,河北,2484,306,16102,每一个谣言背后都有一个心思恶毒的灵魂,39,2020-05-15 21:30
https://weibo.cn//u/6248713415,吐槽也熏香,男,其他,3196,264,72,所以说落实全面全员核酸检查，是压缩谣言产生空间的最好的办法。,13,2020-05-15 21:32
https://weibo.cn//u/5594542318,七台河检察,男,黑龙江,46740,1454,7372,     举报             赞[0]         回复             2020-06-16 11:02:30 来自网页,0,2020-06-16 11:02
https://weibo.cn//u/2723265140,成县司法郇丽娟,女,甘肃,9238,194,150,转发微博,0,2020-05-16 23:42
https://weibo.cn//u/2942639875,天兰斋,男,湖北,815,192,533,非常时期，不能限于辟谣，必须把造谣和传谣的抓起来。,1,2020-05-16 19:24
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-05-16 16:11
https://weibo.cn//u/3785746655,八月o在宇1124,男,江苏,596,382,228,造谣的死一户口本就完事儿了嗷～,0,2020-05-16 09:59
https://weibo.cn//u/2243656481,平凡区区,女,北京,2150,90,83,不信谣，不传谣。千万别听风就是雨（每天上网告诫我自己）,0,2020-05-16 09:47
https://weibo.cn//u/7349428453,lucky家家家,女,甘肃,998,383,58,没有谣言 某些人就活不下去是吧,0,2020-05-16 09:16
https://weibo.cn//u/6399683277,谁家D静静,女,广东,1234,212,488,听安哥的就對了,0,2020-05-16 08:20
https://weibo.cn//u/7199208664,青海戒毒,女,青海,882,244,310,造谣一张嘴，辟谣跑断腿啊！,0,2020-05-16 06:57
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-05-16 06:49
https://weibo.cn//u/1637998900,黑白钢琴配上湿湿滑滑的路面,男,江苏,726,647,132,中国台湾人造的谣言，他们的逗号都是句子的中间。,0,2020-05-16 02:09
https://weibo.cn//u/6201824517,忘记密码的熊猫泡茶,男,其他,1455,185,206,抓到了吗？,0,2020-05-16 01:48
https://weibo.cn//gzcaw,贵州长安网,男,贵州,28428,378,77281,不信谣不传谣！,0,2020-05-16 01:41
https://weibo.cn//u/1826796224,腊月---,女,湖北,259,81,140,为什么要传这种谣言，很没道德,0,2020-05-15 23:36
https://weibo.cn//u/1447772205,芃芃的爹哋,男,安徽,3200,1036,431,造谣的坏b抓起来没有？不判刑三年五年的就对不起它那张贱嘴,0,2020-05-15 23:00
