评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,安哥又来辟谣了,5,2020-05-22 19:29
https://weibo.cn//u/1401376167,净-东方净,女,北京,2162,755,311,安哥：不妄猜测，相信科学，不恐慌！,6,2020-05-22 19:03
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,不信谣不传谣，保护安哥不在辟谣的路上跑断腿!,6,2020-05-22 19:12
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-05-23 11:56
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39468,343,58379,不信谣不传谣！,0,2020-05-23 00:00
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,相信科学，不恐慌,1,2020-05-22 22:43
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-05-22 21:38
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,回复@中国长安网:辛苦安哥的小细腿了,0,2020-05-22 20:57
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,不信谣不传谣！,0,2020-05-22 20:39
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,相信科学，相信官方信息，不必恐慌！,2,2020-05-22 20:35
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12789551,回复@Oo柠小檬oO:辟谣路上，怎么能缺少安哥的身影,0,2020-05-22 20:09
https://weibo.cn//u/5618016269,连池检察,女,黑龙江,34182,4928,2737,转发微博,0,2020-05-22 19:33
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,安哥又来辟谣了,5,2020-05-22 19:29
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,不传谣，不恐慌，戴口罩，勤洗手，常通风，少聚集。,2,2020-05-22 19:20
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81798,406,64176, ,1,2020-05-22 19:19
https://weibo.cn//u/2735734495,仙女云朵派nana,女,其他,237,169,293,不信谣不传谣！,2,2020-05-22 19:17
https://weibo.cn//u/5333856116,Noble丶猫猫,女,上海,1405,548,10736,不传谣，不信谣，相信科学，不要恐慌,1,2020-05-22 19:13
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,不信谣不传谣，保护安哥不在辟谣的路上跑断腿!,6,2020-05-22 19:12
https://weibo.cn//338225253,明月爱威威,女,四川,37620,1335,3472,不信谣，不传谣，相信科学，不恐慌,2,2020-05-22 19:09
https://weibo.cn//joycebl,里lll予xx宇,女,其他,990,725,100,不忘猜测，相信科学，不恐慌！,1,2020-05-22 19:06
https://weibo.cn//u/2714878042,薛大寶还是个宝宝,女,四川,32013,486,1702,不妄猜测，相信科学,3,2020-05-22 19:04
https://weibo.cn//u/1401376167,净-东方净,女,北京,2162,755,311,安哥：不妄猜测，相信科学，不恐慌！,6,2020-05-22 19:03
https://weibo.cn//u/5692041006,浅色夏沫O_o,女,其他,2994,138,249,不造谣，不传谣，相信科学,1,2020-05-22 19:02
